Time,Sample.ID,Sample.name,Rep,Species,Treatment,Days,Location,SampleID
NA,NA,5_T1_Mc_39_day7,NA,Montipora capitata,control,seven,HIMB,5_1.fastq.gz
NA,NA,5_T1_Mc_39_day7,NA,Montipora capitata,control,seven,HIMB,5_2.fastq.gz
NA,NA,10_T4_Mc_3_day4,NA,Montipora capitata,mid,four,HIMB,10_2.fastq.gz
NA,NA,13_T6_Mc_2_day4,NA,Montipora capitata,control,four,HIMB,13_1.fastq.gz
NA,NA,13_T6_Mc_2_day4,NA,Montipora capitata,control,four,HIMB,13_2.fastq.gz
NA,NA,14_T6_Mc_15_day7,NA,Montipora capitata,control,seven,HIMB,14_1.fastq.gz
NA,NA,14_T6_Mc_15_day7,NA,Montipora capitata,control,seven,HIMB,14_2.fastq.gz
NA,NA,15_T2_Mc_37_day7,NA,Montipora capitata,mid,seven,HIMB,15_2.fastq.gz
NA,NA,16_T5_Mc_11_day7,NA,Montipora capitata,high,seven,HIMB,16_2.fastq.gz
NA,NA,19_T4_Mc_14_day7,NA,Montipora capitata,mid,seven,HIMB,19_2.fastq.gz
NA,NA,20_T9_Mc_7_day4,NA,Montipora capitata,mid,four,HIMB,20_2.fastq.gz
NA,NA,40_T7_Mc_10_day4,NA,Montipora capitata,high,four,HIMB,40_2.fastq.gz
NA,NA,45_T8_Mc_8_day4,NA,Montipora capitata,control,four,HIMB,45_1.fastq.gz
NA,NA,45_T8_Mc_8_day4,NA,Montipora capitata,control,four,HIMB,45_2.fastq.gz
NA,NA,48_T3_Mc_35_day7,NA,Montipora capitata,high,seven,HIMB,48_2.fastq.gz
