"","Time","Sample.ID","Sample.name","Rep","Species","Treatment","Days","Location","SampleID"
"X3_1",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X3_1"
"X3_2",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X3_2"
"X12_1",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X12_1"
"X17_1",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X17_1"
"X18_1",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X18_1"
"X24_1",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X24_1"
"X30_1",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X30_1"
"X32_1",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X32_1"
"X32_2",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X32_2"
"X33_1",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X33_1"
"X37_1",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X37_1"
"X37_2",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X37_2"
"X43_1",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X43_1"
"X43_2",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X43_2"
"X44_1",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X44_1"
"X46_1",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X46_1"
"X48_2",NA,NA,NA,NA,"Porites compressa","unknown","unknown","HIMB","X48_2"
