"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk4074_pilon.1",31.917429100988,-1.90447428075638,0.427282809183018,-4.45717506023192,8.30467826740924e-06,0.00227523018835294,"CvsT4",56,21,25,41,76,19,43,23,21,16,26,41,8
"Acerv_evm.TU.Segkk3422_pilon.23",501.414761403948,-6.43331787598888,0.3366521665906,-19.1096880235213,2.09718861480924e-81,1.89606822664903e-77,"CvsT4",799,15,8,471,680,524,537,22,402,449,304,1079,353
"Acerv_evm.TU.Segkk2518_pilon.2",85.3391904283693,-1.86780347899542,0.52561717716899,-3.55354345353693,0.000380078400870964,0.0477262336426998,"CvsT4",46,59,78,114,151,78,48,54,18,98,97,163,46
"Acerv_evm.TU.Segkk1613_pilon.8",146.648057815071,-1.10549027009004,0.300509602660897,-3.67871861764597,0.000234408711175775,0.0325964414117934,"CvsT4",167,271,137,159,272,110,136,129,116,73,98,240,73
"Acerv_evm.TU.Segkk1779_pilon.5",34.1379515369695,-1.92349709765521,0.506683964593738,-3.79624624433789,0.000146903584270468,0.0217730377932673,"CvsT4",59,14,16,30,52,30,48,33,30,15,31,58,10
"Acerv_evm.TU.Segkk1822_pilon.2",599.904250476083,-2.47086024159738,0.553965664322637,-4.46031297737313,8.18400494402675e-06,0.00227523018835294,"CvsT4",386,406,368,522,938,404,1163,250,96,224,739,1588,352
"Acerv_evm.TU.Segkk978_pilon.3",63.4014299315153,-1.30041260562949,0.346794855338023,-3.74980362486051,0.000176973103455411,0.0258066746506512,"CvsT4",55,71,114,48,170,45,34,128,28,30,34,183,25
"Acerv_evm.TU.Segkk1268_pilon.2",32.7178511520923,-2.82650772614515,0.583610385809245,-4.84314158019285,1.2780215451308e-06,0.000550218704263216,"CvsT4",25,7,6,27,35,30,43,10,35,50,14,39,28
"Acerv_evm.TU.Segkk2834_pilon.11",117.608485863809,-1.0876625882829,0.250876624879447,-4.335448106437,1.454634892397e-05,0.00365315390615592,"CvsT4",163,179,165,100,211,91,67,116,72,104,70,226,60
"Acerv_evm.TU.Segkk1038_pilon.1",94.4218384081348,-1.28743388748179,0.309002217554711,-4.16642280974517,3.09416595179537e-05,0.00672611067996493,"CvsT4",130,106,73,83,125,77,81,117,64,61,55,202,64
"Acerv_evm.TU.Segkk3339_pilon.1",23.2441214056862,-2.08037098051437,0.503097759889678,-4.13512272638735,3.54764993030234e-05,0.00728961432269625,"CvsT4",23,30,13,32,47,27,16,8,11,19,19,48,7
"Acerv_evm.TU.Segkk1022_pilon.1",16.7543130019435,-2.49101680494707,0.536788030089989,-4.64059678180505,3.47404420667626e-06,0.00120803206432923,"CvsT4",26,8,13,23,48,12,17,7,9,14,10,23,6
"Acerv_evm.TU.Segkk984_pilon.10",115.514816285691,1.21725619198378,0.290528783792692,4.18979550354073,2.79205963374165e-05,0.00631075278716456,"CvsT4",124,327,254,73,90,104,81,381,63,129,33,98,51
"Acerv_evm.TU.Segkk3454_pilon.21",77.1896335654137,2.35416866810941,0.303621683852532,7.75362496590598,8.93058208447139e-15,1.3456898770951e-11,"CvsT4",52,433,437,26,65,32,40,315,32,38,26,39,14
"Acerv_evm.TU.Segkk1157_pilon.2",125.37822177916,2.13864053014006,0.258038937668208,8.28805353744698,1.15116764778275e-16,2.60192667590097e-13,"CvsT4",57,917,634,51,112,32,67,544,28,44,33,100,27
"Acerv_evm.TU.Segkk3655_pilon.33",1139.0920842611,-2.65902535655383,0.388886978676759,-6.83752735975252,8.05717045727328e-12,1.0406411157744e-08,"CvsT4",1663,338,822,1313,2299,1069,1214,352,627,587,1039,2012,590
"Acerv_evm.TU.Segkk398_pilon.1",17.3545116190847,-2.65737934719915,0.529077614685845,-5.02266448898436,5.09595206972382e-07,0.000255958348124295,"CvsT4",36,11,5,19,36,14,17,8,7,12,14,32,8
"Acerv_evm.TU.Segkk3317_pilon.1",595.738742187716,1.14812987437675,0.324030497328345,3.54327720335946,0.000395187070582676,0.0489436480155886,"CvsT4",413,1770,1694,294,541,367,409,2222,353,659,206,627,229
"Acerv_evm.TU.Segkk315_pilon.1",22.805189001527,-2.63511087869131,0.553092528013989,-4.76432196282475,1.89489739192576e-06,0.000744859448713078,"CvsT4",35,5,7,25,50,15,23,19,23,16,18,39,7
"Acerv_evm.TU.Segkk2370_pilon.2",25.2888475965967,-1.87080845623261,0.405920510508425,-4.60880494530661,4.04990048868119e-06,0.00130768393993452,"CvsT4",38,21,16,30,38,18,24,16,20,27,10,49,13
"Acerv_evm.TU.Segkk2328_pilon.1",59.792814570134,-1.66746322143027,0.404980507780283,-4.11739130500308,3.83185153109617e-05,0.00769861548725344,"CvsT4",59,109,43,50,100,48,43,57,36,38,29,194,32
"Acerv_evm.TU.Segkk1630_pilon.6",94.0690851613865,-4.58861074777731,0.379354440516021,-12.0958403479754,1.11099546798373e-33,3.34817000868029e-30,"CvsT4",112,10,15,99,178,97,80,8,56,134,48,179,62
"Acerv_evm.TU.Segkk2261_pilon.8",57.8537555324913,1.60423323433975,0.438458024772055,3.65880687250223,0.000253392197769906,0.0336899832358488,"CvsT4",22,223,182,32,40,29,51,252,32,47,20,58,20
"Acerv_evm.TU.Segkk1793_pilon.1",28.2148757275827,-2.98672220368715,0.516873149139213,-5.7784433350062,7.53949273990963e-09,4.5443035907682e-06,"CvsT4",36,6,9,24,38,25,41,6,33,37,14,37,13
"Acerv_evm.TU.Segkk2792_pilon.2",33.6848009571282,-1.30946883177124,0.341915870252068,-3.82979833842129,0.000128248314717687,0.0199912588510795,"CvsT4",45,34,39,30,53,26,32,19,25,36,22,49,18
"Acerv_evm.TU.Segkk1677_pilon.1",79.3767570534739,-2.07763274988563,0.325010309632403,-6.39251337053122,1.6318095296452e-10,1.34119908704748e-07,"CvsT4",85,48,38,70,158,69,99,55,70,86,45,112,37
"Acerv_evm.TU.Segkk3405_pilon.7",81.736840553775,-2.18653006932863,0.339345640718242,-6.44337161573885,1.1684811664172e-10,1.05642382255779e-07,"CvsT4",112,40,42,81,158,65,91,56,62,103,35,128,39
"Acerv_evm.TU.Segkk3394_pilon.16",232.324672539613,-5.66864598388488,0.393565824556362,-14.4032983307805,4.93318988769762e-47,2.23004848873371e-43,"CvsT4",311,28,12,288,513,246,188,6,152,155,186,521,123
"Acerv_evm.TU.Segkk398_pilon.2",17.6291891737121,-2.1724646090951,0.460488726611669,-4.71773679473189,2.38482749326359e-06,0.000898384390274839,"CvsT4",26,14,7,19,38,16,17,12,9,11,15,29,9
"Acerv_evm.TU.Segkk2935_pilon.2",25.6008276429965,-2.32416008104688,0.599807063664114,-3.87484613276977,0.000106692092400377,0.0178630223591075,"CvsT4",22,12,12,22,57,21,58,13,26,15,11,27,13
"Acerv_evm.TU.Segkk1386_pilon.25",69.7898485276923,1.48820098886799,0.320551278684288,4.64263001843684,3.44002027365703e-06,0.00120803206432923,"CvsT4",85,215,200,47,55,48,54,275,38,50,18,57,27
"Acerv_evm.TU.Segkk2181_pilon.1",88.6733280049009,-1.549149773805,0.354671095123373,-4.36784895951593,1.25476216107317e-05,0.0032412299137893,"CvsT4",94,70,71,66,104,81,70,52,55,165,64,149,37
"Acerv_evm.TU.Segkk3996_pilon.1",79.6404445315258,-1.8037679340003,0.302813499709156,-5.95669590600409,2.57388528333864e-09,1.7900382189742e-06,"CvsT4",86,62,67,89,149,65,92,41,65,88,49,117,28
"Acerv_evm.TU.Segkk223_pilon.4",74.9843103016989,-1.81313043950222,0.47322555877957,-3.83142965519067,0.000127400801489256,0.0199912588510795,"CvsT4",84,22,77,76,119,54,105,38,68,86,45,100,33
"Acerv_evm.TU.Segkk673_pilon.1",17.4765982560102,-1.77492369811464,0.462851285832271,-3.83476021876678,0.000125686846792087,0.0199912588510795,"CvsT4",26,14,13,20,40,18,17,15,6,15,12,25,7
"Acerv_evm.TU.Segkk1991_pilon.4",115.796624160812,-1.55401734549397,0.373186108224199,-4.16418862129874,3.12461728302762e-05,0.00672611067996493,"CvsT4",129,166,161,104,202,67,144,100,28,59,94,356,43
"Acerv_evm.TU.Segkk3052_pilon.15",85.4510526741918,-2.21623811156734,0.618848617890718,-3.58122818326905,0.00034198280954348,0.0441695225868943,"CvsT4",91,91,82,153,220,58,84,20,15,20,109,173,18
"Acerv_evm.TU.Segkk30_pilon.11",101.709822578524,0.982072087853018,0.267764082235965,3.66767670873637,0.00024476438729107,0.0330285794850531,"CvsT4",136,210,290,59,98,70,70,281,93,69,37,82,56
"Acerv_evm.TU.Segkk3395_pilon.4",87.0602308492711,-1.79762624052207,0.3893701946256,-4.61675358138439,3.8978965137107e-06,0.0013052178659429,"CvsT4",74,63,50,79,161,76,112,91,73,99,43,163,29
"Acerv_evm.TU.Segkk3525_pilon.1",30.4771373417541,-2.56554899533705,0.478819718500902,-5.35806880169705,8.41162101728407e-08,4.75309160107908e-05,"CvsT4",48,19,11,27,58,21,24,9,28,39,27,45,10
"Acerv_evm.TU.Segkk119_pilon.17",104.277060227824,-2.83566964168853,0.417073358925391,-6.7989709268287,1.05369076580698e-11,1.19080227670762e-08,"CvsT4",110,35,36,108,186,75,283,28,72,50,81,132,38
"Acerv_evm.TU.Segkk2788_pilon.3",155.159302637646,-0.839564993698912,0.224688591560273,-3.73657152714715,0.000186546401363418,0.0267708891226454,"CvsT4",191,316,228,147,294,118,146,167,88,110,84,272,62
"Acerv_evm.TU.Segkk20_pilon.1",212.109273438504,1.04894910309027,0.210874909040561,4.97427175126135,6.54933804490868e-07,0.000311645080336944,"CvsT4",199,849,693,131,240,115,144,644,123,148,88,234,55
"Acerv_evm.TU.Segkk3209_pilon.7",32.3507213606654,-1.55740694807541,0.38772370767138,-4.01679576786522,5.89948089114437e-05,0.0108628384998645,"CvsT4",58,21,34,32,45,28,31,19,29,13,26,53,17
"Acerv_evm.TU.Segkk1795_pilon.7",80.2647884288912,-3.2127293483097,0.86740639444741,-3.70383406079961,0.000212365203052787,0.0299999031375038,"CvsT4",34,34,41,84,66,70,49,15,13,33,112,302,80
"Acerv_evm.TU.Segkk227_pilon.2",13.7001002847416,-2.59904360095817,0.647734406487458,-4.01251434990507,6.00754258371006e-05,0.0108628384998645,"CvsT4",18,7,12,12,25,11,21,0,10,8,12,26,6
"Acerv_evm.TU.Segkk3387_pilon.12",30.4296643857818,-1.77737733422429,0.415046464495901,-4.2823574858854,1.84923570426322e-05,0.00439972105322204,"CvsT4",33,17,32,27,61,22,35,20,25,37,19,46,11
"Acerv_evm.TU.Segkk384_pilon.7",65.739399547516,-1.79328003440253,0.432200041452612,-4.14918987137384,3.33653981683272e-05,0.00701526894976387,"CvsT4",69,74,66,68,95,70,81,28,49,37,28,162,33
"Acerv_evm.TU.Segkk437_pilon.4",41.9970979183719,2.42927514415929,0.667358026953266,3.6401377462257,0.000272492227701363,0.0357043801543192,"CvsT4",31,114,63,13,18,28,50,251,23,46,14,19,16
"Acerv_evm.TU.Segkk3419_pilon.10",17.5759453097951,-2.51737087379388,0.712232307788823,-3.53448003729182,0.000408578297329322,0.049918329542627,"CvsT4",24,14,10,16,33,13,12,0,8,27,12,27,13
"Acerv_evm.TU.Segkk169_pilon.1",36.2686923431267,-2.87303873303812,0.639596521331716,-4.49195490784739,7.05723678746743e-06,0.00205820896114494,"CvsT4",44,39,6,71,105,24,30,10,15,13,27,71,15
"Acerv_evm.TU.Segkk3047_pilon.5",36.1003524326306,-2.85672963009014,0.437745652695158,-6.52600342802156,6.75477746459949e-11,6.78554922860489e-08,"CvsT4",33,11,16,51,67,33,38,8,27,22,34,47,24
"Acerv_evm.TU.Segkk3417_pilon.5",29.3827842412022,1.81664963428884,0.408502578462863,4.44709465757752,8.70394899397642e-06,0.00231448243689826,"CvsT4",18,112,136,10,21,16,20,111,20,23,8,25,9
"Acerv_evm.TU.Segkk2328_pilon.2",159.768819687523,-2.57231377319129,0.433724418398739,-5.93075617620973,3.01542714263677e-09,1.94731977118422e-06,"CvsT4",116,153,60,118,271,161,119,90,99,122,107,529,100
"Acerv_evm.TU.Segkk3453_pilon.14",61.4597688273756,1.32569382499383,0.346001737258783,3.83146580562489,0.000127382080280642,0.0199912588510795,"CvsT4",96,226,210,37,74,46,34,187,28,35,17,38,26
"Acerv_evm.TU.Segkk1078_pilon.63",24.8323641007104,-1.57492273869818,0.414064150194464,-3.80357183291169,0.000142624610837806,0.0215340556956614,"CvsT4",40,19,26,19,44,18,32,19,16,25,18,42,7
"Acerv_evm.TU.Segkk2424_pilon.11",107.517026949897,-3.24777545325451,0.536153719569841,-6.05754531715311,1.38214411325263e-09,1.04133041065976e-06,"CvsT4",134,38,19,85,125,123,233,26,77,49,52,227,71
"Acerv_evm.TU.Segkk2725_pilon.8",32.4055895391004,-2.08183291774043,0.508348423217914,-4.09528744982063,4.21644909131901e-05,0.0079659298725118,"CvsT4",37,14,35,26,52,23,42,11,26,37,28,62,9
"Acerv_evm.TU.Segkk1466_pilon.9",66.7552356413428,-2.04206849361477,0.483237916026073,-4.22580353463943,2.38089652412011e-05,0.005519406531941,"CvsT4",44,43,73,47,120,53,139,43,29,21,62,175,26
