"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk3422_pilon.23",1318.46151976369,-9.61009270937521,1.09967679671521,-8.73901562539198,2.35150348624452e-18,2.12058584389531e-14,"CvsT1",799,711,15,8,471,680,524,537,22,14,402,449,304,1079,353
"Acerv_evm.TU.Segkk1268_pilon.2",24.826070552109,-3.67880176049248,0.669180195555258,-5.4974755453424,3.85266721840267e-08,0.000102928410163398,"CvsT1",25,0,7,6,27,35,30,43,10,12,35,50,14,39,28
"Acerv_evm.TU.Segkk1600_pilon.13",73.0417332811503,-2.06630868313863,0.533960418269687,-3.86977875595078,0.000108934164218856,0.0388838437375633,"CvsT1",82,20,76,72,49,127,51,45,81,96,29,49,47,85,25
"Acerv_evm.TU.Segkk2563_pilon.1",42.0946683560574,-4.78069545888944,1.15395349666587,-4.14288398336879,3.42965466288959e-05,0.0168474403266225,"CvsT1",52,22,10,20,13,41,11,13,7,20,7,11,18,16,4
"Acerv_evm.TU.Segkk3454_pilon.21",67.8591411375182,2.15882951803541,0.572079300647178,3.77365430910222,0.000160873637627587,0.0483586154708525,"CvsT1",52,0,433,437,26,65,32,40,315,439,32,38,26,39,14
"Acerv_evm.TU.Segkk1157_pilon.2",112.055840930544,2.84616712935952,0.545554116656402,5.2170207179503,1.81823929308485e-07,0.000273281365750653,"CvsT1",57,0,917,634,51,112,32,67,544,795,28,44,33,100,27
"Acerv_evm.TU.Segkk4302_pilon.20",36.2001551141776,2.5327965910254,0.561691841616518,4.50922802036104,6.50639484873494e-06,0.00496382330405337,"CvsT1",68,0,150,143,32,57,0,35,101,183,24,16,20,62,20
"Acerv_evm.TU.Segkk3668_pilon.23",63.5366798142387,-2.19907900316557,0.544741073738216,-4.03692526446495,5.41563115049613e-05,0.0232562674834162,"CvsT1",96,14,45,101,42,110,59,36,42,45,25,68,41,76,33
"Acerv_evm.TU.Segkk2165_pilon.11",31.722366003557,2.27871875239319,0.551081027229003,4.1349976497127,3.54958268136869e-05,0.0168474403266225,"CvsT1",37,0,266,215,31,74,13,12,82,83,11,15,12,37,5
"Acerv_evm.TU.Segkk1630_pilon.6",70.1900674293588,-4.45160336435227,1.07474187489432,-4.14202095251009,3.44258884468046e-05,0.0168474403266225,"CvsT1",112,0,10,15,99,178,97,80,8,5,56,134,48,179,62
"Acerv_evm.TU.Segkk2794_pilon.7",33.3978684920836,-3.39367588558245,0.679457118015243,-4.99468736966903,5.89311526599243e-07,0.000664301418358997,"CvsT1",45,11,11,15,17,42,25,15,21,39,4,29,32,35,8
