"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"956","GO:0016831",0.015846065214068,0.99990710472357,1,4,"carboxy-lyase activity","MF"
"1016","GO:0019752",0.0213984456604476,0.999818939773616,1,5,"carboxylic acid metabolic process","BP"
"450","GO:0005871",0.0223735402670942,0.999814287276616,1,4,"kinesin complex","CC"
"863","GO:0015935",0.0324665869580688,0.99956398874078,1,6,"small ribosomal subunit","CC"
"940","GO:0016772",0.0325000999366365,0.999563082205217,1,6,"transferase activity, transferring phosphorus-containing groups","MF"
"185","GO:0004190",0.0377620954367538,0.999379666947881,1,8,"aspartic-type endopeptidase activity","MF"
"387","GO:0005515",0.0420731648475385,0.980675075121184,13,1488,"protein binding","MF"
"1069","GO:0030414",0.0508637747778254,0.998815707863926,1,12,"peptidase inhibitor activity","MF"
"362","GO:0005200",0.0577445760608229,0.99849691239579,1,10,"structural constituent of cytoskeleton","MF"
"451","GO:0005874",0.0683563493402816,0.997846636372054,1,12,"microtubule","CC"
"363","GO:0005201",0.0696093025074937,0.997707525074854,1,17,"extracellular matrix structural constituent","MF"
"651","GO:0007017",0.0763693331166011,0.997285446387336,1,13,"microtubule-based process","BP"
"888","GO:0016301",0.0790501050126824,0.997044201442518,1,16,"kinase activity","MF"
"1059","GO:0030170",0.117261066935979,0.9932366191487,1,26,"pyridoxal phosphate binding","MF"
"838","GO:0015074",0.156925456038521,0.987650427730253,1,29,"DNA integration","BP"
"212","GO:0004386",0.197497309267495,0.97986618193851,1,47,"helicase activity","MF"
"529","GO:0006355",0.211527725634304,0.945947239491525,2,153,"regulation of transcription, DNA-templated","BP"
"442","GO:0005840",0.2250067903764,0.973621828016585,1,43,"ribosome","CC"
"545","GO:0006412",0.248847491074327,0.967328007991803,1,49,"translation","BP"
"102","GO:0003735",0.264959624933038,0.962667093115565,1,52,"structural constituent of ribosome","MF"
"398","GO:0005576",0.265173236376618,0.962497073019778,1,62,"extracellular region","CC"
"467","GO:0005975",0.267774459798877,0.961764990132611,1,57,"carbohydrate metabolic process","BP"
"93","GO:0003700",0.283872255449298,0.956709264573801,1,59,"DNA-binding transcription factor activity","MF"
"138","GO:0003924",0.408247156642943,0.90471985033387,1,94,"GTPase activity","MF"
"86","GO:0003676",0.41053997286761,0.835958873935999,2,261,"nucleic acid binding","MF"
"1282","GO:0046872",0.438329044709599,0.888370153333376,1,112,"metal ion binding","MF"
"391","GO:0005525",0.491089419951021,0.855958377242918,1,121,"GTP binding","MF"
"573","GO:0006508",0.579422509877108,0.788952582148035,1,170,"proteolysis","BP"
"113","GO:0003824",0.608269209748561,0.763327989164236,1,170,"catalytic activity","MF"
"285","GO:0004672",0.656644016803314,0.715264401955079,1,216,"protein kinase activity","MF"
"563","GO:0006468",0.665067321348426,0.706243701027941,1,220,"protein phosphorylation","BP"
"87","GO:0003677",0.665542858710825,0.705849194958966,1,194,"DNA binding","MF"
"390","GO:0005524",0.698189183974657,0.568838256078616,2,492,"ATP binding","MF"
"870","GO:0016021",0.704904571466513,0.560765339975259,2,431,"integral component of membrane","CC"
"726","GO:0008270",0.717364364450104,0.645325243008362,1,227,"zinc ion binding","MF"
"1","GO:0000002",1,0.994360018360443,0,1,"mitochondrial genome maintenance","BP"
"2","GO:0000009",1,0.99618226181578,0,1,"alpha-1,6-mannosyltransferase activity","MF"
"3","GO:0000012",1,0.994360018360443,0,1,"single strand break repair","BP"
"4","GO:0000030",1,0.994360018360443,0,1,"mannosyltransferase activity","MF"
"5","GO:0000049",1,0.984971873546813,0,3,"tRNA binding","MF"
"6","GO:0000062",1,0.983173416621137,0,3,"fatty-acyl-CoA binding","MF"
"7","GO:0000077",1,0.988751213514815,0,2,"DNA damage checkpoint","BP"
"8","GO:0000122",1,0.986961005154912,0,2,"negative regulation of transcription by RNA polymerase II","BP"
"9","GO:0000124",1,0.994360018360443,0,1,"SAGA complex","CC"
"10","GO:0000139",1,0.982304814396156,0,3,"Golgi membrane","CC"
"11","GO:0000145",1,0.986509072420641,0,3,"exocyst","CC"
"12","GO:0000151",1,0.9972938453659,0,1,"ubiquitin ligase complex","CC"
"13","GO:0000154",1,0.987093545666151,0,2,"rRNA modification","BP"
"14","GO:0000159",1,0.988751213514815,0,2,"protein phosphatase type 2A complex","CC"
"15","GO:0000166",1,0.893626839815038,0,23,"nucleotide binding","MF"
"16","GO:0000175",1,0.993906065069167,0,1,"3'-5'-exoribonuclease activity","MF"
"17","GO:0000176",1,0.996664053986182,0,1,"nuclear exosome (RNase complex)","CC"
"18","GO:0000178",1,0.994360018360443,0,1,"exosome (RNase complex)","CC"
"19","GO:0000179",1,0.987093545666151,0,2,"rRNA (adenine-N6,N6-)-dimethyltransferase activity","MF"
"20","GO:0000184",1,0.99516766157397,0,2,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP"
"21","GO:0000186",1,0.994556330630794,0,1,"activation of MAPKK activity","BP"
"22","GO:0000209",1,0.994360018360443,0,1,"protein polyubiquitination","BP"
"23","GO:0000213",1,0.994816853311043,0,1,"tRNA-intron endonuclease activity","MF"
"24","GO:0000220",1,0.997080268110407,0,1,"vacuolar proton-transporting V-type ATPase, V0 domain","CC"
"25","GO:0000221",1,0.996453483972218,0,1,"vacuolar proton-transporting V-type ATPase, V1 domain","CC"
"26","GO:0000226",1,0.988496697136062,0,2,"microtubule cytoskeleton organization","BP"
"27","GO:0000245",1,0.994360018360443,0,1,"spliceosomal complex assembly","BP"
"28","GO:0000256",1,0.993041472483243,0,2,"allantoin catabolic process","BP"
"29","GO:0000262",1,0.994360018360443,0,1,"mitochondrial chromosome","CC"
"30","GO:0000272",1,0.997348671725928,0,1,"polysaccharide catabolic process","BP"
"31","GO:0000276",1,0.980757273534268,0,3,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","CC"
"32","GO:0000278",1,0.99463530964456,0,2,"mitotic cell cycle","BP"
"33","GO:0000281",1,0.994360018360443,0,1,"mitotic cytokinesis","BP"
"34","GO:0000287",1,0.926961203386217,0,15,"magnesium ion binding","MF"
"35","GO:0000290",1,0.995577198939085,0,1,"deadenylation-dependent decapping of nuclear-transcribed mRNA","BP"
"36","GO:0000338",1,0.994360018360443,0,1,"protein deneddylation","BP"
"37","GO:0000350",1,0.983173416621137,0,3,"generation of catalytic spliceosome for second transesterification step","BP"
"38","GO:0000387",1,0.985786908343678,0,2,"spliceosomal snRNP assembly","BP"
"39","GO:0000398",1,0.937489067295685,0,12,"mRNA splicing, via spliceosome","BP"
"40","GO:0000413",1,0.956943798269175,0,8,"protein peptidyl-prolyl isomerization","BP"
"41","GO:0000439",1,0.994360018360443,0,1,"transcription factor TFIIH core complex","CC"
"42","GO:0000444",1,0.994360018360443,0,1,"MIS12/MIND type complex","CC"
"43","GO:0000445",1,0.994360018360443,0,1,"THO complex part of transcription export complex","CC"
"44","GO:0000462",1,0.988751213514815,0,2,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"45","GO:0000463",1,0.994360018360443,0,1,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP"
"46","GO:0000469",1,0.994645379183222,0,1,"cleavage involved in rRNA processing","BP"
"47","GO:0000502",1,0.994360018360443,0,1,"proteasome complex","CC"
"48","GO:0000723",1,0.973896027136739,0,5,"telomere maintenance","BP"
"49","GO:0000724",1,0.984538567612956,0,3,"double-strand break repair via homologous recombination","BP"
"50","GO:0000730",1,0.994360018360443,0,1,"DNA recombinase assembly","BP"
"51","GO:0000731",1,0.992862172980476,0,1,"DNA synthesis involved in DNA repair","BP"
"52","GO:0000774",1,0.993044598196813,0,1,"adenyl-nucleotide exchange factor activity","MF"
"53","GO:0000775",1,0.997186594641537,0,1,"chromosome, centromeric region","CC"
"54","GO:0000776",1,0.984367270277865,0,3,"kinetochore","CC"
"55","GO:0000784",1,0.997604193366943,0,1,"nuclear chromosome, telomeric region","CC"
"56","GO:0000785",1,0.988751213514815,0,2,"chromatin","CC"
"57","GO:0000786",1,0.927644903817398,0,12,"nucleosome","CC"
"58","GO:0000796",1,0.996549978059323,0,1,"condensin complex","CC"
"59","GO:0000808",1,0.987130395555128,0,2,"origin recognition complex","CC"
"60","GO:0000811",1,0.994258072253824,0,1,"GINS complex","CC"
"61","GO:0000813",1,0.988751213514815,0,2,"ESCRT I complex","CC"
"62","GO:0000814",1,0.99407439692586,0,1,"ESCRT II complex","CC"
"63","GO:0000818",1,0.994360018360443,0,1,"nuclear MIS12/MIND complex","CC"
