"","19_T33_Ac_WK","24_T12_Ac_FM","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","45_T41_Ac_SC_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk2265_pilon.6",49,0,99,145,34,51,0,52,119,146,31,0,0,46,22
"Acerv_evm.TU.Segkk3352_pilon.2",27,0,39,39,12,0,0,130,445,519,99,0,17,0,7
"Acerv_evm.TU.Segkk1470_pilon.1",1272,1138,1797,2479,513,1043,741,1089,2828,3407,919,1059,455,959,603
"Acerv_evm.TU.Segkk1276_pilon.3",27,0,50,58,29,31,0,15,29,30,15,0,33,32,0
"Acerv_evm.TU.Segkk845_pilon.1",20,0,37,54,0,22,25,0,35,67,18,29,0,38,24
"Acerv_evm.TU.Segkk3469_pilon.8",32,0,60,113,0,63,0,234,1198,872,213,0,0,17,0
"Acerv_evm.TU.Segkk1852_pilon.2",163,239,229,322,109,265,158,239,298,300,143,260,87,218,161
"Acerv_evm.TU.Segkk3322_pilon.20",22,0,51,46,19,33,0,18,42,64,16,0,13,32,11
"Acerv_evm.TU.Segkk453_pilon.12",28,0,69,36,29,59,0,30,51,99,23,0,24,63,16
"Acerv_evm.TU.Segkk2795_pilon.14",28,0,44,70,21,41,0,119,111,134,40,0,21,68,21
"Acerv_evm.TU.Segkk991_pilon.1",1562,1203,1731,2197,708,1479,990,1112,2185,2603,955,1255,514,1348,786
"Acerv_evm.TU.Segkk1674_pilon.1",25,0,38,21,0,16,16,0,65,72,0,26,0,24,0
"Acerv_evm.TU.Segkk1071_pilon.13",35,0,55,47,23,39,0,27,25,46,20,0,19,24,8
"Acerv_evm.TU.Segkk4282_pilon.1",34,0,74,51,0,43,24,0,67,83,37,41,0,40,0
