"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","19_T33_Ac_WK","25_ctl1_Ac_GF_1","27_ctl2_Ac_YG_1","31_T22_Ac_UV","35_T43_Ac_MT","37_T13_Ac_ML","38_T23_Ac_IN","41_ctl3_Ac_RN_1","47_T31_Ac_JB","52_T11_Ac_II","53_T21_Ac_NH","54_T42_Ac_JQ","57_T32_Ac_NM"
"Acerv_evm.TU.Segkk3463_pilon.1",209.564895965638,-1.08472132845127,0.301782249982671,-3.59438412469109,0.00032515981758991,0.0433991410550897,"T1vsT2",235,525,305,212,363,132,268,316,119,64,152,304,78
"Acerv_evm.TU.Segkk580_pilon.3",131.930140498444,1.66185229127197,0.440968818385751,3.76863901024906,0.000164140066271485,0.0311654332281922,"T1vsT2",133,334,196,88,112,121,49,235,66,228,35,138,101
"Acerv_evm.TU.Segkk3159_pilon.11",875.897249346426,2.05557404957162,0.568739472348372,3.61426303169003,0.000301203158037712,0.0433991410550897,"T1vsT2",1161,2575,921,673,675,1069,231,1144,274,1765,174,918,540
"Acerv_evm.TU.Segkk3095_pilon.35",174.064534461941,-1.43701783621767,0.406844500537394,-3.53210583974843,0.000412264314924727,0.0495221991356519,"T1vsT2",172,302,382,244,388,92,183,344,99,45,134,167,45
"Acerv_evm.TU.Segkk657_pilon.10",166.642444209543,1.37182493659094,0.293233457449968,4.67826880506978,2.89307124245486e-06,0.00567620577769644,"T1vsT2",170,353,330,96,183,161,74,264,149,225,58,147,105
"Acerv_evm.TU.Segkk4025_pilon.2",273.904438482909,-0.842605506883747,0.225219285834645,-3.7412671111229,0.000183094795810908,0.0327378124251447,"T1vsT2",342,641,618,275,439,168,267,472,153,100,185,378,103
"Acerv_evm.TU.Segkk3091_pilon.8",3969.37392059197,-1.83125611522843,0.511817678907757,-3.57794619196511,0.000346304719199128,0.0436191040736736,"T1vsT2",3386,5867,7599,3683,5847,2287,11822,4923,2069,858,2456,4235,892
"Acerv_evm.TU.Segkk2793_pilon.4",2771.65781791357,1.45280392722224,0.404780125064104,3.58911872709207,0.000331797714488454,0.0433991410550897,"T1vsT2",2973,5686,6190,1794,2218,2894,1408,4194,873,4619,1024,3000,1925
"Acerv_evm.TU.Segkk2779_pilon.12",265.394675808354,-1.04782398676037,0.282922852710434,-3.7035678691986,0.000212588271775779,0.0347581824353398,"T1vsT2",266,551,589,304,428,164,276,490,186,82,189,315,93
"Acerv_evm.TU.Segkk3903_pilon.2",3234.70959315205,-1.9985397579972,0.492322925874959,-4.0594082724167,4.91972291261793e-05,0.0174525790656564,"T1vsT2",2554,3990,6951,2964,3310,1557,10419,3243,1586,861,2198,3706,978
