gene_id,10_2.fastq.trim.fq.bam.merge.gtf,11_1.fastq.trim.fq.bam.merge.gtf,11_2.fastq.trim.fq.bam.merge.gtf,12_1.fastq.trim.fq.bam.merge.gtf,13_1.fastq.trim.fq.bam.merge.gtf,13_2.fastq.trim.fq.bam.merge.gtf,14_1.fastq.trim.fq.bam.merge.gtf,14_2.fastq.trim.fq.bam.merge.gtf,15_2.fastq.trim.fq.bam.merge.gtf,16_2.fastq.trim.fq.bam.merge.gtf,17_1.fastq.trim.fq.bam.merge.gtf,18_1.fastq.trim.fq.bam.merge.gtf,19_2.fastq.trim.fq.bam.merge.gtf,1_2.fastq.trim.fq.bam.merge.gtf,20_2.fastq.trim.fq.bam.merge.gtf,21_1.fastq.trim.fq.bam.merge.gtf,22_1.fastq.trim.fq.bam.merge.gtf,23_1.fastq.trim.fq.bam.merge.gtf,24_1.fastq.trim.fq.bam.merge.gtf,25_1.fastq.trim.fq.bam.merge.gtf,25_2.fastq.trim.fq.bam.merge.gtf,26_1.fastq.trim.fq.bam.merge.gtf,26_2.fastq.trim.fq.bam.merge.gtf,27_1.fastq.trim.fq.bam.merge.gtf,28_2.fastq.trim.fq.bam.merge.gtf,29_1.fastq.trim.fq.bam.merge.gtf,2_2.fastq.trim.fq.bam.merge.gtf,30_1.fastq.trim.fq.bam.merge.gtf,31_2.fastq.trim.fq.bam.merge.gtf,32_1.fastq.trim.fq.bam.merge.gtf,32_2.fastq.trim.fq.bam.merge.gtf,33_1.fastq.trim.fq.bam.merge.gtf,34_1.fastq.trim.fq.bam.merge.gtf,35_2.fastq.trim.fq.bam.merge.gtf,36_2.fastq.trim.fq.bam.merge.gtf,37_1.fastq.trim.fq.bam.merge.gtf,37_2.fastq.trim.fq.bam.merge.gtf,38_2.fastq.trim.fq.bam.merge.gtf,39_1.fastq.trim.fq.bam.merge.gtf,39_2.fastq.trim.fq.bam.merge.gtf,3_1.fastq.trim.fq.bam.merge.gtf,3_2.fastq.trim.fq.bam.merge.gtf,40_2.fastq.trim.fq.bam.merge.gtf,41_1.fastq.trim.fq.bam.merge.gtf,41_2.fastq.trim.fq.bam.merge.gtf,42_2.fastq.trim.fq.bam.merge.gtf,43_1.fastq.trim.fq.bam.merge.gtf,43_2.fastq.trim.fq.bam.merge.gtf,44_1.fastq.trim.fq.bam.merge.gtf,45_1.fastq.trim.fq.bam.merge.gtf,45_2.fastq.trim.fq.bam.merge.gtf,46_1.fastq.trim.fq.bam.merge.gtf,47_2.fastq.trim.fq.bam.merge.gtf,48_2.fastq.trim.fq.bam.merge.gtf,4_1.fastq.trim.fq.bam.merge.gtf,4_2.fastq.trim.fq.bam.merge.gtf,5_1.fastq.trim.fq.bam.merge.gtf,5_2.fastq.trim.fq.bam.merge.gtf,6_1.fastq.trim.fq.bam.merge.gtf,6_2.fastq.trim.fq.bam.merge.gtf,7_1.fastq.trim.fq.bam.merge.gtf,8_1.fastq.trim.fq.bam.merge.gtf,9_1.fastq.trim.fq.bam.merge.gtf,9_2.fastq.trim.fq.bam.merge.gtf
pdam_00015114,0,54,43,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,19,24,0,0,22,32,26,0,0,0,36,30,18,0,0,0,0,0,0,16,0,22,13,0,0,0,0,0,0,0,0
pdam_00025013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00015110,0,39,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,17,0,0,0,7,9,0,0,0,4,3,0,0,0,0,0,0,0,9,0,8,8,0,0,0,0,0,0,0,0
pdam_00015111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00015112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00015113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00022941,0,156,137,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,115,0,119,0,0,0,0,0,0,133,97,0,0,136,360,335,0,0,0,272,243,130,0,0,0,0,0,0,67,3,273,252,0,0,0,0,0,0,0,0
pdam_00022940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pdam_00022943,0,7,7,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,25,0,8,0,0,0,0,0,0,32,28,0,0,23,11,11,0,0,0,6,0,20,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
pdam_00022942,0,266,261,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,167,0,220,0,0,0,0,0,0,163,154,0,0,231,478,476,0,0,0,421,402,222,0,0,0,0,0,0,112,0,427,407,0,0,0,0,0,0,0,0
pdam_00022945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
