gene_id,10_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,13_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,14_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,15_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,16_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,19_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,20_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,40_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,45_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,48_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf,5_2.fastq.trim.fq.Aligned.sortedByCoord.out.bam.merge.gtf
Montipora_capitata_PredGene_adi2mcaRNA22286_R5,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA22286_R1,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA22286_R3,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g48350,8,13,7,2,0,1,2,3,3,2,3
Montipora_capitata_PredGene_g48351,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g45100,1,0,0,0,0,0,1,0,0,0,0
Montipora_capitata_PredGene_g45101,19,26,45,18,22,19,21,26,0,15,36
Montipora_capitata_PredGene_g48357,2571,3187,6446,1211,2155,2739,1023,1558,5369,2523,3607
Montipora_capitata_PredGene_g48358,19,77,72,18,23,25,34,22,19,28,80
Montipora_capitata_PredGene_g48359,0,0,0,0,0,0,0,0,3,1,5
Montipora_capitata_PredGene_g30041,4,10,21,5,8,7,11,8,12,6,28
Montipora_capitata_PredGene_g2834,1,0,4,1,4,3,1,1,0,2,0
Montipora_capitata_PredGene_g44665,2,8,6,2,1,1,3,3,6,3,11
Montipora_capitata_PredGene_g4511,12,23,20,6,8,5,11,14,17,14,25
Montipora_capitata_PredGene_g4510,0,0,0,1,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g4512,4,9,3,1,2,1,2,3,3,3,7
Montipora_capitata_PredGene_adi2mcaRNA29187_R0,605,1671,1772,401,693,665,643,667,1139,779,1961
Montipora_capitata_PredGene_g4517,0,0,0,1,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g4516,0,0,0,0,0,0,0,0,0,1,0
Montipora_capitata_PredGene_g4518,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g16209,6262,13563,16887,4513,6832,6103,4262,7015,15167,9853,15253
Montipora_capitata_PredGene_g56622,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g56626,0,0,1,0,0,0,1,0,0,0,0
Montipora_capitata_PredGene_g56625,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g56624,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g56629,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g16205,18,27,38,11,16,17,8,19,7,16,31
Montipora_capitata_PredGene_g16204,0,0,0,0,0,0,1,0,0,0,0
Montipora_capitata_PredGene_g16207,381,918,949,249,355,291,280,334,428,400,727
Montipora_capitata_PredGene_g16206,20,40,34,20,12,12,22,44,28,32,48
Montipora_capitata_PredGene_g44479,0,0,0,1,0,0,1,1,0,1,1
Montipora_capitata_PredGene_g44478,0,0,0,0,0,0,0,0,0,1,0
Montipora_capitata_PredGene_g36859,2,0,2,0,0,0,0,1,0,1,2
Montipora_capitata_PredGene_adi2mcaRNA4649_R0,2,2,4,2,2,1,2,3,2,1,2
Montipora_capitata_PredGene_g44473,0,0,0,1,0,1,1,1,0,1,0
Montipora_capitata_PredGene_g44472,10,6,4,4,6,7,9,6,2,11,5
Montipora_capitata_PredGene_g44475,2,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_adi2mcaRNA4649_R6,1,0,3,1,2,1,1,2,0,1,2
Montipora_capitata_PredGene_g36851,0,0,0,0,1,0,0,0,0,0,0
Montipora_capitata_PredGene_g42409,382,594,569,236,290,204,426,374,382,383,1102
Montipora_capitata_PredGene_g8396,0,1,6,8,3,4,9,6,0,0,13
Montipora_capitata_PredGene_g2607,0,0,1,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g2606,1,0,1,1,0,1,1,0,0,0,1
Montipora_capitata_PredGene_adi2mcaRNA1449_R3,2,3,0,1,0,0,0,0,0,2,0
Montipora_capitata_PredGene_g8394,0,0,5,0,2,2,0,1,2,0,2
Montipora_capitata_PredGene_adi2mcaRNA1449_R4,2,1,0,1,0,1,1,1,0,2,0
Montipora_capitata_PredGene_g6987,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g3483,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g68726,4,13,1,1,2,4,3,3,5,7,6
Montipora_capitata_PredGene_g24164,23,39,32,17,20,16,14,20,29,16,43
Montipora_capitata_PredGene_adi2mcaRNA9470_R1,0,0,0,0,0,0,0,2,0,3,0
Montipora_capitata_PredGene_adi2mcaRNA27051_R0,27,9,17,7,15,7,9,21,0,31,10
Montipora_capitata_PredGene_g50706,4,11,3,3,2,2,3,6,5,6,9
Montipora_capitata_PredGene_g50704,40,119,245,42,49,37,40,58,140,52,102
Montipora_capitata_PredGene_g50705,2,3,3,1,0,1,1,2,1,2,2
Montipora_capitata_PredGene_g65368,1,3,1,1,2,1,1,1,1,1,1
Montipora_capitata_PredGene_g50703,9,25,21,8,5,6,11,19,7,16,18
Montipora_capitata_PredGene_g50701,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g65364,2,0,1,2,0,0,1,1,1,2,4
Montipora_capitata_PredGene_g65365,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_PredGene_g65366,1,0,0,0,0,0,1,0,0,1,0
Montipora_capitata_PredGene_adi2mcaRNA13250_R0,16,21,18,13,10,6,7,19,15,14,14
Montipora_capitata_PredGene_g65360,1,0,0,2,0,0,0,2,0,2,0
Montipora_capitata_PredGene_g65361,3,0,0,0,0,0,0,2,0,6,0
Montipora_capitata_PredGene_g50708,6,4,281,33,93,85,38,42,0,8,177
Montipora_capitata_PredGene_g50709,1,2,4,1,1,1,1,1,1,1,4
Montipora_capitata_PredGene_g58575,163,258,495,91,178,164,175,280,439,278,338
Montipora_capitata_PredGene_g58574,137,230,389,111,171,102,119,148,276,188,345
Montipora_capitata_PredGene_g58577,111,250,304,82,119,92,78,112,205,147,181
Montipora_capitata_PredGene_g34798,105,305,497,68,165,67,63,81,190,127,202
