"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"Mcavernosa13698",336.614694853951,0.838970205907499,0.442716129816672,1.89505226804118,0.0580854774067828,0.645386679466599,"T2vsT4"
"Mcavernosa08083",92.0842117980703,0.00693965074854471,0.771560683468294,0.00899430323140602,0.992823681074311,0.998787061960994,"T2vsT4"
"Mcavernosa02158",190.263467060964,-0.63745803614443,0.499804849009235,-1.27541386884914,0.202162792379282,0.73110415739371,"T2vsT4"
"Mcavernosa02155",940.044830613715,0.217485529433332,0.135471716406291,1.60539435981659,0.10840704487041,0.678721900935028,"T2vsT4"
"Mcavernosa02151",420.043718691186,0.2059735179602,0.281298708566339,0.732223475215937,0.464032178191494,0.856739542855104,"T2vsT4"
"Mcavernosa07508",158.257996682705,-0.805544110468437,1.32330428723096,-0.608736870454832,0.542698863878461,0.882768006584245,"T2vsT4"
"Mcavernosa24323",665.107568498321,-0.616718418483752,0.607580003930579,-1.01504067693811,0.310086437905592,0.787133424106425,"T2vsT4"
"Mcavernosa08333",33.1034406667261,-0.875500597978131,0.691791181487489,-1.26555616984829,0.205672026505603,0.731706236495555,"T2vsT4"
"Mcavernosa08337",70.0687624699272,0.0300610089378875,0.264957929356052,0.113455781493111,0.909669217913388,0.981630491703789,"T2vsT4"
"Mcavernosa07502",1007.94969519652,0.0474494513007909,0.43862173929421,0.108178521605295,0.913854082234128,0.98215938166552,"T2vsT4"
"Mcavernosa08335",20.5723209927131,-0.177279132558143,0.597440506926175,-0.296731022592093,0.766671870559863,0.947903544740449,"T2vsT4"
"Mcavernosa09068",1128.69528834128,-0.851064141792297,0.650240585661888,-1.30884500377039,0.190586858989169,0.728506765120246,"T2vsT4"
"Mcavernosa09061",103.408932376257,0.297253422000853,0.393247001686585,0.755894948279255,0.449712183007692,0.85141831828087,"T2vsT4"
"Mcavernosa09063",652.742730721195,-0.228587960674965,0.353099527440159,-0.647375436416306,0.517388989555003,0.877218695701462,"T2vsT4"
"Mcavernosa09065",83.1341483925984,-0.356597234830396,0.527818951839744,-0.675605211952803,0.499291331541961,0.870931028670065,"T2vsT4"
"Mcavernosa09067",154.251212284809,0.124400617434668,0.406907666200047,0.305721980115041,0.759816336385232,0.945305489801035,"T2vsT4"
"Mcavernosa09066",209.607102943546,0.530445649803829,0.32365448093538,1.63892570951222,0.101228732622085,0.676608857176153,"T2vsT4"
"Mcavernosa15918",213.567382966575,-0.372261320804052,0.297277755626646,-1.25223402611926,0.21048460076927,0.734054918627179,"T2vsT4"
"Mcavernosa15919",164.936493783949,-1.44523596419568,0.566225158453252,-2.55240506823046,0.0106982059257814,0.597015063668233,"T2vsT4"
"Mcavernosa15911",49.3339446481323,0.0996501673995369,0.327983767970171,0.303826521709451,0.761260059901658,0.945625993193646,"T2vsT4"
"Mcavernosa15912",198.804764997661,0.282117273174864,0.221714027282807,1.27243763794435,0.203217668319291,0.73110415739371,"T2vsT4"
"Mcavernosa15914",21.2708693105458,1.02982551754798,0.576127439645665,1.7874960411213,0.0738573514029114,0.657530578773315,"T2vsT4"
"Mcavernosa15916",27.3171039522901,0.47495436077926,0.349319449444855,1.35965621591946,0.173938739656404,0.715168760009871,"T2vsT4"
"Mcavernosa20315",268.451357580482,0.865879829010761,0.504172102112748,1.71742907904318,0.0859008023240612,0.66240579497241,"T2vsT4"
"Mcavernosa20312",71.7467830271348,0.169293832585264,0.378237768505344,0.447585742836445,0.654452194450929,0.923805907546395,"T2vsT4"
"Mcavernosa20310",1943.9330085152,0.142255800330021,0.178017380169251,0.799111863093202,0.424225551465585,0.83976119405571,"T2vsT4"
"Mcavernosa31278",26.0826229485912,0.230568174774875,0.444554585366962,0.518649862951139,0.604004930524073,0.904621072045666,"T2vsT4"
"Mcavernosa31270",597.991946037705,0.426758146458825,0.245874728798487,1.73567307443208,0.0826216570030027,0.661389355256266,"T2vsT4"
"Mcavernosa23955",34.7228209516007,-0.369551023106802,0.693458195494781,-0.532910311692441,0.594095666799797,0.899591695656267,"T2vsT4"
"STRG.15869",24.3794293136163,0.283253528889922,0.384286591673464,0.73708928447498,0.461068055086592,0.854852341669268,"T2vsT4"
"Mcavernosa13814",159.826402671845,0.033509367760141,0.319033657410695,0.105033957959502,0.916348863184723,0.982961910313713,"T2vsT4"
