"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"Mcavernosa13698",336.614694853951,0.313824225532714,0.443398413843201,0.70777029356648,0.479087916894363,0.999783197466825,"T3vsT4"
"Mcavernosa08083",92.0842117980703,-0.451217196138324,0.772919687276265,-0.583782770145749,0.559366471773906,0.999783197466825,"T3vsT4"
"Mcavernosa02158",190.263467060964,0.240689250300072,0.496734630708189,0.484542923767815,0.628000609236174,0.999783197466825,"T3vsT4"
"Mcavernosa02155",940.044830613715,0.0656305755230814,0.135553103537819,0.484168741328529,0.628266119059856,0.999783197466825,"T3vsT4"
"Mcavernosa02151",420.043718691186,-0.0744739521747664,0.281679177408011,-0.264392820442283,0.791477243217016,0.999783197466825,"T3vsT4"
"Mcavernosa07508",158.257996682705,-0.526382775605008,1.3226317333765,-0.397981359679934,0.690643926105238,0.999783197466825,"T3vsT4"
"Mcavernosa24323",665.107568498321,-0.345405692680508,0.607243012969954,-0.568809661540887,0.569485317277783,0.999783197466825,"T3vsT4"
"Mcavernosa08333",33.1034406667261,-1.38240513699732,0.699146782761262,-1.97727454532158,0.0480106053263021,0.999783197466825,"T3vsT4"
"Mcavernosa08337",70.0687624699272,0.100960318498726,0.26243987130775,0.384698856906291,0.700460542203209,0.999783197466825,"T3vsT4"
"Mcavernosa07502",1007.94969519652,-0.165106800522264,0.438681201145181,-0.376370813454625,0.706641241033589,0.999783197466825,"T3vsT4"
"Mcavernosa08335",20.5723209927131,0.399355976863772,0.580872479103436,0.687510583183712,0.491761033939197,0.999783197466825,"T3vsT4"
"Mcavernosa09068",1128.69528834128,-0.00159138820516911,0.649830226961137,-0.0024489291804893,0.998046039169455,0.999783197466825,"T3vsT4"
"Mcavernosa09061",103.408932376257,0.139339677177381,0.393531125116699,0.354075366049029,0.723282402806037,0.999783197466825,"T3vsT4"
