"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","23_ctl1_Of_CT_1","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY"
"LOC110039914",839.973277465816,3.41127786288898,0.825679959067753,4.13147712430921,3.6043956604452e-05,0.0437704300502686,"CvsT3",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370
"LOC110065550",43.2427782295006,4.89994835841158,1.05186042536729,4.65836363859834,3.18732826013462e-06,0.0205088636898362,"CvsT3",22,2,14,6,3,7,7,9,23,19,6,7,9,11,7
"LOC110044078",432.158160229469,-3.47662245565916,0.67519445559267,-5.14906843037902,2.6178336899933e-07,0.00336889017565238,"CvsT3",128,168,0,771,334,621,381,954,255,347,633,380,1073,517,1238
"LOC110067001",64.9064608163239,-3.58875443731679,0.84133464551939,-4.26554933453537,1.99410942132737e-05,0.0320777426788275,"CvsT3",23,79,0,122,51,39,159,70,38,15,114,85,42,120,84
"LOC110055167",98.4289286302455,3.54337998949929,0.862864620619921,4.10653062464603,4.01646232057061e-05,0.0437704300502686,"CvsT3",100,13,26,43,23,43,34,51,74,57,21,33,28,68,47
"LOC110063000",74.5510560810232,3.9369444227713,0.916276392355267,4.29667778807602,1.73376922470718e-05,0.0318741087896524,"CvsT3",50,8,22,22,12,15,20,17,64,60,19,15,15,29,21
"LOC110063719",72.9074578737871,3.89304745452708,0.948871502327424,4.10281839530229,4.08147611005691e-05,0.0437704300502686,"CvsT3",60,10,21,20,13,6,23,23,50,65,19,28,20,29,14
"LOC110042871",243.530897512616,3.05926365077201,0.738728869039363,4.14125368452197,3.45412672460307e-05,0.0437704300502686,"CvsT3",553,56,55,83,36,85,143,74,590,360,109,97,56,215,78
"LOC110050314",129.227854192404,6.0849294015172,1.38773388630994,4.38479557323295,1.16094750843945e-05,0.0315145477757345,"CvsT3",13,2,45,12,6,12,7,11,55,40,11,14,9,7,15
"LOC110047759",133.750536685242,5.60274500022017,1.28115724494809,4.37319074010089,1.22443654424332e-05,0.0315145477757345,"CvsT3",60,3,42,120,18,26,10,34,45,34,12,26,10,40,22
"LOC110063009",144.45368684569,3.98673355643941,0.884077878719451,4.50948231191354,6.4986012445229e-06,0.0278768331385884,"CvsT3",105,15,42,46,25,32,42,34,125,126,39,29,31,61,43
"LOC110044634",114.752915099172,5.44491140853068,1.2603943334295,4.32000625845026,1.56024775771696e-05,0.0318741087896524,"CvsT3",44,6,38,19,19,19,12,16,42,31,6,16,8,30,22
