"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"LOC113676900",765.04734303139,-0.362480099220811,0.502741936928842,-0.721006290891773,0.470905644220419,0.999264546805144,"CvsMid"
"LOC113685233",126.913976182108,0.0485341994816365,0.519310950278216,0.0934588409037683,0.925539046730858,0.999264546805144,"CvsMid"
"LOC113677589",67.9285772148586,-0.721517524248592,0.299837030859878,-2.40636562528454,0.0161121302145209,0.333671453189034,"CvsMid"
"LOC113685649",31.4437600348277,0.388027472795673,0.607078423177289,0.639171905937357,0.522711106272329,0.999264546805144,"CvsMid"
"LOC113671734",135.947907313006,0.370461182380881,0.198758868614783,1.86387246497602,0.0623396163312255,0.655394326288647,"CvsMid"
"LOC113680717",797.952575466546,0.124651827255289,0.116568799857438,1.06934125947711,0.284915925412542,0.999264546805144,"CvsMid"
"LOC113668215",240.501408244744,0.136368307787206,0.253755782227853,0.53739980460724,0.590991478268257,0.999264546805144,"CvsMid"
"LOC113666827",70.5065374201651,-0.00745379420097384,0.272197331666458,-0.0273837886482571,0.97815362818537,0.999264546805144,"CvsMid"
"LOC113685108",510.187791459145,0.278807880222668,0.142404509922467,1.95785850022914,0.0502466186804198,0.595665660056933,"CvsMid"
"LOC113664779",563.29745613719,-0.304212642706825,0.340136383662775,-0.894384303822181,0.371116307655666,0.999264546805144,"CvsMid"
"LOC113675887",59.8120787612355,0.515261475366432,0.382911306987895,1.34564183914976,0.178418051622748,0.925928164455983,"CvsMid"
"LOC113681258",50.6364092331628,0.0885851222485055,0.335187316744286,0.264285424367913,0.791559990790553,0.999264546805144,"CvsMid"
"LOC113677931",293.813957877602,-0.277050937679976,0.18188728614307,-1.52320122838081,0.127708368879379,0.851191387711552,"CvsMid"
"LOC113674810",191.806852879448,0.0932314316000963,0.222393511557479,0.419218307886648,0.675056593289806,0.999264546805144,"CvsMid"
"LOC113666591",1602.03834673212,0.124637467350507,0.321701889712058,0.387431567349713,0.698436737691476,0.999264546805144,"CvsMid"
"LOC113670268",110.893735949728,0.369692604298233,0.336485482354163,1.09868812678557,0.271904123217271,0.999264546805144,"CvsMid"
"LOC113673959",107.272756320045,-0.259272534833371,0.475391040259712,-0.54538792883376,0.585486740821095,0.999264546805144,"CvsMid"
"LOC113678292",112.58213330768,-0.122363452517115,0.205327494598426,-0.595942850987539,0.551213405495675,0.999264546805144,"CvsMid"
"LOC113684027",158.3400331077,-0.181647123341183,0.362103877437347,-0.501643684753451,0.615918184610266,0.999264546805144,"CvsMid"
"LOC113685016",101.694151180499,-0.0276718852477044,0.91285334239932,-0.0303136155200706,0.975816937948694,0.999264546805144,"CvsMid"
"LOC113680669",336.86578965245,0.136760347771951,0.136198186759274,1.00412752200344,0.315317151191158,0.999264546805144,"CvsMid"
"LOC113670269",524.465829456285,0.0931404728339785,0.152926448892477,0.609054048586887,0.542488614287949,0.999264546805144,"CvsMid"
"LOC113672775",102.481145335022,-0.128352423791232,0.235911007828007,-0.54407136391367,0.586392365259634,0.999264546805144,"CvsMid"
"LOC113669823",86.2297285127012,0.0476932954076696,0.231766449149383,0.205781706466622,0.836961431505117,0.999264546805144,"CvsMid"
"LOC113673069",573.1376223933,-0.298535510521247,0.396078782686974,-0.753727600595014,0.451012805106805,0.999264546805144,"CvsMid"
"LOC113670032",47.2337257098665,-1.04392497279029,0.52809856764332,-1.97676160616925,0.048068583444681,0.589038757030111,"CvsMid"
"LOC113672017",38.3511887850104,-0.180584760970182,0.421764424225806,-0.428164991159851,0.668531002552277,0.999264546805144,"CvsMid"
"LOC113668690",28.6572197141176,0.0577607720873791,0.365826485122577,0.157891170914061,0.874542555386195,0.999264546805144,"CvsMid"
"LOC113684782",68.092776655617,-0.0448555886164635,0.25024647588345,-0.179245635560336,0.85774483193619,0.999264546805144,"CvsMid"
