"","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2","Treatment_Compare"
"LOC113666378",50,24,129,127,64,57,30,48,154,155,100,43,"CvsHigh"
"LOC113665943",109,127,48,20,394,430,27,109,102,51,173,173,"CvsHigh"
"LOC113673559",254,91,236,262,229,296,251,250,274,288,311,170,"CvsHigh"
"LOC113675825",42,27,41,46,33,47,53,69,74,63,50,47,"CvsHigh"
"LOC113680168",39,75,49,40,114,173,152,71,42,28,178,14,"CvsHigh"
"LOC113670244",62,46,4,15,40,88,42,115,25,59,41,56,"CvsHigh"
"LOC113687093",103,33,51,65,78,141,110,135,77,88,113,71,"CvsHigh"
"LOC113664948",198,400,34,256,115,291,894,425,240,81,189,90,"CvsHigh"
"LOC113667295",48,11,4,6,52,128,23,54,6,39,25,48,"CvsHigh"
"LOC113668658",87,78,22,62,46,126,91,59,36,48,99,59,"CvsHigh"
"LOC113674693",136,224,103,204,183,249,159,196,55,21,286,147,"CvsHigh"
"LOC113684160",246,448,496,272,710,829,729,442,106,246,613,518,"CvsHigh"
"LOC113667613",591,0,740,974,38,35,37,65,932,691,56,25,"CvsHigh"
"LOC113672368",31,32,26,46,29,75,25,46,56,44,27,19,"CvsHigh"
"LOC113673159",36,32,43,40,38,48,58,37,46,68,35,25,"CvsHigh"
"LOC113677808",64,20,65,23,22,62,80,101,56,60,64,26,"CvsHigh"
"LOC113680763",34,7,190,163,16,34,39,51,139,319,41,75,"CvsHigh"
"LOC113676896",24,70,12,36,17,27,27,29,13,17,49,32,"CvsHigh"
"LOC113685809",53,26,12,15,23,54,43,42,33,64,74,37,"CvsHigh"
"LOC113686485",119,29,378,406,100,151,77,73,344,320,197,92,"CvsHigh"
"LOC113686341",82,224,28,16,40,124,164,66,68,26,178,82,"CvsHigh"
"LOC113676603",237,265,248,366,239,257,247,281,235,299,321,217,"CvsHigh"
"LOC113664234",73,30,215,208,74,79,75,67,238,250,108,56,"CvsHigh"
"LOC113676627",239,275,369,296,254,317,307,305,472,440,267,149,"CvsHigh"
"LOC113684585",18,16,17,18,11,21,25,28,20,26,16,11,"CvsHigh"
"LOC113664685",840,758,533,1578,867,1232,1099,819,549,525,1128,873,"CvsHigh"
"LOC113671094",233,157,87,113,166,115,274,284,133,226,228,141,"CvsHigh"
"LOC113682653",262,50,559,533,193,227,144,192,523,627,298,180,"CvsHigh"
"LOC113664667",68,40,50,50,42,50,45,42,36,30,48,52,"CvsHigh"
"LOC113672399",44,17,35,30,36,57,35,40,41,33,44,47,"CvsHigh"
"LOC113668150",974,1112,59,214,355,842,796,930,197,381,1090,328,"CvsHigh"
"LOC113685915",156,67,12,11,86,122,126,171,15,12,181,5,"CvsHigh"
"LOC113678385",101,106,71,17,41,84,71,73,75,42,82,65,"CvsHigh"
"LOC113680964",125,75,364,368,102,119,107,160,428,431,216,113,"CvsHigh"
"LOC113682844",11727,2217,30667,24277,4501,10755,1280,4269,48004,54398,15285,5240,"CvsHigh"
"LOC113685434",52,27,50,45,64,66,54,46,46,36,57,34,"CvsHigh"
"LOC113670459",76,25,354,499,57,165,113,98,510,653,127,70,"CvsHigh"
"LOC113670541",153,191,160,151,117,204,137,163,119,183,188,106,"CvsHigh"
"LOC113668014",499,111,1568,2024,389,550,459,401,1404,1581,894,627,"CvsHigh"
"LOC113686278",196,56,130,91,48,230,229,276,136,238,93,73,"CvsHigh"
"LOC113664139",16,75,9,7,13,13,7,110,5,6,231,14,"CvsHigh"
"LOC113675164",32,4,10,14,11,36,23,26,10,6,32,34,"CvsHigh"
"LOC113669293",95,42,14,35,58,54,100,62,42,44,84,7,"CvsHigh"
"LOC113665702",68,117,49,81,52,83,75,82,108,71,89,39,"CvsHigh"
"LOC113674261",94,32,13,30,56,127,118,14,67,29,100,57,"CvsHigh"
"LOC113674426",71,22,189,138,53,68,34,42,168,239,93,52,"CvsHigh"
"LOC113671271",34,4,14,11,19,41,31,48,16,27,42,22,"CvsHigh"
"LOC113668070",14,15,12,6,20,68,34,28,6,12,18,22,"CvsHigh"
"LOC113678520",191,202,285,85,224,277,233,234,95,262,160,121,"CvsHigh"
"LOC113685534",153,47,24,26,193,258,234,162,37,40,205,84,"CvsHigh"
"LOC113686536",35,19,35,38,32,47,35,31,27,30,57,31,"CvsHigh"
"LOC113675484",121,76,139,50,92,91,106,126,62,97,74,73,"CvsHigh"
"LOC113678667",75,19,27,19,47,34,29,110,45,31,48,22,"CvsHigh"
"LOC113665515",29,46,29,23,22,45,31,23,35,19,50,42,"CvsHigh"
"LOC113665132",832,342,3208,2492,623,422,806,346,2641,2193,1249,741,"CvsHigh"
"LOC113669444",179,147,228,121,250,161,159,229,224,148,235,130,"CvsHigh"
"LOC113676595",83,64,38,72,56,93,80,141,117,109,77,66,"CvsHigh"
"LOC113680137",50,40,20,23,56,62,66,18,37,38,61,47,"CvsHigh"
"LOC113686073",53,13,310,153,41,19,77,51,943,167,97,24,"CvsHigh"
"LOC113671742",107,57,301,409,96,139,92,110,381,398,122,84,"CvsHigh"
"LOC113673162",75,83,21,12,47,56,88,72,9,24,28,39,"CvsHigh"
"LOC113672715",43,30,23,36,30,36,52,50,23,23,70,33,"CvsHigh"
"LOC113668167",338,244,1307,1822,358,346,297,253,1242,1208,593,481,"CvsHigh"
"LOC113686086",195,167,149,171,155,195,196,146,102,192,198,179,"CvsHigh"
"LOC113682771",1680,975,5681,4715,1227,1338,859,553,5147,5193,2319,1132,"CvsHigh"
"LOC113676551",531,298,1271,2381,625,617,638,381,1773,1787,837,536,"CvsHigh"
"LOC113664907",1423,842,5229,5619,1974,1834,1653,1316,4480,4382,2290,1607,"CvsHigh"
"LOC113667052",165,82,167,101,92,190,181,292,264,193,225,85,"CvsHigh"
"LOC113669355",94,83,63,69,137,85,69,118,92,47,110,76,"CvsHigh"
"LOC113681444",214,109,84,73,154,260,109,195,147,130,206,67,"CvsHigh"
"LOC113677891",644,637,406,165,941,792,431,947,896,769,1094,543,"CvsHigh"
"LOC113666137",17,31,16,20,14,19,17,66,3,23,54,14,"CvsHigh"
"LOC113674431",1979,715,820,391,1609,1627,1762,1796,476,811,1770,267,"CvsHigh"
"LOC113670678",57,94,16,36,134,34,152,34,25,37,44,37,"CvsHigh"
"LOC113683906",221,318,442,260,206,328,339,445,355,317,203,274,"CvsHigh"
"LOC113686351",37,50,5,42,20,32,34,44,7,9,41,44,"CvsHigh"
"LOC113671244",598,1157,639,630,469,682,608,884,766,752,362,406,"CvsHigh"
"LOC113670059",499,225,429,465,323,937,652,475,724,608,661,297,"CvsHigh"
"LOC113682626",200,103,48,112,112,231,265,252,37,102,333,139,"CvsHigh"
"LOC113668013",164,233,67,78,33,305,197,146,207,72,236,122,"CvsHigh"
"LOC113683892",77,80,1,8,84,162,96,165,8,11,153,89,"CvsHigh"
"LOC113665304",59,95,56,59,36,52,47,76,76,41,59,32,"CvsHigh"
"LOC113666383",45,22,8,50,153,195,115,140,53,61,134,289,"CvsHigh"
"LOC113674816",26,40,5,37,10,16,23,44,11,6,26,16,"CvsHigh"
"LOC113680239",120,49,81,61,72,100,69,150,89,150,136,63,"CvsHigh"
"LOC113679993",426,144,885,887,389,453,228,232,929,1298,564,238,"CvsHigh"
"LOC113670912",28,17,11,12,42,42,16,32,31,30,57,15,"CvsHigh"
"LOC113681648",6487,2601,26240,23283,4447,9038,5699,5119,19861,21415,9717,7785,"CvsHigh"
"LOC113668956",40,16,13,1,11,43,53,37,9,7,34,7,"CvsHigh"
"LOC113686220",104,46,297,506,70,197,113,128,548,630,171,99,"CvsHigh"
"LOC113672358",30,8,232,222,15,17,24,34,348,129,15,0,"CvsHigh"
"LOC113666721",50,22,17,20,40,26,99,10,17,11,40,16,"CvsHigh"
"LOC113667899",201,82,10,4,95,13,259,15,8,6,243,178,"CvsHigh"
"LOC113672564",261,158,777,1082,222,171,152,158,575,683,256,242,"CvsHigh"
"LOC113664141",233,353,79,116,218,259,335,234,227,140,426,342,"CvsHigh"
"LOC113678352",58,32,5,23,16,94,29,14,10,8,85,58,"CvsHigh"
"LOC113677713",118,141,80,237,109,160,188,190,73,73,145,85,"CvsHigh"
"LOC113684855",1279,372,314,183,647,2034,904,1767,1432,987,1608,1357,"CvsHigh"
"LOC113685955",160,58,77,72,99,306,451,241,190,205,96,132,"CvsHigh"
"LOC113677377",413,509,476,370,296,785,1086,902,680,600,311,357,"CvsHigh"
"LOC113676077",41,37,42,37,38,43,40,85,55,42,39,37,"CvsHigh"
"LOC113664289",1974,2525,299,224,645,3283,1797,1870,256,220,3903,2699,"CvsHigh"
"LOC113679869",307,328,288,64,186,389,224,424,235,138,61,262,"CvsHigh"
"LOC113673455",229,29,669,361,41,67,96,136,747,593,423,79,"CvsHigh"
"LOC113686891",5,19,14,7,53,96,15,10,17,13,35,17,"CvsHigh"
"LOC113682888",372,200,24,52,340,410,344,386,64,93,443,0,"CvsHigh"
"LOC113677411",25,36,6,55,8,21,99,86,7,12,23,49,"CvsHigh"
"LOC113675828",178,162,20,70,151,164,202,206,36,12,180,110,"CvsHigh"
"LOC113682209",55,15,34,28,54,78,100,53,21,21,80,47,"CvsHigh"
"LOC113681730",180,0,56,21,52,152,185,310,44,34,259,221,"CvsHigh"
"LOC113677330",1141,467,668,688,1071,1216,1347,1034,923,979,1112,951,"CvsHigh"
"LOC113685970",18,8,11,4,8,17,17,15,17,8,13,11,"CvsHigh"
"LOC113674578",965,252,44,70,820,1299,1256,1051,61,40,1144,801,"CvsHigh"
"LOC113686410",89,81,75,138,55,111,125,156,138,142,91,56,"CvsHigh"
"LOC113669924",56,51,83,73,48,75,68,58,72,71,83,28,"CvsHigh"
"LOC113669730",517,186,1617,2259,422,484,333,266,1167,1617,803,444,"CvsHigh"
