Names	total	elements
A.cervicornis M.cavernosa P.acuta P.lobata	1	OG0000414
A.cervicornis M.capitata P.acuta P.lobata	2	OG0000487
		OG0000469
A.cervicornis O.faveolata P.lobata	1	OG0000000
A.cervicornis M.capitata P.acuta	2	OG0011284
		OG0007132
A.cervicornis M.capitata P.lobata	2	OG0000008
		OG0000221
M.capitata P.acuta P.lobata	2	OG0000960
		OG0000194
A.cervicornis M.cavernosa	1	OG0001072
A.cervicornis M.capitata	3	OG0006755
		OG0000106
		OG0000003
A.cervicornis P.acuta	4	OG0003466
		OG0000127
		OG0000989
		OG0012176
A.cervicornis P.lobata	2	OG0000491
		OG0000308
M.cavernosa P.acuta	1	OG0000121
M.cavernosa P.lobata	1	OG0005196
O.faveolata P.lobata	1	OG0000888
M.capitata P.acuta	3	OG0001196
		OG0013201
		OG0009134
M.capitata P.lobata	2	OG0001177
		OG0000263
P.acuta P.lobata	1	OG0000605
A.cervicornis	141	OG0002427
		OG0004255
		OG0008234
		OG0020288
		OG0008945
		OG0002904
		OG0006571
		OG0007378
		OG0002830
		OG0000826
		OG0000011
		OG0008220
		OG0011932
		OG0016593
		OG0000090
		OG0004978
		OG0000150
		OG0003771
		OG0009461
		OG0019797
		OG0002408
		OG0001123
		OG0000019
		OG0011464
		OG0011843
		OG0010296
		OG0000272
		OG0002101
		OG0001859
		OG0004944
		OG0010480
		OG0012731
		OG0005343
		OG0001272
		OG0008302
		OG0002315
		OG0000277
		OG0001504
		OG0016614
		OG0000030
		OG0003060
		OG0002034
		OG0000138
		OG0014563
		OG0006092
		OG0016483
		OG0012393
		OG0000015
		OG0001129
		OG0018195
		OG0011685
		OG0013114
		OG0000445
		OG0001038
		OG0001757
		OG0000865
		OG0008019
		OG0005579
		OG0001387
		OG0003794
		OG0000135
		OG0012391
		OG0012158
		OG0004604
		OG0002134
		OG0007349
		OG0001518
		OG0001151
		OG0013433
		OG0000882
		OG0011469
		OG0001506
		OG0001930
		OG0000388
		OG0000136
		OG0000333
		OG0009679
		OG0003715
		OG0011306
		OG0001298
		OG0000001
		OG0000557
		OG0019583
		OG0004547
		OG0003084
		OG0000124
		OG0004605
		OG0014806
		OG0012969
		OG0007498
		OG0000034
		OG0008561
		OG0006445
		OG0005897
		OG0000165
		OG0012911
		OG0005597
		OG0006352
		OG0014559
		OG0002180
		OG0010130
		OG0002171
		OG0007569
		OG0002238
		OG0001386
		OG0011630
		OG0004635
		OG0001808
		OG0004553
		OG0000200
		OG0020090
		OG0011825
		OG0000355
		OG0008062
		OG0008921
		OG0007101
		OG0011235
		OG0000767
		OG0008153
		OG0019471
		OG0005604
		OG0001274
		OG0004420
		OG0000850
		OG0012773
		OG0012424
		OG0004326
		OG0000464
		OG0004834
		OG0001874
		OG0018208
		OG0001570
		OG0002149
		OG0000990
		OG0001711
		OG0011190
		OG0008301
		OG0003132
		OG0006386
		OG0001073
		OG0002527
M.cavernosa	44	OG0003557
		OG0000164
		OG0002677
		OG0000370
		OG0005778
		OG0009946
		OG0017430
		OG0000948
		OG0003177
		OG0000854
		OG0005584
		OG0016068
		OG0012502
		OG0018840
		OG0006986
		OG0013132
		OG0008851
		OG0002494
		OG0006114
		OG0010186
		OG0003181
		OG0000741
		OG0003987
		OG0014114
		OG0001393
		OG0014122
		OG0002799
		OG0000867
		OG0005656
		OG0013947
		OG0010282
		OG0001771
		OG0018812
		OG0016074
		OG0018851
		OG0010016
		OG0016542
		OG0017429
		OG0013205
		OG0016089
		OG0012435
		OG0004374
		OG0018077
		OG0000516
M.capitata	94	OG0000982
		OG0001287
		OG0006367
		OG0000623
		OG0010205
		OG0007229
		OG0000265
		OG0002737
		OG0016339
		OG0000806
		OG0005779
		OG0000744
		OG0001913
		OG0010623
		OG0000424
		OG0000048
		OG0013535
		OG0011115
		OG0001081
		OG0019282
		OG0014041
		OG0009538
		OG0006770
		OG0010588
		OG0001044
		OG0003152
		OG0014300
		OG0010475
		OG0011091
		OG0001049
		OG0011124
		OG0000177
		OG0013300
		OG0014489
		OG0015559
		OG0002422
		OG0006811
		OG0007919
		OG0007403
		OG0009143
		OG0001291
		OG0011949
		OG0009453
		OG0006603
		OG0002575
		OG0006382
		OG0017722
		OG0000027
		OG0000392
		OG0002467
		OG0000608
		OG0011354
		OG0007322
		OG0008907
		OG0001910
		OG0003887
		OG0007679
		OG0015938
		OG0005547
		OG0007769
		OG0000514
		OG0002039
		OG0020989
		OG0000923
		OG0008166
		OG0002444
		OG0000148
		OG0001070
		OG0002028
		OG0000213
		OG0011243
		OG0004661
		OG0002906
		OG0010326
		OG0000500
		OG0004166
		OG0002524
		OG0013703
		OG0016008
		OG0009131
		OG0001295
		OG0004023
		OG0011830
		OG0001155
		OG0004156
		OG0016857
		OG0003431
		OG0002305
		OG0006746
		OG0004155
		OG0015094
		OG0014099
		OG0010342
		OG0006597
P.acuta	143	OG0007310
		OG0005323
		OG0004127
		OG0014169
		OG0010255
		OG0008322
		OG0001273
		OG0013855
		OG0012725
		OG0006523
		OG0014488
		OG0017213
		OG0000812
		OG0001696
		OG0007456
		OG0007608
		OG0001309
		OG0001942
		OG0013020
		OG0004642
		OG0001340
		OG0002795
		OG0005250
		OG0000624
		OG0003268
		OG0005232
		OG0012167
		OG0018774
		OG0000505
		OG0012148
		OG0000382
		OG0001403
		OG0000344
		OG0001367
		OG0002068
		OG0012706
		OG0000872
		OG0016073
		OG0003325
		OG0001238
		OG0007634
		OG0001880
		OG0008766
		OG0017277
		OG0002070
		OG0013359
		OG0011548
		OG0000805
		OG0006553
		OG0001602
		OG0010322
		OG0012168
		OG0002026
		OG0012582
		OG0000527
		OG0009908
		OG0003901
		OG0002471
		OG0000188
		OG0010914
		OG0019119
		OG0001361
		OG0009442
		OG0002355
		OG0001208
		OG0008765
		OG0001459
		OG0004902
		OG0000028
		OG0001186
		OG0004726
		OG0016227
		OG0001497
		OG0002791
		OG0000576
		OG0003976
		OG0019183
		OG0000223
		OG0005799
		OG0001296
		OG0001364
		OG0001575
		OG0004504
		OG0010879
		OG0016091
		OG0014533
		OG0012195
		OG0000307
		OG0007982
		OG0000784
		OG0005595
		OG0001018
		OG0002222
		OG0010185
		OG0007099
		OG0001310
		OG0002538
		OG0010153
		OG0005501
		OG0019178
		OG0009287
		OG0001977
		OG0001248
		OG0016565
		OG0015626
		OG0009928
		OG0015574
		OG0004372
		OG0009942
		OG0003246
		OG0015224
		OG0006401
		OG0015475
		OG0006718
		OG0005988
		OG0007958
		OG0010541
		OG0003713
		OG0008410
		OG0007476
		OG0015011
		OG0013318
		OG0001405
		OG0013212
		OG0021473
		OG0000498
		OG0008564
		OG0006298
		OG0006916
		OG0004095
		OG0001388
		OG0014459
		OG0001342
		OG0003039
		OG0011436
		OG0001141
		OG0006950
		OG0020688
		OG0012948
		OG0004011
		OG0010411
		OG0000669
		OG0002395
P.lobata	86	OG0009388
		OG0001189
		OG0001678
		OG0001036
		OG0001092
		OG0000280
		OG0005876
		OG0003195
		OG0017031
		OG0014051
		OG0000575
		OG0002706
		OG0012244
		OG0000394
		OG0000013
		OG0013436
		OG0011347
		OG0000007
		OG0000306
		OG0004731
		OG0002992
		OG0000241
		OG0002723
		OG0015804
		OG0003080
		OG0013715
		OG0000060
		OG0000038
		OG0003587
		OG0017343
		OG0000295
		OG0001743
		OG0002055
		OG0000240
		OG0000519
		OG0008554
		OG0001227
		OG0004472
		OG0005006
		OG0000848
		OG0006209
		OG0001283
		OG0002897
		OG0000082
		OG0008669
		OG0004312
		OG0002995
		OG0000622
		OG0018760
		OG0000115
		OG0001821
		OG0017371
		OG0016697
		OG0014474
		OG0000216
		OG0000336
		OG0017677
		OG0001487
		OG0000250
		OG0017168
		OG0003238
		OG0006588
		OG0014833
		OG0000187
		OG0000229
		OG0004405
		OG0000178
		OG0015330
		OG0021143
		OG0001323
		OG0000423
		OG0005118
		OG0000180
		OG0000474
		OG0000808
		OG0003966
		OG0009925
		OG0007004
		OG0008724
		OG0002213
		OG0000046
		OG0003190
		OG0010522
		OG0001593
		OG0021373
		OG0000446
