"","GO.IDs"
"146","GO:0000145"
"446","GO:0000438"
"450","GO:0000439"
"647","GO:0000793"
"676","GO:0000814"
"867","GO:0001533"
"3890","GO:0005642"
"3900","GO:0005658"
"3910","GO:0005669"
"4011","GO:0005770"
"4045","GO:0005794"
"4086","GO:0005834"
"6106","GO:0008180"
"11922","GO:0019008"
"14289","GO:0030687"
"14815","GO:0031143"
"15739","GO:0031966"
"16130","GO:0032299"
"17567","GO:0033553"
"18482","GO:0034362"
"19286","GO:0035098"
"19545","GO:0036117"
"19554","GO:0036477"
"20854","GO:0043204"
"21364","GO:0043657"
"21896","GO:0044291"
"25203","GO:0048179"
"30597","GO:0070652"
"30745","GO:0070776"
"30882","GO:0071944"
"31465","GO:0098588"
"31469","GO:0098793"
"31486","GO:0140268"
"31551","GO:1990712"
