"","GO.IDs","term","ontology","over_represented_pvalue","Species","Site","GO.Term","GO.Slim.Term","Cat"
"48","GO:0000055","ribosomal large subunit export from nucleus","BP",0.020514623,"A.cervicornis","Florida","ribosomal large subunit export from nucleus","transport","P"
"143","GO:0000145","exocyst","CC",0.042984627,"A.cervicornis","Florida","exocyst","other cellular component","C"
"187","GO:0000183","rDNA heterochromatin assembly","BP",0.044079209,"A.cervicornis","Florida","chromatin silencing at rDNA","RNA metabolism","P"
"387","GO:0000398","mRNA splicing, via spliceosome","BP",0.034957595,"A.cervicornis","Florida","nuclear mRNA splicing, via spliceosome","RNA metabolism","P"
"401","GO:0000412","histone peptidyl-prolyl isomerization","BP",0.030716833,"A.cervicornis","Florida","histone peptidyl-prolyl isomerization","protein metabolism","P"
"402","GO:0000412","histone peptidyl-prolyl isomerization","BP",0.030716833,"A.cervicornis","Florida","histone peptidyl-prolyl isomerization","cell organization and biogenesis","P"
"437","GO:0000438","core TFIIH complex portion of holo TFIIH complex","CC",0.025341352,"A.cervicornis","Florida","core TFIIH complex portion of holo TFIIH complex","nucleus","C"
"438","GO:0000439","transcription factor TFIIH core complex","CC",0.046210721,"A.cervicornis","Florida","core TFIIH complex","nucleus","C"
"462","GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",0.048184647,"A.cervicornis","Florida","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","RNA metabolism","P"
"545","GO:0000720","pyrimidine dimer repair by nucleotide-excision repair","BP",0.023199075,"A.cervicornis","Florida","pyrimidine dimer repair by nucleotide-excision repair","DNA metabolism","P"
"546","GO:0000720","pyrimidine dimer repair by nucleotide-excision repair","BP",0.023199075,"A.cervicornis","Florida","pyrimidine dimer repair by nucleotide-excision repair","stress response","P"
"633","GO:0000793","condensed chromosome","CC",0.014598654,"A.cervicornis","Florida","condensed chromosome","other cellular component","C"
"655","GO:0000814","ESCRT II complex","CC",0.043509597,"A.cervicornis","Florida","ESCRT II complex","other cytoplasmic organelle","C"
"656","GO:0000814","ESCRT II complex","CC",0.043509597,"A.cervicornis","Florida","ESCRT II complex","other membranes","C"
"840","GO:0001533","cornified envelope","CC",0.027822697,"A.cervicornis","Florida","cornified envelope","cytoskeleton","C"
"856","GO:0001550","ovarian cumulus expansion","BP",0.031712692,"A.cervicornis","Florida","ovarian cumulus expansion","developmental processes","P"
"898","GO:0001595","angiotensin receptor activity","MF",0.022782273,"A.cervicornis","Florida","angiotensin receptor activity","signal transduction activity","F"
"957","GO:0001675","acrosome assembly","BP",0.042846884,"A.cervicornis","Florida","acrosome assembly","cell organization and biogenesis","P"
"1006","GO:0001733","galactosylceramide sulfotransferase activity","MF",0.045450337,"A.cervicornis","Florida","galactosylceramide sulfotransferase activity","other molecular function","F"
