"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"319","GO:0004821",0.0245280469951749,1,1,1,"histidine-tRNA ligase activity","MF"
"553","GO:0006427",0.0245280469951749,1,1,1,"histidyl-tRNA aminoacylation","BP"
"987","GO:0018064",0.0245280469951749,1,1,1,"protein-histidine N-methyltransferase activity","MF"
"1036","GO:0022904",0.0245280469951749,1,1,1,"respiratory electron transport chain","BP"
"1044","GO:0030047",0.0245280469951749,1,1,1,"actin modification","BP"
"1396","GO:0090729",0.0250046201618902,1,1,1,"toxin activity","MF"
"750","GO:0008417",0.0273469947761552,0.99808054579625,2,10,"fucosyltransferase activity","MF"
"927","GO:0016712",0.0308998644411916,1,1,1,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","MF"
"251","GO:0004559",0.0355391360499109,0.999679994423401,1,2,"alpha-mannosidase activity","MF"
"475","GO:0006013",0.0355391360499109,0.999679994423401,1,2,"mannose metabolic process","BP"
"1031","GO:0020037",0.0369943450710385,0.991678765098336,4,55,"heme binding","MF"
"167","GO:0004061",0.0461714810628931,0.999456894024744,1,2,"arylformamidase activity","MF"
"1382","GO:0071705",0.0482428057123934,0.999406431806771,1,2,"nitrogen compound transport","BP"
"956","GO:0016831",0.0679995598285009,0.998223110837883,1,4,"carboxy-lyase activity","MF"
"1006","GO:0019441",0.070887905769479,0.998277809977826,1,3,"tryptophan catabolic process to kynurenine","BP"
"67","GO:0000976",0.0718019338384995,0.99823235109908,1,3,"transcription regulatory region sequence-specific DNA binding","MF"
"170","GO:0004089",0.0718019338384995,0.99823235109908,1,3,"carbonate dehydratase activity","MF"
"529","GO:0006355",0.0797918878437354,0.966776181046237,7,153,"regulation of transcription, DNA-templated","BP"
"384","GO:0005506",0.0841265302201906,0.980614871329128,3,45,"iron ion binding","MF"
"781","GO:0008757",0.0865393291098183,0.997098366141459,1,4,"S-adenosylmethionine-dependent methyltransferase activity","MF"
"775","GO:0008610",0.0887391697711777,0.996945972507362,1,4,"lipid biosynthetic process","BP"
"1016","GO:0019752",0.0908670706335812,0.996586437725395,1,5,"carboxylic acid metabolic process","BP"
"724","GO:0008242",0.0945765381178545,0.996521878792324,1,4,"omega peptidase activity","MF"
"1184","GO:0036374",0.107344004407603,0.995202191604191,1,5,"glutathione hydrolase activity","MF"
"48","GO:0000723",0.108554592370967,0.995090780127993,1,5,"telomere maintenance","BP"
"68","GO:0000981",0.110502700556159,0.97143045229156,3,45,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"189","GO:0004252",0.122982202115315,0.966458986332811,3,56,"serine-type endopeptidase activity","MF"
"610","GO:0006751",0.129250438698223,0.992695548226275,1,6,"glutathione catabolic process","BP"
"641","GO:0006915",0.138470388127423,0.991582856428154,1,6,"apoptotic process","BP"
"185","GO:0004190",0.156053697302836,0.988715028856649,1,8,"aspartic-type endopeptidase activity","MF"
"467","GO:0005975",0.157657808095619,0.951983436956729,3,58,"carbohydrate metabolic process","BP"
"573","GO:0006508",0.170772258731092,0.919412125543272,6,170,"proteolysis","BP"
"569","GO:0006486",0.177813022614516,0.959748235251733,2,31,"protein glycosylation","BP"
"88","GO:0003678",0.186107511975152,0.983499518349924,1,9,"DNA helicase activity","MF"
"925","GO:0016705",0.1873813994967,0.956077950442837,2,33,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","MF"
"87","GO:0003677",0.188811446933131,0.9024990138883,7,194,"DNA binding","MF"
"874","GO:0016055",0.195818496030635,0.98165627065084,1,9,"Wnt signaling pathway","BP"
"261","GO:0004601",0.201662732900575,0.980268259378686,1,10,"peroxidase activity","MF"
"549","GO:0006418",0.202854773887184,0.980024085307609,1,10,"tRNA aminoacylation for protein translation","BP"
"1069","GO:0030414",0.203151994022315,0.979617326240867,1,12,"peptidase inhibitor activity","MF"
"171","GO:0004096",0.208454531067797,0.978491162668522,1,12,"catalase activity","MF"
"357","GO:0005102",0.215563069112932,0.977318767724521,1,10,"signaling receptor binding","MF"
"315","GO:0004812",0.216497339351205,0.976898140779342,1,11,"aminoacyl-tRNA ligase activity","MF"
"546","GO:0006413",0.21904961683081,0.976324212308208,1,11,"translational initiation","BP"
"747","GO:0008376",0.219973702347547,0.976335787351496,1,10,"acetylgalactosaminyltransferase activity","MF"
"1132","GO:0032580",0.219973702347547,0.976335787351496,1,10,"Golgi cisterna membrane","CC"
"362","GO:0005200",0.229013124306421,0.974249393740541,1,10,"structural constituent of cytoskeleton","MF"
"646","GO:0006979",0.251413783067591,0.968125935284623,1,12,"response to oxidative stress","BP"
"387","GO:0005515",0.257358007233903,0.798080290391307,38,1486,"protein binding","MF"
"363","GO:0005201",0.264680314057944,0.963604858459795,1,17,"extracellular matrix structural constituent","MF"
"451","GO:0005874",0.26641662730175,0.963969514915144,1,12,"microtubule","CC"
"924","GO:0016702",0.279736762949787,0.959571009273183,1,14,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF"
