"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"9","GO:0020037",0.0369943450710385,0.991678765098336,4,55,"heme binding","MF"
"6","GO:0008417",0.0273469947761552,0.99808054579625,2,10,"fucosyltransferase activity","MF"
"1","GO:0004061",0.0461714810628931,0.999456894024744,1,2,"arylformamidase activity","MF"
"2","GO:0004559",0.0355391360499109,0.999679994423401,1,2,"alpha-mannosidase activity","MF"
"3","GO:0004821",0.0245280469951749,1,1,1,"histidine-tRNA ligase activity","MF"
"4","GO:0006013",0.0355391360499109,0.999679994423401,1,2,"mannose metabolic process","BP"
"5","GO:0006427",0.0245280469951749,1,1,1,"histidyl-tRNA aminoacylation","BP"
"7","GO:0016712",0.0308998644411916,1,1,1,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen","MF"
"8","GO:0018064",0.0245280469951749,1,1,1,"protein-histidine N-methyltransferase activity","MF"
"10","GO:0022904",0.0245280469951749,1,1,1,"respiratory electron transport chain","BP"
"11","GO:0030047",0.0245280469951749,1,1,1,"actin modification","BP"
"12","GO:0071705",0.0482428057123934,0.999406431806771,1,2,"nitrogen compound transport","BP"
"13","GO:0090729",0.0250046201618902,1,1,1,"toxin activity","MF"
