"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"237","GO:0055114",0.0274487687933063,0.989392198294086,9,525,"oxidation-reduction process","BP"
"186","GO:0043627",3.27479906760166e-05,0.999998253245644,5,49,"response to estrogen","BP"
"2","GO:0000226",0.0019051079524697,0.999818209402766,4,64,"microtubule cytoskeleton organization","BP"
"5","GO:0000278",0.00267547598803084,0.999718904604356,4,69,"mitotic cell cycle","BP"
"48","GO:0006629",0.0442801878110127,0.989234457513185,4,152,"lipid metabolic process","BP"
"171","GO:0038166",8.21453590846723e-06,0.999999839548027,4,15,"angiotensin-activated signaling pathway","BP"
"179","GO:0042475",0.000322475037760509,0.999981556817055,4,35,"odontogenesis of dentin-containing tooth","BP"
"16","GO:0002181",0.0297213278882639,0.995481759134973,3,47,"cytoplasmic translation","BP"
"45","GO:0006352",0.000769256564785183,0.999970968858329,3,18,"DNA-templated transcription, initiation","BP"
"51","GO:0006919",0.022168673092175,0.996947454106964,3,69,"activation of cysteine-type endopeptidase activity involved in apoptotic process","BP"
"52","GO:0007017",0.00416539165634825,0.999694230452586,3,43,"microtubule-based process","BP"
"79","GO:0009966",0.0381796996319186,0.993480665851349,3,93,"regulation of signal transduction","BP"
"86","GO:0010976",0.0460009637120239,0.991524592146002,3,111,"positive regulation of neuron projection development","BP"
"90","GO:0014823",0.00519810857387086,0.999586515640964,3,44,"response to activity","BP"
"94","GO:0015670",0.000491524014077795,0.999984111797253,3,18,"carbon dioxide transport","BP"
"96","GO:0015986",0.00086322062238722,0.999967012785977,3,15,"ATP synthesis coupled proton transport","BP"
"138","GO:0032849",0.000252325967723122,0.999993691610257,3,15,"positive regulation of cellular pH reduction","BP"
"152","GO:0034605",0.0069829623519701,0.99938041827316,3,47,"cellular response to heat","BP"
"188","GO:0044281",0.00643089973357803,0.999445160488027,3,49,"small molecule metabolic process","BP"
"205","GO:0045780",0.000145016552779503,0.999997079860164,3,13,"positive regulation of bone resorption","BP"
"211","GO:0046903",0.000303424187691907,0.999991832916725,3,16,"secretion","BP"
"219","GO:0048484",0.00225554035022543,0.999868241467958,3,35,"enteric nervous system development","BP"
"231","GO:0051091",0.0251025216431409,0.996368958299251,3,75,"positive regulation of DNA-binding transcription factor activity","BP"
"238","GO:0060041",0.0130330090444147,0.998532067704477,3,63,"retina development in camera-type eye","BP"
"263","GO:0071300",0.0125194964914804,0.998613545609048,3,59,"cellular response to retinoic acid","BP"
"341","GO:2001150",0.00029258146583717,0.999992222474743,3,16,"positive regulation of dipeptide transmembrane transport","BP"
"342","GO:2001225",0.000336551103371998,0.999990526762134,3,17,"regulation of chloride transport","BP"
"1","GO:0000082",0.0499739524502791,0.994509225893654,2,40,"G1/S transition of mitotic cell cycle","BP"
"10","GO:0001657",0.0375386544048725,0.996462223656875,2,43,"ureteric bud development","BP"
"11","GO:0001838",0.0176119690613538,0.998910567079917,2,29,"embryonic epithelial tube formation","BP"
"14","GO:0002053",0.0146233483627839,0.999184844646584,2,26,"positive regulation of mesenchymal cell proliferation","BP"
