"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"109","GO:0020037",0.00319130032408296,0.999516335531252,5,132,"heme binding","MF"
"26","GO:0004064",3.92810004261384e-06,0.99999993885834,4,13,"arylesterase activity","MF"
"27","GO:0004089",7.00887817282282e-05,0.999997428539973,4,23,"carbonate dehydratase activity","MF"
"32","GO:0005200",0.000708937443304743,0.999948767581069,4,51,"structural constituent of cytoskeleton","MF"
"22","GO:0003725",0.0083117296560036,0.99921181433179,3,51,"double-stranded RNA binding","MF"
"60","GO:0008137",0.00323736537907427,0.99979391285702,3,21,"NADH dehydrogenase (ubiquinone) activity","MF"
"64","GO:0008201",0.0155177074516328,0.998132917692444,3,66,"heparin binding","MF"
"70","GO:0009055",0.0150950241482693,0.998216358479058,3,52,"electron transfer activity","MF"
"102","GO:0016829",0.0043042152309689,0.999682332050127,3,38,"lyase activity","MF"
"23","GO:0003730",0.0411518388619281,0.995941714788413,2,38,"mRNA 3'-UTR binding","MF"
"25","GO:0004013",0.000461334814555791,0.999997299255581,2,4,"adenosylhomocysteinase activity","MF"
"61","GO:0008143",0.015628374566083,0.999107815053229,2,22,"poly(A) binding","MF"
"62","GO:0008171",0.000845975321921354,0.999991497733277,2,6,"O-methyltransferase activity","MF"
"65","GO:0008266",0.0136243840811937,0.999278822384173,2,21,"poly(U) RNA binding","MF"
"66","GO:0008494",0.00175540540923807,0.999973008506115,2,7,"translation activator activity","MF"
"92","GO:0015078",0.0187195251548079,0.998843633393558,2,18,"proton transmembrane transporter activity","MF"
"103","GO:0016922",0.0201947685395331,0.998657098596811,2,29,"nuclear receptor binding","MF"
"108","GO:0019894",0.0450796368521339,0.995296531030317,2,46,"kinesin binding","MF"
"116","GO:0030331",0.0283352023268945,0.997732139683078,2,32,"estrogen receptor binding","MF"
"131","GO:0032217",0.0103581744363949,0.999528766317433,2,19,"riboflavin transmembrane transporter activity","MF"
"212","GO:0046933",0.00596646981951797,0.999812501344131,2,10,"proton-transporting ATP synthase activity, rotational mechanism","MF"
