"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"32","GO:0055114",2.76935455978542e-05,0.999995771612945,10,420,"oxidation-reduction process","BP"
"13","GO:0006979",0.000117961933897199,0.999997675979609,3,20,"response to oxidative stress","BP"
"17","GO:0009060",3.66693191249015e-05,1,2,2,"aerobic respiration","BP"
"20","GO:0015986",0.00118038385018125,0.999984384775385,2,9,"ATP synthesis coupled proton transport","BP"
"1","GO:0000105",0.0362354007458493,0.999438482214746,1,7,"histidine biosynthetic process","BP"
"12","GO:0006182",0.021014032896548,0.999812282293317,1,7,"cGMP biosynthetic process","BP"
"14","GO:0007154",0.0354246941214408,0.999431344828769,1,11,"cell communication","BP"
"15","GO:0007178",0.01397590675301,0.999927509963858,1,4,"transmembrane receptor protein serine/threonine kinase signaling pathway","BP"
"18","GO:0009190",0.0446752593323449,0.999073223662384,1,14,"cyclic nucleotide biosynthetic process","BP"
"33","GO:0070588",0.0408983807746931,0.999234211591375,1,12,"calcium ion transmembrane transport","BP"
