"","GO.IDs"
"972","GO:0001701"
"1370","GO:0002063"
"2273","GO:0003008"
"5042","GO:0006955"
"5732","GO:0007585"
"7317","GO:0009791"
"7495","GO:0009967"
"13586","GO:0030206"
"13848","GO:0030512"
"16625","GO:0033037"
"19191","GO:0036342"
"19348","GO:0042127"
"19984","GO:0042733"
"20325","GO:0043065"
"20327","GO:0043066"
"20376","GO:0043123"
"22453","GO:0045893"
"23364","GO:0046777"
"25134","GO:0048589"
"25296","GO:0048703"
"26197","GO:0050655"
"26442","GO:0050896"
"30278","GO:0071260"
"30279","GO:0071864"
"30810","GO:0090050"
"30811","GO:1900745"
"30812","GO:2000773"
