"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"6357","GO:0022002",2.93812276317793e-14,1,8,10,"negative regulation of anterior neural cell fate commitment of the neural plate by Wnt signaling pathway","BP"
"13172","GO:0060898",1.12571887803246e-13,1,8,11,"eye field cell fate commitment involved in camera-type eye formation","BP"
"13963","GO:0070654",8.32875610895398e-13,1,8,13,"sensory epithelium regeneration","BP"
"9784","GO:0043049",2.1918965504747e-11,1,8,18,"otic placode formation","BP"
"6307","GO:0021879",5.34921773120506e-11,1,8,19,"forebrain neuron differentiation","BP"
"6296","GO:0021854",5.41801030562243e-09,0.999999999817219,8,33,"hypothalamus development","BP"
"14421","GO:0071679",5.72642301303468e-09,0.999999999800683,8,38,"commissural neuron axon guidance","BP"
"9445","GO:0042292",7.90944414329505e-08,0.999999999822334,4,5,"URM1 activating enzyme activity","MF"
"13449","GO:0061604",7.90944414329505e-08,0.999999999822334,4,5,"molybdopterin-synthase sulfurtransferase activity","MF"
"13450","GO:0061605",7.90944414329505e-08,0.999999999822334,4,5,"molybdopterin-synthase adenylyltransferase activity","MF"
"11358","GO:0048018",2.75479928092519e-07,0.999999983324757,8,53,"receptor ligand activity","MF"
"2040","GO:0005125",2.98208646727919e-07,0.999999972226692,10,96,"cytokine activity","MF"
"13330","GO:0061302",3.7298895125723e-07,0.999999997717107,4,7,"smooth muscle cell-matrix adhesion","BP"
"6864","GO:0030900",3.93317542963552e-07,0.999999949733678,12,191,"forebrain development","BP"
"792","GO:0002143",5.94164827821657e-07,0.999999995907234,4,7,"tRNA wobble position uridine thiolation","BP"
"12740","GO:0060070",1.01194602850319e-06,0.999999907241805,9,104,"canonical Wnt signaling pathway","BP"
"6303","GO:0021871",1.01907437956113e-06,0.999999977464757,5,16,"forebrain regionalization","BP"
"3243","GO:0007275",1.15149950038088e-06,0.999999873802723,10,120,"multicellular organism development","BP"
"7563","GO:0032447",1.40663237777805e-06,0.999999986487322,4,8,"protein urmylation","BP"
"2029","GO:0005109",1.55278297705243e-06,0.999999850757159,9,94,"frizzled binding","MF"
"12733","GO:0060061",1.68003318048535e-06,0.999999983113888,4,8,"Spemann organizer formation","BP"
"8193","GO:0034227",1.94212926083165e-06,0.9999999781585,4,9,"tRNA thio-modification","BP"
"500","GO:0001654",2.16455637775801e-06,0.999999781079381,9,115,"eye development","BP"
"4854","GO:0014909",2.51535444050308e-06,0.999999968107792,4,10,"smooth muscle cell migration","BP"
"10456","GO:0045165",2.82435124047313e-06,0.999999654538457,10,146,"cell fate commitment","BP"
"11409","GO:0048144",3.10659727520204e-06,0.999999960613859,4,9,"fibroblast proliferation","BP"
