"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"15","GO:0003676",0,1,10,10,"nucleic acid binding","MF"
"42","GO:0004672",0,1,15,15,"protein kinase activity","MF"
"52","GO:0004930",0,1,15,15,"G protein-coupled receptor activity","MF"
"100","GO:0006468",0,1,15,15,"protein phosphorylation","BP"
"103","GO:0006508",0,1,9,9,"proteolysis","BP"
"127","GO:0007165",0,1,8,8,"signal transduction","BP"
"129","GO:0007186",0,1,15,15,"G protein-coupled receptor signaling pathway","BP"
"148","GO:0008270",0,1,15,15,"zinc ion binding","MF"
"180","GO:0016020",0,1,18,18,"membrane","CC"
"245","GO:0055085",0,1,13,13,"transmembrane transport","BP"
"246","GO:0055114",0,1,16,16,"oxidation-reduction process","BP"
"67","GO:0005515",4.55882921845145e-116,1,80,80,"protein binding","MF"
"181","GO:0016021",1.05240798224272e-41,1,30,30,"integral component of membrane","CC"
"68","GO:0005524",2.32907656908861e-37,1,25,25,"ATP binding","MF"
"44","GO:0004713",7.43980754955202e-13,1,8,8,"protein tyrosine kinase activity","MF"
"69","GO:0005525",3.66775810938267e-12,1,8,8,"GTP binding","MF"
"89","GO:0006355",3.81978759635764e-12,1,8,8,"regulation of transcription, DNA-templated","BP"
"66","GO:0005509",4.40274315060415e-12,1,8,8,"calcium ion binding","MF"
"17","GO:0003700",1.50935961164739e-10,1,7,7,"DNA-binding transcription factor activity","MF"
"199","GO:0016787",4.16634370844935e-10,1,7,7,"hydrolase activity","MF"
"25","GO:0003924",2.89515814022128e-09,1,6,6,"GTPase activity","MF"
"22","GO:0003824",3.80630945264323e-08,1,5,5,"catalytic activity","MF"
"73","GO:0005634",5.81473606692821e-08,1,5,5,"nucleus","CC"
"185","GO:0016491",7.40020079886829e-08,1,5,5,"oxidoreductase activity","MF"
"72","GO:0005576",8.26072020122181e-08,1,5,5,"extracellular region","CC"
"16","GO:0003677",1.39255035582582e-07,1,5,5,"DNA binding","MF"
"234","GO:0046872",1.92102818190639e-07,1,5,5,"metal ion binding","MF"
"51","GO:0004888",1.03215887517103e-06,1,4,4,"transmembrane signaling receptor activity","MF"
"128","GO:0007166",1.03215887517103e-06,1,4,4,"cell surface receptor signaling pathway","BP"
"120","GO:0006886",1.0828150295302e-06,1,4,4,"intracellular protein transport","BP"
"145","GO:0008237",1.10079518269249e-06,1,4,4,"metallopeptidase activity","MF"
"19","GO:0003723",1.20929554067477e-06,1,4,4,"RNA binding","MF"
"26","GO:0003950",1.22128963638952e-06,1,4,4,"NAD+ ADP-ribosyltransferase activity","MF"
"202","GO:0016887",1.43742768325253e-06,1,4,4,"ATPase activity","MF"
"126","GO:0007154",1.7784129712511e-06,1,4,4,"cell communication","BP"
"208","GO:0022857",1.83973803155488e-06,1,4,4,"transmembrane transporter activity","MF"
"20","GO:0003735",3.9594286143426e-06,1,4,4,"structural constituent of ribosome","MF"
"81","GO:0005840",3.9594286143426e-06,1,4,4,"ribosome","CC"
"95","GO:0006412",3.9594286143426e-06,1,4,4,"translation","BP"
"231","GO:0043565",3.14695262282064e-05,1,3,3,"sequence-specific DNA binding","MF"
"110","GO:0006811",3.14889216137871e-05,1,3,3,"ion transport","BP"
"151","GO:0008289",3.43370475472157e-05,1,3,3,"lipid binding","MF"
"112","GO:0006813",3.86382075005186e-05,1,3,3,"potassium ion transport","BP"
"184","GO:0016311",4.02844398176944e-05,1,3,3,"dephosphorylation","BP"
"200","GO:0016791",4.02844398176944e-05,1,3,3,"phosphatase activity","MF"
"35","GO:0004252",4.49624186930856e-05,1,3,3,"serine-type endopeptidase activity","MF"
"85","GO:0005975",4.79867506343484e-05,1,3,3,"carbohydrate metabolic process","BP"
"131","GO:0007275",7.3152451733381e-05,1,3,3,"multicellular organism development","BP"
"242","GO:0051260",7.43133259895548e-05,1,3,3,"protein homooligomerization","BP"
"36","GO:0004386",0.000998000960399258,1,2,2,"helicase activity","MF"
"58","GO:0005216",0.000998954871354121,1,2,2,"ion channel activity","MF"
"61","GO:0005249",0.000998954871354121,1,2,2,"voltage-gated potassium channel activity","MF"
"75","GO:0005737",0.000999148516736487,1,2,2,"cytoplasm","CC"
"152","GO:0008299",0.00102119676814115,1,2,2,"isoprenoid biosynthetic process","BP"
"50","GO:0004867",0.00103505498306594,1,2,2,"serine-type endopeptidase inhibitor activity","MF"
"86","GO:0006099",0.0010369966553419,1,2,2,"tricarboxylic acid cycle","BP"
"46","GO:0004725",0.00107751936713314,1,2,2,"protein tyrosine phosphatase activity","MF"
"101","GO:0006470",0.00107751936713314,1,2,2,"protein dephosphorylation","BP"
"140","GO:0008138",0.00107751936713314,1,2,2,"protein tyrosine/serine/threonine phosphatase activity","MF"
"78","GO:0005743",0.00109012614900637,1,2,2,"mitochondrial inner membrane","CC"
"183","GO:0016192",0.00109094637663181,1,2,2,"vesicle-mediated transport","BP"
"211","GO:0030117",0.00109094637663181,1,2,2,"membrane coat","CC"
"169","GO:0015031",0.00109112994872639,1,2,2,"protein transport","BP"
"34","GO:0004222",0.00110881784793199,1,2,2,"metalloendopeptidase activity","MF"
"192","GO:0016702",0.00117178486033722,1,2,2,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF"
"238","GO:0050660",0.00120058390275393,1,2,2,"flavin adenine dinucleotide binding","MF"
"153","GO:0008376",0.00121395869431733,1,2,2,"acetylgalactosaminyltransferase activity","MF"
"222","GO:0032580",0.00121395869431733,1,2,2,"Golgi cisterna membrane","CC"
"214","GO:0030246",0.00129524396996509,1,2,2,"carbohydrate binding","MF"
"122","GO:0006915",0.00130391401666192,1,2,2,"apoptotic process","BP"
"64","GO:0005506",0.00138675135545213,1,2,2,"iron ion binding","MF"
