"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"960","GO:0007154",0.000509546274168961,0.999970416915403,4,15,"cell communication","BP"
"446","GO:0004713",0.00345864469245366,0.999139230254677,8,101,"protein tyrosine kinase activity","MF"
"199","GO:0003950",0.0121670437917324,0.998074385709742,4,37,"NAD+ ADP-ribosyltransferase activity","MF"
"1243","GO:0015934",0.0137822632382309,0.999357431981266,2,8,"large ribosomal subunit","CC"
"926","GO:0006915",0.0156774520659154,0.999217587351877,2,8,"apoptotic process","BP"
"1060","GO:0008299",0.017945819997958,0.999011220581532,2,9,"isoprenoid biosynthetic process","BP"
"1345","GO:0016755",0.0230452907991091,1,1,1,"transferase activity, transferring amino-acyl groups","MF"
"2059","GO:0090730",0.0233770076472829,1,1,1,"Las1 complex","CC"
"1010","GO:0008113",0.0234730838855008,1,1,1,"peptide-methionine (S)-S-oxide reductase activity","MF"
"1523","GO:0030148",0.0235143554754799,1,1,1,"sphingolipid biosynthetic process","BP"
"1750","GO:0042284",0.0235143554754799,1,1,1,"sphingolipid delta-4 desaturase activity","MF"
"2063","GO:0097193",0.0235908282455793,1,1,1,"intrinsic apoptotic signaling pathway","BP"
"455","GO:0004733",0.0236183783840856,1,1,1,"pyridoxamine-phosphate oxidase activity","MF"
"1115","GO:0008615",0.0236183783840856,1,1,1,"pyridoxine biosynthetic process","BP"
"234","GO:0004044",0.0236193110395536,1,1,1,"amidophosphoribosyltransferase activity","MF"
"908","GO:0006825",0.023619543313818,1,1,1,"copper ion transport","BP"
"1102","GO:0008535",0.023619543313818,1,1,1,"respiratory chain complex IV assembly","BP"
"336","GO:0004421",0.0236206543160192,1,1,1,"hydroxymethylglutaryl-CoA synthase activity","MF"
"1048","GO:0008253",0.0236587900822044,1,1,1,"5'-nucleotidase activity","MF"
"1907","GO:0048869",0.0237319623857667,1,1,1,"cellular developmental process","BP"
"1603","GO:0031464",0.023837728741634,1,1,1,"Cul4A-RING E3 ubiquitin ligase complex","CC"
"166","GO:0003868",0.0239005266408133,1,1,1,"4-hydroxyphenylpyruvate dioxygenase activity","MF"
"1331","GO:0016701",0.0239005266408133,1,1,1,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen","MF"
"1637","GO:0032422",0.0240028421936103,1,1,1,"purine-rich negative regulatory element binding","MF"
"832","GO:0006515",0.0240111816138482,1,1,1,"protein quality control for misfolded or incompletely synthesized proteins","BP"
"489","GO:0004817",0.0244155994305271,1,1,1,"cysteine-tRNA ligase activity","MF"
"798","GO:0006423",0.0244155994305271,1,1,1,"cysteinyl-tRNA aminoacylation","BP"
"1510","GO:0030121",0.0249708294555116,1,1,1,"AP-1 adaptor complex","CC"
"26","GO:0000160",0.0263132483496096,1,1,1,"phosphorelay signal transduction system","BP"
"714","GO:0006099",0.0374314591008225,0.996743357175023,2,13,"tricarboxylic acid cycle","BP"
"1056","GO:0008289",0.0409027207786445,0.993038645777263,3,32,"lipid binding","MF"
"2112","unknown",0.0409794097476702,0.993007672713379,3,33,NA,NA
"1508","GO:0030117",0.04510502683411,0.995614112272304,2,14,"membrane coat","CC"
"1011","GO:0008119",0.0457080750837349,0.999466378271985,1,2,"thiopurine S-methyltransferase activity","MF"
"940","GO:0007021",0.0459571577001183,0.999460476846502,1,2,"tubulin complex assembly","BP"
"941","GO:0007023",0.0459571577001183,0.999460476846502,1,2,"post-chaperonin tubulin folding pathway","BP"
"1904","GO:0048487",0.0459571577001183,0.999460476846502,1,2,"beta-tubulin binding","MF"
"1428","GO:0018193",0.046299637703442,0.999452308328764,1,2,"peptidyl-amino acid modification","BP"
"752","GO:0006278",0.0464172712943597,0.999449488139165,1,2,"RNA-dependent DNA biosynthetic process","BP"
"914","GO:0006878",0.0466717611341194,0.999443361526491,1,2,"cellular copper ion homeostasis","BP"
"1149","GO:0009113",0.0466827706291861,0.999443095699252,1,2,"purine nucleobase biosynthetic process","BP"
"1419","GO:0017183",0.0467963939613129,0.999440348436022,1,2,"peptidyl-diphthamide biosynthetic process from peptidyl-histidine","BP"
"1473","GO:0019781",0.0471274068320963,0.999432305505108,1,2,"NEDD8 activating enzyme activity","MF"
"1832","GO:0045116",0.0471274068320963,0.999432305505108,1,2,"protein neddylation","BP"
"257","GO:0004122",0.0475188316528492,0.999422718813608,1,2,"cystathionine beta-synthase activity","MF"
"839","GO:0006535",0.0475188316528492,0.999422718813608,1,2,"cysteine biosynthetic process from serine","BP"
"1452","GO:0019343",0.0475188316528492,0.999422718813608,1,2,"cysteine biosynthetic process via cystathionine","BP"
"1226","GO:0015377",0.0478188577994163,0.999415314945379,1,2,"cation:chloride symporter activity","MF"
"1043","GO:0008239",0.0480356765860252,0.999409934320708,1,2,"dipeptidyl-peptidase activity","MF"
"1956","GO:0051537",0.048566162092739,0.995042801680789,2,15,"2 iron, 2 sulfur cluster binding","MF"
"449","GO:0004719",0.0499573993651556,0.9993611391726,1,2,"protein-L-isoaspartate (D-aspartate) O-methyltransferase activity","MF"
"92","GO:0000977",0.0507095112298939,0.999341500374695,1,2,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF"
"1323","GO:0016638",0.0517445113213684,0.999313975759187,1,2,"oxidoreductase activity, acting on the CH-NH2 group of donors","MF"
"1492","GO:0022900",0.0684735333495057,0.998390486678901,1,3,"electron transport chain","BP"
"24","GO:0000154",0.0686674084927782,0.998381212395135,1,3,"rRNA modification","BP"
"31","GO:0000179",0.0686674084927782,0.998381212395135,1,3,"rRNA (adenine-N6,N6-)-dimethyltransferase activity","MF"
"1627","GO:0032217",0.0691203635298454,0.998359437458722,1,3,"riboflavin transmembrane transporter activity","MF"
"1628","GO:0032218",0.0691203635298454,0.998359437458722,1,3,"riboflavin transport","BP"
"780","GO:0006383",0.0691517607883238,0.998357922529786,1,3,"transcription by RNA polymerase III","BP"
"613","GO:0005685",0.069215085935024,0.998354864872629,1,3,"U1 snRNP","CC"
"207","GO:0003964",0.0694091084829882,0.998345478202141,1,3,"RNA-directed DNA polymerase activity","MF"
"102","GO:0001534",0.0694240053909125,0.998344756360693,1,3,"radial spoke","CC"
"1977","GO:0060294",0.0694240053909125,0.998344756360693,1,3,"cilium movement involved in cell motility","BP"
"1180","GO:0009408",0.0695118221246823,0.99834049782754,1,3,"response to heat","BP"
"1581","GO:0031072",0.0695118221246823,0.99834049782754,1,3,"heat shock protein binding","MF"
"1051","GO:0008271",0.070360099982189,0.998299070948563,1,3,"secondary active sulfate transmembrane transporter activity","MF"
"1729","GO:0036297",0.0704653363205577,0.998293894789381,1,3,"interstrand cross-link repair","BP"
"1796","GO:0043240",0.0704653363205577,0.998293894789381,1,3,"Fanconi anaemia nuclear complex","CC"
"596","GO:0005548",0.0705901261558814,0.998287746341289,1,3,"phospholipid transporter activity","MF"
"2007","GO:0070573",0.0705950223792447,0.998287504869337,1,3,"metallodipeptidase activity","MF"
"625","GO:0005743",0.0723209847740479,0.990577312119736,2,19,"mitochondrial inner membrane","CC"
"983","GO:0007275",0.0765915255712897,0.983010529689955,3,41,"multicellular organism development","BP"
"659","GO:0005840",0.0785129723395182,0.973121099615013,5,97,"ribosome","CC"
"1208","GO:0015031",0.0809875418802653,0.988704905525446,2,20,"protein transport","BP"
"522","GO:0004867",0.0855850863715643,0.987731365380418,2,19,"serine-type endopeptidase inhibitor activity","MF"
"1017","GO:0008138",0.0881042709053553,0.987061906127239,2,21,"protein tyrosine/serine/threonine phosphatase activity","MF"
"627","GO:0005747",0.0900245899315167,0.996846373560673,1,4,"mitochondrial respiratory chain complex I","CC"
"17","GO:0000122",0.0901119805508862,0.996840124675715,1,4,"negative regulation of transcription by RNA polymerase II","BP"
"916","GO:0006886",0.0906399803068507,0.97233533076127,4,69,"intracellular protein transport","BP"
"235","GO:0004045",0.0909330499262887,0.996781099586159,1,4,"aminoacyl-tRNA hydrolase activity","MF"
"1119","GO:0008649",0.0909797495537064,0.996777725354548,1,4,"rRNA methyltransferase activity","MF"
"1976","GO:0060271",0.091406427826882,0.996746810964139,1,4,"cilium assembly","BP"
"1052","GO:0008272",0.0929405017721359,0.996634391620321,1,4,"sulfate transport","BP"
"1216","GO:0015116",0.0929405017721359,0.996634391620321,1,4,"sulfate transmembrane transporter activity","MF"
"1300","GO:0016540",0.0931528833579799,0.9966186711877,1,4,"protein autoprocessing","BP"
"917","GO:0006887",0.0936723103130435,0.996580062496743,1,4,"exocytosis","BP"
"21","GO:0000145",0.0943717600162086,0.996527711860459,1,4,"exocyst","CC"
"1097","GO:0008509",0.0951163911081668,0.99647152390898,1,4,"anion transmembrane transporter activity","MF"
"915","GO:0006885",0.0955309120099365,0.996440041427857,1,4,"regulation of pH","BP"
"1228","GO:0015385",0.0955309120099365,0.996440041427857,1,4,"sodium:proton antiporter activity","MF"
"583","GO:0005515",0.0961746314646223,0.923442721826724,80,2851,"protein binding","MF"
"553","GO:0005200",0.0968540385408804,0.984934593079965,2,22,"structural constituent of cytoskeleton","MF"
"1073","GO:0008376",0.10203298088606,0.983597159040392,2,23,"acetylgalactosaminyltransferase activity","MF"
"1650","GO:0032580",0.10203298088606,0.983597159040392,2,23,"Golgi cisterna membrane","CC"
"789","GO:0006412",0.104892413587902,0.960851506358705,5,106,"translation","BP"
"937","GO:0007017",0.108720300651469,0.981818954417808,2,24,"microtubule-based process","BP"
"1793","GO:0043231",0.111421794139563,0.994807391789143,1,5,"intracellular membrane-bounded organelle","CC"
"623","GO:0005741",0.1117732571221,0.994773782378886,1,5,"mitochondrial outer membrane","CC"
"558","GO:0005242",0.112196172769865,0.994733189368885,1,5,"inward rectifier potassium channel activity","MF"
"435","GO:0004672",0.11229776360541,0.93250718076431,15,433,"protein kinase activity","MF"
"884","GO:0006744",0.112412574289505,0.994712354623489,1,5,"ubiquinone biosynthetic process","BP"
"1364","GO:0016811",0.112989634296815,0.994656585312344,1,5,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides","MF"
"1981","GO:0061608",0.11424955249577,0.994533754294331,1,5,"nuclear import signal receptor activity","MF"
"1257","GO:0016055",0.114419091742693,0.98028764149521,2,24,"Wnt signaling pathway","BP"
"546","GO:0005102",0.114594156321896,0.9802398370278,2,24,"signaling receptor binding","MF"
"1299","GO:0016539",0.114675900190172,0.994491857134831,1,5,"intein-mediated protein splicing","BP"
"817","GO:0006468",0.115601528250146,0.930212355909715,15,435,"protein phosphorylation","BP"
"669","GO:0005874",0.116343823242417,0.979711188554819,2,25,"microtubule","CC"
"577","GO:0005452",0.117190652198292,0.994241310797667,1,5,"inorganic anion exchanger activity","MF"
"906","GO:0006820",0.117190652198292,0.994241310797667,1,5,"anion transport","BP"
"981","GO:0007267",0.118162964905967,0.994142867256537,1,5,"cell-cell signaling","BP"
"1005","GO:0008092",0.11847329730693,0.994111262295462,1,5,"cytoskeletal protein binding","MF"
"560","GO:0005247",0.118869031250026,0.99407083002308,1,5,"voltage-gated chloride channel activity","MF"
"143","GO:0003735",0.120485578690591,0.953082361682949,5,111,"structural constituent of ribosome","MF"
"581","GO:0005507",0.121043792038794,0.978395885326124,2,25,"copper ion binding","MF"
"260","GO:0004129",0.132466027024789,0.992296102569159,1,6,"cytochrome-c oxidase activity","MF"
"1113","GO:0008610",0.132656970618309,0.992273242985632,1,6,"lipid biosynthetic process","BP"
"274","GO:0004176",0.13567235933664,0.991907488843701,1,6,"ATP-dependent peptidase activity","MF"
"858","GO:0006606",0.136803746619994,0.991767944507461,1,6,"protein import into nucleus","BP"
"594","GO:0005544",0.140518490929374,0.991300869208325,1,6,"calcium-dependent phospholipid binding","MF"
"132","GO:0003700",0.142860300712755,0.930962486348009,7,181,"DNA-binding transcription factor activity","MF"
"1332","GO:0016702",0.151854431317731,0.968748750653871,2,29,"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen","MF"
"56","GO:0000387",0.153118136564792,0.98933142202124,1,7,"spliceosomal snRNP assembly","BP"
"1125","GO:0008757",0.154600759737073,0.989116915408474,1,7,"S-adenosylmethionine-dependent methyltransferase activity","MF"
"1145","GO:0009072",0.155412035283502,0.988998575114888,1,7,"aromatic amino acid family metabolic process","BP"
"91","GO:0000976",0.157099994827518,0.988750162947281,1,7,"transcription regulatory region sequence-specific DNA binding","MF"
"1280","GO:0016311",0.158958316235711,0.951249826530496,3,56,"dephosphorylation","BP"
"1871","GO:0046856",0.159107192381921,0.988450910387361,1,7,"phosphatidylinositol dephosphorylation","BP"
"1741","GO:0042157",0.173578887294804,0.985895906326366,1,8,"lipoprotein metabolic process","BP"
"1220","GO:0015267",0.174305208228246,0.985773205463394,1,8,"channel activity","MF"
"373","GO:0004525",0.176292580915987,0.985434544919426,1,8,"ribonuclease III activity","MF"
"646","GO:0005794",0.177605411972027,0.985208476938158,1,8,"Golgi apparatus","CC"
"1225","GO:0015299",0.178527283095857,0.985048610589225,1,8,"solute:proton antiporter activity","MF"
"1422","GO:0018024",0.179284250832437,0.984916648379703,1,8,"histone-lysine N-methyltransferase activity","MF"
"907","GO:0006821",0.181140791269724,0.984590348985158,1,8,"chloride transport","BP"
"1357","GO:0016787",0.183962835281911,0.90506862421083,7,195,"hydrolase activity","MF"
"1241","GO:0015914",0.184132358832658,0.984056623506963,1,8,"phospholipid transport","BP"
"1936","GO:0051087",0.19235438211957,0.982279130793714,1,9,"chaperone binding","MF"
"966","GO:0007166",0.208428411855246,0.913476907094255,4,97,"cell surface receptor signaling pathway","BP"
"665","GO:0005856",0.209941055538865,0.946938645665298,2,34,"cytoskeleton","CC"
"363","GO:0004499",0.213090980442355,0.977801639703901,1,10,"N,N-dimethylaniline monooxygenase activity","MF"
"1873","GO:0046873",0.21467421391723,0.977455139805775,1,10,"metal ion transmembrane transporter activity","MF"
"1117","GO:0008641",0.216751837351573,0.976995980057071,1,10,"ubiquitin-like modifier activating enzyme activity","MF"
"1198","GO:0010181",0.220631835245727,0.976124889402151,1,10,"FMN binding","MF"
"902","GO:0006813",0.225271248526602,0.918484636818071,3,68,"potassium ion transport","BP"
"370","GO:0004519",0.231438157059039,0.973358943082056,1,11,"endonuclease activity","MF"
"2040","GO:0072488",0.232428568423695,0.973118865698965,1,11,"ammonium transmembrane transport","BP"
