"","gene_id","prot","GO_term","1_2","2_2","4_2","11_2","28_2","35_2","36_2","38_2","39_2","41_2","42_2","47_2"
"1","LOC113664124","XP_027035528.1","GO:0004930,GO:0007186,GO:0016021",27,20,20,5,21,15,16,31,21,6,34,15
"2","LOC113664124","XP_027035528.1","GO:0016021",27,20,20,5,21,15,16,31,21,6,34,15
"3","LOC113664139","XP_027035537.1","GO:0006486,GO:0016020",16,75,9,7,13,13,7,110,5,6,231,14
"4","LOC113664141","XP_027035539.1","GO:0007154,GO:0016020",233,353,79,116,218,259,335,234,227,140,426,342
"5","LOC113664150","XP_027035546.1","GO:0007154,GO:0016020",458,152,4,63,226,290,121,16,130,113,241,95
"6","LOC113664234","XP_027035633.1","GO:0005525",73,30,215,208,74,79,75,67,238,250,108,56
"7","LOC113664234","XP_027035633.1","GO:0003924,GO:0005525",73,30,215,208,74,79,75,67,238,250,108,56
"8","LOC113664336","XP_027035733.1","GO:0006820,GO:0008509,GO:0016021",218,133,777,744,402,327,167,178,744,933,378,282
"9","LOC113664336","XP_027035733.1","GO:0006820,GO:0016021",218,133,777,744,402,327,167,178,744,933,378,282
"10","LOC113664336","XP_027035733.1","GO:0005452,GO:0006820,GO:0016020",218,133,777,744,402,327,167,178,744,933,378,282
"11","LOC113664340","XP_027035736.1","GO:0003676",29,17,115,185,26,34,37,32,128,96,45,37
"12","LOC113664349","XP_027035763.1","GO:0003700,GO:0006355",4475,1623,3039,3345,3044,3378,5427,6069,1143,3258,3054,1247
"13","LOC113664349","XP_027035763.1","GO:0003677,GO:0003700,GO:0006355",4475,1623,3039,3345,3044,3378,5427,6069,1143,3258,3054,1247
"14","LOC113664349","XP_027035770.1","GO:0003677,GO:0003700,GO:0006355",4475,1623,3039,3345,3044,3378,5427,6069,1143,3258,3054,1247
"15","LOC113664349","XP_027035777.1","GO:0003700,GO:0006355",4475,1623,3039,3345,3044,3378,5427,6069,1143,3258,3054,1247
"16","LOC113664349","XP_027035757.1","GO:0003677,GO:0003700,GO:0006355",4475,1623,3039,3345,3044,3378,5427,6069,1143,3258,3054,1247
"17","LOC113664349","XP_027035749.1","GO:0003677,GO:0003700,GO:0006355",4475,1623,3039,3345,3044,3378,5427,6069,1143,3258,3054,1247
"18","LOC113664349","XP_027035757.1","GO:0003700,GO:0006355",4475,1623,3039,3345,3044,3378,5427,6069,1143,3258,3054,1247
"19","LOC113664349","XP_027035749.1","GO:0003700,GO:0006355",4475,1623,3039,3345,3044,3378,5427,6069,1143,3258,3054,1247
"20","LOC113664349","XP_027035770.1","GO:0003700,GO:0006355",4475,1623,3039,3345,3044,3378,5427,6069,1143,3258,3054,1247
"21","LOC113664349","XP_027035777.1","GO:0003677,GO:0003700,GO:0006355",4475,1623,3039,3345,3044,3378,5427,6069,1143,3258,3054,1247
"22","LOC113664401","XP_027035799.1","GO:0003700,GO:0006355",47297,110592,4742,15618,77733,62370,61573,62264,4714,2417,82870,56243
"23","LOC113664439","XP_027035840.1","GO:0005515",462,332,111,327,521,488,376,445,15,111,582,379
"24","LOC113664448","XP_027035843.1","GO:0005515",22,15,20,3,20,22,23,26,23,27,27,22
"25","LOC113664448","XP_027035843.1","GO:0008270",22,15,20,3,20,22,23,26,23,27,27,22
"26","LOC113664448","XP_027035843.1","GO:0046872",22,15,20,3,20,22,23,26,23,27,27,22
"27","LOC113664491","XP_027035899.1","GO:0016021",14,34,19,5,26,23,32,23,10,17,35,25
"28","LOC113664491","XP_027035899.1","GO:0004930,GO:0007186,GO:0016021",14,34,19,5,26,23,32,23,10,17,35,25
"29","LOC113664618","XP_027036042.1","GO:0003676",107,133,461,457,66,287,340,210,450,607,159,142
"30","LOC113664618","XP_027036042.1","GO:0003723,GO:0005634,GO:0006397",107,133,461,457,66,287,340,210,450,607,159,142
"31","LOC113664632","XP_027036060.1","GO:0005247,GO:0006821,GO:0016020,GO:0055085",53,75,336,494,90,165,35,318,564,401,20,38
"32","LOC113664651","XP_027036089.1","GO:0005515,GO:0007165",47,12,129,122,35,46,40,59,154,148,45,26
"33","LOC113664669","XP_027036102.1","GO:0005515",14,21,16,13,37,23,11,38,43,13,45,26
"34","LOC113664685","XP_027036113.1","GO:0016021",840,758,533,1578,867,1232,1099,819,549,525,1128,873
"35","LOC113664742","XP_027036167.1","GO:0005509",198,97,1131,719,123,226,138,144,948,1152,263,131
"36","LOC113664769","XP_027036196.1","GO:0005515",571,477,289,143,586,523,510,654,261,825,729,473
"37","LOC113664769","XP_027036197.1","GO:0005515",571,477,289,143,586,523,510,654,261,825,729,473
"38","LOC113664778","XP_027036205.1","GO:0016787",10,9,460,495,6,21,20,22,588,670,19,10
"39","LOC113664778","XP_027036203.1","GO:0070573",10,9,460,495,6,21,20,22,588,670,19,10
"40","LOC113664778","XP_027036203.1","GO:0016787",10,9,460,495,6,21,20,22,588,670,19,10
"41","LOC113664778","XP_027036204.1","GO:0016787",10,9,460,495,6,21,20,22,588,670,19,10
"42","LOC113664778","XP_027036204.1","GO:0070573",10,9,460,495,6,21,20,22,588,670,19,10
"43","LOC113664893","XP_027036313.1","GO:0005576,GO:0008061",91,60,69,45,64,76,57,39,43,56,85,44
"44","LOC113664893","XP_027036313.1","GO:0008061",91,60,69,45,64,76,57,39,43,56,85,44
"45","LOC113664893","XP_027036313.1","GO:0004888,GO:0007166,GO:0016021",91,60,69,45,64,76,57,39,43,56,85,44
"46","LOC113664893","XP_027036313.1","GO:0004930,GO:0007186,GO:0016021",91,60,69,45,64,76,57,39,43,56,85,44
"47","LOC113664893","XP_027036313.1","GO:0004930,GO:0007186",91,60,69,45,64,76,57,39,43,56,85,44
"48","LOC113664907","XP_027036329.1","GO:0005515",1423,842,5229,5619,1974,1834,1653,1316,4480,4382,2290,1607
"49","LOC113664907","XP_027036329.1","GO:0008270",1423,842,5229,5619,1974,1834,1653,1316,4480,4382,2290,1607
"50","LOC113664907","XP_027036338.1","GO:0008270",1423,842,5229,5619,1974,1834,1653,1316,4480,4382,2290,1607
"51","LOC113664907","XP_027036338.1","GO:0005515",1423,842,5229,5619,1974,1834,1653,1316,4480,4382,2290,1607
"52","LOC113664948","XP_027036377.1","GO:0005102,GO:0005576,GO:0007275,GO:0016055",198,400,34,256,115,291,894,425,240,81,189,90
"53","LOC113664961","XP_027036394.1","GO:0005102,GO:0005576,GO:0007275,GO:0016055",161,100,152,238,90,241,232,269,237,317,212,97
"54","LOC113665132","XP_027036584.1","GO:0005515",832,342,3208,2492,623,422,806,346,2641,2193,1249,741
"55","LOC113665188","XP_027036653.1","GO:0016811",82,30,138,378,32,43,27,31,357,431,103,43
"56","LOC113665188","XP_027036653.1","GO:0006807",82,30,138,378,32,43,27,31,357,431,103,43
"57","LOC113665266","XP_027036743.1","GO:0007021,GO:0007023,GO:0048487",236,41,7,13,123,307,186,305,7,15,237,202
"58","LOC113665371","XP_027036843.1","GO:0003676,GO:0016787,GO:0046872",42,34,34,22,27,61,32,57,24,29,58,25
"59","LOC113665451","XP_027036942.1","GO:0000166,GO:0004812,GO:0005524,GO:0006418",270,168,187,467,228,419,303,385,350,374,357,265
"60","LOC113665451","XP_027036942.1","GO:0004817,GO:0005524,GO:0006423",270,168,187,467,228,419,303,385,350,374,357,265
"61","LOC113665493","XP_027036997.1","GO:0004674,GO:0005524,GO:0006468",580,132,1257,959,425,449,277,328,1328,1344,545,368
"62","LOC113665493","XP_027036996.1","GO:0005524",580,132,1257,959,425,449,277,328,1328,1344,545,368
"63","LOC113665493","XP_027036996.1","GO:0004674,GO:0006468,GO:0007165",580,132,1257,959,425,449,277,328,1328,1344,545,368
"64","LOC113665493","XP_027036996.1","GO:0004674,GO:0005524,GO:0006468",580,132,1257,959,425,449,277,328,1328,1344,545,368
"65","LOC113665493","XP_027036996.1","GO:0004672,GO:0005524,GO:0006468",580,132,1257,959,425,449,277,328,1328,1344,545,368
"66","LOC113665493","XP_027036997.1","GO:0005524",580,132,1257,959,425,449,277,328,1328,1344,545,368
"67","LOC113665493","XP_027036997.1","GO:0004674,GO:0006468,GO:0007165",580,132,1257,959,425,449,277,328,1328,1344,545,368
"68","LOC113665493","XP_027036996.1","GO:0004672,GO:0006468",580,132,1257,959,425,449,277,328,1328,1344,545,368
"69","LOC113665493","XP_027036997.1","GO:0004672,GO:0005524,GO:0006468",580,132,1257,959,425,449,277,328,1328,1344,545,368
"70","LOC113665493","XP_027036997.1","GO:0004672,GO:0006468",580,132,1257,959,425,449,277,328,1328,1344,545,368
"71","LOC113665605","XP_027037125.1","GO:0055114",126,34,498,515,108,149,52,88,360,436,173,116
"72","LOC113665670","XP_027037189.1","GO:0005515,GO:0042981",143,45,66,58,71,97,147,201,39,61,128,93
"73","LOC113665670","XP_027037189.1","GO:0005515",143,45,66,58,71,97,147,201,39,61,128,93
"74","LOC113665701","XP_027037229.1","GO:0004672,GO:0006468",56,49,38,29,28,58,46,87,31,38,41,25
"75","LOC113665701","XP_027037229.1","GO:0005524",56,49,38,29,28,58,46,87,31,38,41,25
"76","LOC113665701","XP_027037229.1","GO:0004672,GO:0005524,GO:0006468",56,49,38,29,28,58,46,87,31,38,41,25
"77","LOC113665701","XP_027037229.1","GO:0004713,GO:0006468",56,49,38,29,28,58,46,87,31,38,41,25
"78","LOC113665702","XP_027037230.1","GO:0004713,GO:0006468",68,117,49,81,52,83,75,82,108,71,89,39
