"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"50","GO:0006468",0.00984472015569677,0.996583281523867,10,425,"protein phosphorylation","BP"
"180","GO:0045944",0.044572701166897,0.983625155341021,7,327,"positive regulation of transcription by RNA polymerase II","BP"
"97","GO:0016477",0.00255351344478696,0.999635491363248,5,96,"cell migration","BP"
"5","GO:0001654",0.00162306739677301,0.999918284982943,3,23,"eye development","BP"
"54","GO:0007010",0.00807915159394764,0.999245921045974,3,45,"cytoskeleton organization","BP"
"105","GO:0018105",0.0201228294304294,0.997343127477354,3,58,"peptidyl-serine phosphorylation","BP"
"120","GO:0030324",0.0154189902118123,0.998160494924963,3,55,"lung development","BP"
"154","GO:0040011",0.012369884030407,0.998648080086243,3,47,"locomotion","BP"
"244","GO:1901564",0.0268259401168962,0.996036605354331,3,65,"organonitrogen compound metabolic process","BP"
"2","GO:0000245",0.00414603655138272,0.999892023853671,2,10,"spliceosomal complex assembly","BP"
"45","GO:0006264",0.00297075626344045,0.999936180875633,2,9,"mitochondrial DNA replication","BP"
"53","GO:0006646",0.000504795751142201,0.999996907964649,2,4,"phosphatidylethanolamine biosynthetic process","BP"
"55","GO:0007017",0.0375977957063033,0.99651983868287,2,28,"microtubule-based process","BP"
"56","GO:0007052",0.0282611581905789,0.997783943845024,2,23,"mitotic spindle organization","BP"
"57","GO:0007059",0.0200763006609941,0.998696670958468,2,21,"chromosome segregation","BP"
"58","GO:0007169",0.0442557166176234,0.995481018003183,2,34,"transmembrane receptor protein tyrosine kinase signaling pathway","BP"
"59","GO:0007229",0.0152151155751101,0.999153663785063,2,19,"integrin-mediated signaling pathway","BP"
"69","GO:0007596",0.0194088468311825,0.998767099377359,2,20,"blood coagulation","BP"
"70","GO:0007599",0.0281615252975034,0.997778666704797,2,26,"hemostasis","BP"
"74","GO:0008360",0.0231324117823088,0.998365526272723,2,24,"regulation of cell shape","BP"
"78","GO:0009723",0.00302566784598011,0.999934388869261,2,9,"response to ethylene","BP"
