"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","Orthogroup","Species"
"1","LOC110044078","GO:0032813",0.000375161,1,1,1,"tumor necrosis factor receptor superfamily binding","MF",5685,606.7081647,-3.163505819,0.686248929,-4.609851737,4.03e-06,0.026412438,"CvsT1",NA,NA
"2","LOC110044078","GO:0032813",0.000375161,1,1,1,"tumor necrosis factor receptor superfamily binding","MF",5685,606.7081647,-3.276836382,0.686661901,-4.772124936,1.82e-06,0.006645657,"CvsT3",NA,NA
"3","LOC110044078","GO:0005164",0.010700667,0.999951632,1,26,"tumor necrosis factor receptor binding","MF",5685,606.7081647,-3.163505819,0.686248929,-4.609851737,4.03e-06,0.026412438,"CvsT1",NA,NA
"4","LOC110044078","GO:0005164",0.010700667,0.999951632,1,26,"tumor necrosis factor receptor binding","MF",5685,606.7081647,-3.276836382,0.686661901,-4.772124936,1.82e-06,0.006645657,"CvsT3",NA,NA
"5","LOC110044078","GO:0043065",0.029316197,0.999624966,1,73,"positive regulation of apoptotic process","BP",5685,606.7081647,-3.163505819,0.686248929,-4.609851737,4.03e-06,0.026412438,"CvsT1",NA,NA
"6","LOC110044078","GO:0043065",0.029316197,0.999624966,1,73,"positive regulation of apoptotic process","BP",5685,606.7081647,-3.276836382,0.686661901,-4.772124936,1.82e-06,0.006645657,"CvsT3",NA,NA
"7","LOC110044078","GO:0009967",0.023515805,0.999760018,1,59,"positive regulation of signal transduction","BP",5685,606.7081647,-3.163505819,0.686248929,-4.609851737,4.03e-06,0.026412438,"CvsT1",NA,NA
"8","LOC110044078","GO:0009967",0.023515805,0.999760018,1,59,"positive regulation of signal transduction","BP",5685,606.7081647,-3.276836382,0.686661901,-4.772124936,1.82e-06,0.006645657,"CvsT3",NA,NA
"9","LOC110044078","GO:0071944",0.000500808,0.9999958,2,83,"cell periphery","CC",5685,606.7081647,-3.163505819,0.686248929,-4.609851737,4.03e-06,0.026412438,"CvsT1",NA,NA
"10","LOC110044078","GO:0071944",0.000500808,0.9999958,2,83,"cell periphery","CC",5685,606.7081647,-3.276836382,0.686661901,-4.772124936,1.82e-06,0.006645657,"CvsT3",NA,NA
"11","LOC110044078","GO:0006955",0.020787742,0.999813244,1,50,"immune response","BP",5685,606.7081647,-3.163505819,0.686248929,-4.609851737,4.03e-06,0.026412438,"CvsT1",NA,NA
"12","LOC110044078","GO:0006955",0.020787742,0.999813244,1,50,"immune response","BP",5685,606.7081647,-3.276836382,0.686661901,-4.772124936,1.82e-06,0.006645657,"CvsT3",NA,NA
"13","LOC110045321","GO:0001701",0.026484492,0.999694699,1,66,"in utero embryonic development","BP",2855,217.1979875,-1.645674615,0.341261479,-4.822327504,1.42e-06,0.006645657,"CvsT3","OG0000000","O.faveolata"
