"","x"
"1","OG0000127"
"2","OG0004726"
"3","OG0002222"
"4","OG0001696"
"5","OG0009134"
"6","OG0003268"
"7","OG0001880"
"8","OG0007456"
"9","OG0012168"
"10","OG0012167"
"11","OG0001367"
"12","OG0004372"
"13","OG0011548"
"14","OG0010914"
"15","OG0010185"
"16","OG0006718"
"17","OG0001977"
"18","OG0000344"
"19","OG0000805"
"20","OG0012582"
"21","OG0003466"
"22","OG0000469"
"23","OG0008322"
"24","OG0001296"
"25","OG0000194"
"26","OG0010322"
"27","OG0009442"
"28","OG0000505"
"29","OG0001364"
"30","OG0012148"
"31","OG0000605"
"32","OG0000498"
"33","OG0010411"
"34","OG0007132"
"35","OG0000487"
"36","OG0000960"
"37","OG0007099"
"38","OG0003901"
"39","OG0000872"
"40","OG0009287"
"41","OG0005595"
"42","OG0002471"
"43","OG0001575"
"44","OG0005501"
"45","OG0001186"
"46","OG0003976"
"47","OG0007476"
"48","OG0010255"
"49","OG0006401"
"50","OG0000576"
"51","OG0011436"
"52","OG0000121"
"53","OG0007608"
"54","OG0002355"
"55","OG0001273"
"56","OG0001342"
"57","OG0001196"
"58","OG0001309"
"59","OG0004504"
"60","OG0007310"
"61","OG0012725"
"62","OG0000784"
"63","OG0013201"
"64","OG0000223"
"65","OG0000527"
"66","OG0012195"
"67","OG0000989"
"68","OG0007634"
"69","OG0008765"
"70","OG0001248"
"71","OG0000028"
"72","OG0010879"
"73","OG0001602"
"74","OG0004642"
"75","OG0001141"
"76","OG0001497"
"77","OG0001942"
"78","OG0013020"
"79","OG0006298"
"80","OG0007982"
"81","OG0010153"
"82","OG0000188"
"83","OG0013212"
"84","OG0002026"
"85","OG0001388"
"86","OG0005988"
"87","OG0002538"
"88","OG0001403"
"89","OG0013318"
"90","OG0000414"
"91","OG0003246"
"92","OG0006523"
"93","OG0001238"
"94","OG0010541"
"95","OG0012706"
"96","OG0013359"
"97","OG0001340"
"98","OG0006553"
"99","OG0000382"
"100","OG0007958"
