"","x"
"1","OG0004731"
"2","OG0000423"
"3","OG0000306"
"4","OG0003587"
"5","OG0013715"
"6","OG0002055"
"7","OG0000960"
"8","OG0013436"
"9","OG0000414"
"10","OG0000187"
"11","OG0004312"
"12","OG0000491"
"13","OG0000250"
"14","OG0008669"
"15","OG0000280"
"16","OG0002213"
"17","OG0001227"
"18","OG0000115"
"19","OG0004472"
"20","OG0000469"
"21","OG0000605"
"22","OG0000000"
"23","OG0012244"
"24","OG0000082"
"25","OG0002706"
"26","OG0000013"
"27","OG0002897"
"28","OG0000295"
"29","OG0002723"
"30","OG0000060"
"31","OG0000038"
"32","OG0005006"
"33","OG0006209"
"34","OG0004405"
"35","OG0001092"
"36","OG0000008"
"37","OG0000263"
"38","OG0000446"
"39","OG0001036"
"40","OG0000178"
"41","OG0000221"
"42","OG0000240"
"43","OG0003195"
"44","OG0001189"
"45","OG0001487"
"46","OG0000394"
"47","OG0003190"
"48","OG0000180"
"49","OG0000229"
"50","OG0000487"
"51","OG0003238"
"52","OG0000888"
"53","OG0000194"
"54","OG0001593"
"55","OG0000007"
"56","OG0000575"
