Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
10_2	pass	0.0	warn	49.9528719317	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	pass	17754409.0	pass	fail	pass	44.0	63.0834105214	10_2.fastq.gz.trim.fq.gz	fail	pass
11_1	pass	0.0	warn	119.690494034	Sanger / Illumina 1.9	pass	warn	20-125	Conventional base calls	pass	pass	12250465.0	pass	fail	pass	41.0	59.3237255514	11_1.fastq.gz.trim.fq.gz	warn	pass
11_2	fail	0.0	warn	123.847417615	Sanger / Illumina 1.9	pass	warn	20-125	Conventional base calls	pass	pass	12209817.0	pass	fail	pass	42.0	57.9634221003	11_2.fastq.gz.trim.fq.gz	warn	pass
12_1	pass	0.0	warn	49.9568492548	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	pass	12301966.0	pass	fail	pass	42.0	67.3038253534	12_1.fastq.gz.trim.fq.gz	fail	pass
13_1	pass	0.0	warn	117.393356427	Sanger / Illumina 1.9	pass	warn	20-125	Conventional base calls	pass	pass	14262927.0	pass	fail	pass	45.0	65.3420218782	13_1.fastq.gz.trim.fq.gz	warn	pass
13_2	fail	0.0	warn	123.590196221	Sanger / Illumina 1.9	pass	warn	20-125	Conventional base calls	pass	warn	14217497.0	pass	fail	pass	45.0	62.9041422433	13_2.fastq.gz.trim.fq.gz	warn	pass
14_1	pass	0.0	warn	118.096205963	Sanger / Illumina 1.9	pass	warn	20-125	Conventional base calls	pass	pass	18040337.0	pass	fail	pass	44.0	60.004850975	14_1.fastq.gz.trim.fq.gz	warn	pass
14_2	fail	0.0	warn	123.636331207	Sanger / Illumina 1.9	pass	warn	20-125	Conventional base calls	pass	pass	18017023.0	pass	fail	warn	45.0	58.1029339732	14_2.fastq.gz.trim.fq.gz	warn	pass
15_2	pass	0.0	warn	49.9505410649	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	pass	12071287.0	pass	fail	pass	45.0	69.4213834369	15_2.fastq.gz.trim.fq.gz	fail	pass
16_2	pass	0.0	warn	49.9519886716	Sanger / Illumina 1.9	pass	warn	20-50	Conventional base calls	pass	pass	17629381.0	pass	fail	pass	45.0	65.0236280815	16_2.fastq.gz.trim.fq.gz	fail	pass
