Module	Section	Sample Name	Source
FastQC	all_sections	43_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/43_2.fastq.gz.trim_fastqc.zip
FastQC	all_sections	12_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/12_1.fastq.gz.trim_fastqc.zip
FastQC	all_sections	38_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/38_2.fastq.gz.trim_fastqc.zip
FastQC	all_sections	29_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/29_1.fastq.gz.trim_fastqc.zip
FastQC	all_sections	39_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/39_2.fastq.gz.trim_fastqc.zip
FastQC	all_sections	6_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/6_1.fastq.gz.trim_fastqc.zip
FastQC	all_sections	5_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/5_2.fastq.gz.trim_fastqc.zip
FastQC	all_sections	13_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/13_1.fastq.gz.trim_fastqc.zip
FastQC	all_sections	28_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/28_2.fastq.gz.trim_fastqc.zip
FastQC	all_sections	13_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/13_2.fastq.gz.trim_fastqc.zip
FastQC	all_sections	26_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/26_2.fastq.gz.trim_fastqc.zip
FastQC	all_sections	31_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/31_2.fastq.gz.trim_fastqc.zip
FastQC	all_sections	10_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/10_2.fastq.gz.trim_fastqc.zip
FastQC	all_sections	1_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/1_2.fastq.gz.trim_fastqc.zip
FastQC	all_sections	46_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/46_1.fastq.gz.trim_fastqc.zip
FastQC	all_sections	8_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/8_1.fastq.gz.trim_fastqc.zip
FastQC	all_sections	45_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/45_1.fastq.gz.trim_fastqc.zip
FastQC	all_sections	45_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/45_2.fastq.gz.trim_fastqc.zip
FastQC	all_sections	32_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/32_1.fastq.gz.trim_fastqc.zip
FastQC	all_sections	7_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/7_1.fastq.gz.trim_fastqc.zip
FastQC	all_sections	11_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/11_2.fastq.gz.trim_fastqc.zip
FastQC	all_sections	11_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/11_1.fastq.gz.trim_fastqc.zip
FastQC	all_sections	3_1	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/3_1.fastq.gz.trim_fastqc.zip
FastQC	all_sections	3_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/3_2.fastq.gz.trim_fastqc.zip
FastQC	all_sections	6_2	/data/putnamlab/jillashey/Francois_data/fastqc_results/trimmed/6_2.fastq.gz.trim_fastqc.zip
