Module	Section	Sample Name	Source
FastQC	all_sections	22_ctl2_Mc_TWF_1	/data/putnamlab/jillashey/Francois_data/Florida/fastqc_results/trimmed/trim_include/22_ctl2_Mc_TWF_1.fastq.trim_fastqc.zip
FastQC	all_sections	45_T41_Ac_SC_1	/data/putnamlab/jillashey/Francois_data/Florida/fastqc_results/trimmed/trim_include/45_T41_Ac_SC_1.fastq.trim_fastqc.zip
FastQC	all_sections	27_ctl2_Ac_YG_1	/data/putnamlab/jillashey/Francois_data/Florida/fastqc_results/trimmed/trim_include/27_ctl2_Ac_YG_1.fastq.trim_fastqc.zip
FastQC	all_sections	42_ctl3_Mc_MGR_1	/data/putnamlab/jillashey/Francois_data/Florida/fastqc_results/trimmed/trim_include/42_ctl3_Mc_MGR_1.fastq.trim_fastqc.zip
FastQC	all_sections	43_ctl3_Of_JVP_1	/data/putnamlab/jillashey/Francois_data/Florida/fastqc_results/trimmed/trim_include/43_ctl3_Of_JVP_1.fastq.trim_fastqc.zip
FastQC	all_sections	41_ctl3_Ac_RN_1	/data/putnamlab/jillashey/Francois_data/Florida/fastqc_results/trimmed/trim_include/41_ctl3_Ac_RN_1.fastq.trim_fastqc.zip
FastQC	all_sections	46_T41_Mc_QYH_1	/data/putnamlab/jillashey/Francois_data/Florida/fastqc_results/trimmed/trim_include/46_T41_Mc_QYH_1.fastq.trim_fastqc.zip
FastQC	all_sections	28_ctl1_Mc_GBM_1	/data/putnamlab/jillashey/Francois_data/Florida/fastqc_results/trimmed/trim_include/28_ctl1_Mc_GBM_1.fastq.trim_fastqc.zip
FastQC	all_sections	17_ctl2_Of_ZTH_1	/data/putnamlab/jillashey/Francois_data/Florida/fastqc_results/trimmed/trim_include/17_ctl2_Of_ZTH_1.fastq.trim_fastqc.zip
FastQC	all_sections	44_T41_Of_PVT_1	/data/putnamlab/jillashey/Francois_data/Florida/fastqc_results/trimmed/trim_include/44_T41_Of_PVT_1.fastq.trim_fastqc.zip
FastQC	all_sections	23_ctl1_Of_CTX_1	/data/putnamlab/jillashey/Francois_data/Florida/fastqc_results/trimmed/trim_include/23_ctl1_Of_CTX_1.fastq.trim_fastqc.zip
FastQC	all_sections	25_ctl1_Ac_GF_1	/data/putnamlab/jillashey/Francois_data/Florida/fastqc_results/trimmed/trim_include/25_ctl1_Ac_GF_1.fastq.trim_fastqc.zip
