Orthogroup	Mcavernosa.maker.proteins	GCF_002042975.1_ofav_dov_v1_protein
OG0000000	Mcavernosa18524-RA, Mcavernosa18526-RA	XP_020624579.1, XP_020624580.1, XP_020624578.1, XP_020615354.1, XP_020615355.1, XP_020615398.1, XP_020603602.1, XP_020603603.1, XP_020603601.1, XP_020603604.1
OG0000000	Mcavernosa01506-RA	XP_020601451.1, XP_020600397.1, XP_020601587.1
OG0000000	Mcavernosa08070-RA	XP_020631482.1
OG0000001	Mcavernosa18934-RA	XP_020613057.1, XP_020607692.1, XP_020617323.1
OG0000001	Mcavernosa09902-RA	XP_020614259.1, XP_020603730.1, XP_020603731.1
OG0000001	Mcavernosa11813-RA	XP_020628513.1, XP_020613059.1
OG0000002	Mcavernosa11144-RA	XP_020607843.1
OG0000003	Mcavernosa29868-RA	XP_020614818.1
OG0000003	Mcavernosa06378-RA	XP_020621577.1, XP_020621621.1
OG0000003	Mcavernosa30132-RA, Mcavernosa25815-RA, Mcavernosa05195-RA	XP_020610359.1, XP_020616007.1
OG0000004	Mcavernosa05413-RA	XP_020612448.1, XP_020612449.1, XP_020612450.1, XP_020612451.1, XP_020612452.1, XP_020612453.1, XP_020612267.1
OG0000004	Mcavernosa14274-RA	XP_020623194.1
OG0000004	Mcavernosa15460-RA	XP_020606067.1
OG0000005	Mcavernosa30941-RA, Mcavernosa02956-RA, Mcavernosa08685-RA, Mcavernosa21244-RA, Mcavernosa17385-RA, Mcavernosa14628-RA	XP_020622161.1
OG0000005	Mcavernosa33013-RA, Mcavernosa30940-RA	XP_020611011.1, XP_020611012.1, XP_020606650.1, XP_020607948.1, XP_020607949.1
OG0000005	Mcavernosa22215-RA	XP_020619615.1
OG0000005	Mcavernosa19564-RA, Mcavernosa27682-RA, Mcavernosa08389-RA	XP_020632402.1
OG0000005	Mcavernosa29401-RA	XP_020628368.1
OG0000006	Mcavernosa06791-RA, Mcavernosa06790-RA	XP_020615517.1
OG0000006	Mcavernosa06384-RA	XP_020601815.1
OG0000007	Mcavernosa20927-RA, Mcavernosa20926-RA, Mcavernosa21729-RA	XP_020618836.1, XP_020612667.1
OG0000008	Mcavernosa23941-RA	XP_020622254.1, XP_020622253.1, XP_020622245.1, XP_020622252.1, XP_020622201.1, XP_020622200.1, XP_020622202.1, XP_020617381.1, XP_020605427.1, XP_020621418.1
OG0000008	Mcavernosa27182-RA	XP_020611128.1, XP_020611127.1
OG0000009	Mcavernosa18808-RA, Mcavernosa29373-RA, Mcavernosa18809-RA, Mcavernosa18811-RA, Mcavernosa18810-RA	XP_020624086.1
OG0000010	Mcavernosa08812-RA	XP_020604609.1, XP_020604608.1
OG0000010	Mcavernosa24647-RA	XP_020602072.1
OG0000010	Mcavernosa30129-RA	XP_020607846.1
OG0000012	Mcavernosa26506-RA	XP_020606504.1, XP_020627809.1, XP_020627817.1, XP_020614042.1
OG0000013	Mcavernosa01928-RA	XP_020619789.1, XP_020619788.1
OG0000013	Mcavernosa05514-RA	XP_020615798.1, XP_020615799.1
