Orthogroup	GCF_002042975.1_ofav_dov_v1_protein	Acerv_assembly_v1.0.protein
OG0000000	XP_020624579.1, XP_020624580.1, XP_020624578.1, XP_020615354.1, XP_020615355.1, XP_020615398.1, XP_020603602.1, XP_020603603.1, XP_020603601.1, XP_020603604.1	Acerv_evm.model.Segkk142_pilon.1
OG0000000	XP_020606521.1, XP_020602011.1, XP_020615829.1, XP_020615828.1, XP_020615915.1, XP_020615916.1, XP_020606616.1, XP_020606573.1, XP_020619994.1, XP_020619993.1, XP_020625829.1, XP_020602031.1, XP_020602033.1, XP_020602032.1, XP_020613157.1, XP_020626018.1, XP_020607438.1, XP_020627257.1, XP_020608996.1, XP_020627209.1, XP_020627208.1, XP_020627641.1, XP_020616426.1, XP_020616417.1, XP_020609490.1, XP_020609489.1, XP_020626044.1, XP_020616812.1, XP_020619302.1, XP_020620311.1, XP_020624832.1	Acerv_evm.model.Segkk3980_pilon.18, Acerv_evm.model.Segkk3980_pilon.22, Acerv_evm.model.Segkk3980_pilon.19, Acerv_evm.model.Segkk2469_pilon.24, Acerv_evm.model.Segkk4100_pilon.2, Acerv_evm.model.Segkk769_pilon.2
OG0000000	XP_020631482.1	Acerv_evm.model.Segkk3741_pilon.25
OG0000000	XP_020624737.1	Acerv_evm.model.Segkk3979_pilon.5
OG0000000	XP_020604206.1	Acerv_evm.model.Segkk4004_pilon.6, Acerv_evm.model.Segkk3423_pilon.25, Acerv_evm.model.Segkk3387_pilon.12, Acerv_evm.model.Segkk536_pilon.1, Acerv_evm.model.Segkk3132_pilon.2, Acerv_evm.model.Segkk73_pilon.12, Acerv_evm.model.Segkk1409_pilon.2, Acerv_evm.model.Segkk1728_pilon.51, Acerv_evm.model.Segkk356_pilon.3, Acerv_evm.model.Segkk356_pilon.2, Acerv_evm.model.Segkk1851_pilon.3, Acerv_evm.model.Segkk2238_pilon.1, Acerv_evm.model.Segkk1728_pilon.31, Acerv_evm.model.Segkk644_pilon.5, Acerv_evm.model.Segkk3765_pilon.1, Acerv_evm.model.Segkk1358_pilon.3, Acerv_evm.model.Segkk1035_pilon.13, Acerv_evm.model.Segkk833_pilon.2, Acerv_evm.model.Segkk3366_pilon.1, Acerv_evm.model.Segkk1164_pilon.1, Acerv_evm.model.Segkk1_pilon.1, Acerv_evm.model.Segkk3454_pilon.25, Acerv_evm.model.Segkk2381_pilon.2, Acerv_evm.model.Segkk3675_pilon.10, Acerv_evm.model.Segkk3675_pilon.9, Acerv_evm.model.Segkk3654_pilon.6, Acerv_evm.model.Segkk3096_pilon.7, Acerv_evm.model.Segkk675_pilon.3, Acerv_evm.model.Segkk3996_pilon.1, Acerv_evm.model.Segkk3996_pilon.4, Acerv_evm.model.Segkk1330_pilon.6, Acerv_evm.model.Segkk1330_pilon.4, Acerv_evm.model.Segkk2725_pilon.8, Acerv_evm.model.Segkk3079_pilon.1, Acerv_evm.model.Segkk2987_pilon.7, Acerv_evm.model.Segkk2435_pilon.5, Acerv_evm.model.Segkk3618_pilon.7, Acerv_evm.model.Segkk1240_pilon.4, Acerv_evm.model.Segkk1628_pilon.5, Acerv_evm.model.Segkk1078_pilon.63, Acerv_evm.model.Segkk1664_pilon.1, Acerv_evm.model.Segkk2091_pilon.1, Acerv_evm.model.Segkk2953_pilon.1, Acerv_evm.model.Segkk2276_pilon.1, Acerv_evm.model.Segkk2689_pilon.4, Acerv_evm.model.Segkk1211_pilon.12, Acerv_evm.model.Segkk2589_pilon.3, Acerv_evm.model.Segkk2108_pilon.2, Acerv_evm.model.Segkk2010_pilon.1, Acerv_evm.model.Segkk1314_pilon.1, Acerv_evm.model.Segkk1225_pilon.18, Acerv_evm.model.Segkk3087_pilon.2, Acerv_evm.model.Segkk1853_pilon.8, Acerv_evm.model.Segkk657_pilon.6, Acerv_evm.model.Segkk657_pilon.3
OG0000000	XP_020603598.1	Acerv_evm.model.Segkk3096_pilon.6
OG0000001	XP_020614465.1	Acerv_evm.model.Segkk3741_pilon.21
OG0000001	XP_020617310.1, XP_020609678.1	Acerv_evm.model.Segkk551_pilon.2, Acerv_evm.model.Segkk551_pilon.1
OG0000001	XP_020613057.1, XP_020607692.1, XP_020617323.1	Acerv_evm.model.Segkk3100_pilon.13
OG0000001	XP_020608311.1, XP_020619932.1, XP_020611237.1, XP_020605932.1	Acerv_evm.model.Segkk2410_pilon.7
OG0000001	XP_020616744.1	Acerv_evm.model.Segkk2851_pilon.10
OG0000001	XP_020606872.1, XP_020606870.1, XP_020606871.1	Acerv_evm.model.Segkk1394_pilon.17, Acerv_evm.model.Segkk2109_pilon.40
OG0000001	XP_020614259.1, XP_020603730.1, XP_020603731.1	Acerv_evm.model.Segkk2669_pilon.2, Acerv_evm.model.Segkk2669_pilon.10, Acerv_evm.model.Segkk2669_pilon.8, Acerv_evm.model.Segkk2669_pilon.1, Acerv_evm.model.Segkk73_pilon.2
OG0000001	XP_020606728.1, XP_020617314.1, XP_020606864.1, XP_020616735.1, XP_020606862.1, XP_020606863.1, XP_020606845.1, XP_020619934.1, XP_020619933.1, XP_020606756.1, XP_020613052.1, XP_020613053.1	Acerv_evm.model.Segkk2896_pilon.4
OG0000002	XP_020607845.1, XP_020608791.1, XP_020620277.1	Acerv_evm.model.Segkk3496_pilon.8
OG0000002	XP_020620280.1, XP_020627844.1, XP_020620370.1, XP_020616590.1	Acerv_evm.model.Segkk1837_pilon.3, Acerv_evm.model.Segkk3867_pilon.3, Acerv_evm.model.Segkk4159_pilon.14, Acerv_evm.model.Segkk2302_pilon.7, Acerv_evm.model.Segkk668_pilon.11
OG0000002	XP_020627706.1, XP_020618400.1, XP_020618393.1	Acerv_evm.model.Segkk1151_pilon.37, Acerv_evm.model.Segkk2050_pilon.19
OG0000002	XP_020620279.1, XP_020627859.1, XP_020627858.1, XP_020619416.1	Acerv_evm.model.Segkk1837_pilon.2
OG0000002	XP_020607843.1	Acerv_evm.model.Segkk2245_pilon.2, Acerv_evm.model.Segkk3867_pilon.4, Acerv_evm.model.Segkk4159_pilon.13, Acerv_evm.model.Segkk668_pilon.10, Acerv_evm.model.Segkk2112_pilon.9, Acerv_evm.model.Segkk2853_pilon.22, Acerv_evm.model.Segkk3190_pilon.2, Acerv_evm.model.Segkk4195_pilon.24, Acerv_evm.model.Segkk1197_pilon.9, Acerv_evm.model.Segkk2302_pilon.8, Acerv_evm.model.Segkk3857_pilon.14, Acerv_evm.model.Segkk3190_pilon.1, Acerv_evm.model.Segkk2302_pilon.11, Acerv_evm.model.Segkk3224_pilon.3, Acerv_evm.model.Segkk4195_pilon.26, Acerv_evm.model.Segkk668_pilon.9, Acerv_evm.model.Segkk4195_pilon.25, Acerv_evm.model.Segkk565_pilon.2, Acerv_evm.model.Segkk3993_pilon.1
OG0000003	XP_020614818.1	Acerv_evm.model.Segkk2089_pilon.8
OG0000003	XP_020621577.1, XP_020621621.1	Acerv_evm.model.Segkk2319_pilon.17
