Orthogroup	Montipora_capitata_HIv2.genes.pep	GCF_002042975.1_ofav_dov_v1_protein
OG0000000	Montipora_capitata_PredGene_adi2mcaRNA19804_R0.t1	XP_020624579.1, XP_020624580.1, XP_020624578.1, XP_020615354.1, XP_020615355.1, XP_020615398.1, XP_020603602.1, XP_020603603.1, XP_020603601.1, XP_020603604.1
OG0000000	Montipora_capitata_PredGene_g2705.t1	XP_020606616.1
OG0000000	Montipora_capitata_PredGene_g25400.t1	XP_020631482.1
OG0000000	Montipora_capitata_PredGene_adi2mcaRNA17045_R8.t1	XP_020608925.1
OG0000000	Montipora_capitata_PredGene_adi2mcaRNA11876_R0.t1	XP_020621599.1, XP_020609664.1, XP_020621598.1, XP_020621596.1, XP_020621595.1, XP_020616666.1
OG0000000	Montipora_capitata_PredGene_adi2mcaRNA11876_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA1577_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA1577_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA10692_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA7616_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA21117_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA17730_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA7616_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA17730_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA7616_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA17730_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA15277_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA28674_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA17730_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA17730_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA22288_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA10691_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA17730_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA17730_R8.t1	XP_020624737.1
OG0000000	Montipora_capitata_PredGene_adi2mcaRNA22288_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA38983_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA11876_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA38997_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA23898_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA23898_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA32261_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA28674_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA15275_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA32261_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA32261_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA28674_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA7616_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA28674_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA23898_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA28674_R1.t1	XP_020604206.1
OG0000000	Montipora_capitata_PredGene_adi2mcaRNA10691_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA38888_R6.t1	XP_020603598.1
OG0000001	Montipora_capitata_PredGene_g36877.t1, Montipora_capitata_PredGene_g7315.t1	XP_020614339.1, XP_020623683.1, XP_020614338.1
OG0000001	Montipora_capitata_PredGene_g991.t1, Montipora_capitata_PredGene_g990.t1, Montipora_capitata_PredGene_adi2mcaRNA15279_R0.t1, Montipora_capitata_PredGene_g985.t1	XP_020614465.1
OG0000001	Montipora_capitata_PredGene_g25171.t1	XP_020617310.1, XP_020609678.1
OG0000001	Montipora_capitata_PredGene_g22602.t1, Montipora_capitata_PredGene_g22598.t1, Montipora_capitata_PredGene_g22594.t1, Montipora_capitata_PredGene_g22592.t1, Montipora_capitata_PredGene_g22591.t1, Montipora_capitata_PredGene_g22589.t1, Montipora_capitata_PredGene_g22597.t1	XP_020617313.1, XP_020617312.1, XP_020617322.1, XP_020614434.1, XP_020617317.1
OG0000001	Montipora_capitata_PredGene_g26788.t1	XP_020607692.1, XP_020617323.1
OG0000001	Montipora_capitata_PredGene_g3481.t1, Montipora_capitata_PredGene_g10350.t1	XP_020608311.1, XP_020619932.1, XP_020611237.1
OG0000001	Montipora_capitata_PredGene_g12254.t1	XP_020605932.1
OG0000001	Montipora_capitata_PredGene_adi2mcaRNA12219_R1.t1	XP_020616735.1
OG0000001	Montipora_capitata_PredGene_adi2mcaRNA12219_R0.t1	XP_020606862.1, XP_020606863.1, XP_020606845.1, XP_020619934.1, XP_020619933.1, XP_020606756.1, XP_020613052.1, XP_020613053.1
OG0000001	Montipora_capitata_PredGene_g17641.t1	XP_020626496.1, XP_020614320.1, XP_020623616.1, XP_020614497.1, XP_020614396.1, XP_020614395.1, XP_020614466.1, XP_020623385.1, XP_020623386.1, XP_020623540.1
OG0000001	Montipora_capitata_PredGene_g984.t1	XP_020606755.1
OG0000001	Montipora_capitata_PredGene_g3455.t1, Montipora_capitata_PredGene_adi2mcaRNA37790_R7.t1, Montipora_capitata_PredGene_g3456.t1, Montipora_capitata_PredGene_adi2mcaRNA37790_R9.t1, Montipora_capitata_PredGene_g3474.t1, Montipora_capitata_PredGene_g3458.t1	XP_020623535.1, XP_020623534.1
OG0000002	Montipora_capitata_PredGene_g24743.t1	XP_020607845.1, XP_020608791.1, XP_020620277.1
OG0000002	Montipora_capitata_PredGene_g8334.t1, Montipora_capitata_PredGene_g30500.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R3.t1, Montipora_capitata_PredGene_g57055.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R1.t1, Montipora_capitata_PredGene_g42176.t1	XP_020620280.1, XP_020627844.1, XP_020620370.1, XP_020616590.1
OG0000002	Montipora_capitata_PredGene_g69754.t1	XP_020627706.1, XP_020618400.1, XP_020618393.1
OG0000002	Montipora_capitata_PredGene_g31427.t1	XP_020620279.1, XP_020627859.1, XP_020627858.1, XP_020619416.1
