"","17_ctl2_Of_ZTH_1","18_T33_Of_VLL","23_ctl1_Of_CT_1","26_T12_Of_WCL","30_T23_Of_RPG","32_T22_Of_EVR","36_T43_Of_JJN","40_T13_Of_GWS","43_ctl3_Of_JVP_1","44_T41_Of_PVT_1","48_T31_Of_JNO","50_T21_Of_YZB","51_T42_Of_UOF","59_T11_Of_TQP","60_T32_Of_WY"
"gene-LOC110039914|LOC110039914",1196,164,219,357,117,308,278,354,530,693,242,279,323,556,370
"gene-LOC110065550|LOC110065550",22,2,14,6,3,7,7,9,23,19,6,7,9,11,7
"gene-LOC110052551|LOC110052551",31,9,0,276,7,87,23,37,27,67,11,96,55,173,72
"gene-LOC110044078|LOC110044078",128,168,0,771,334,621,381,954,255,347,633,380,1073,517,1238
"gene-LOC110067001|LOC110067001",23,79,0,122,51,39,159,70,38,15,114,85,42,120,84
"gene-LOC110055167|LOC110055167",100,13,26,43,23,43,34,51,74,57,21,33,28,68,47
"gene-LOC110063000|LOC110063000",50,8,22,22,12,15,20,17,64,60,19,15,15,29,21
"gene-LOC110063719|LOC110063719",60,10,21,20,13,6,23,23,50,65,19,28,20,29,14
"gene-LOC110042871|LOC110042871",553,56,55,83,36,85,143,74,590,360,109,97,56,215,78
"gene-LOC110062450|LOC110062450",3120,436,225,718,507,824,825,946,4133,2886,930,813,901,944,1207
"gene-LOC110050314|LOC110050314",13,2,45,12,6,12,7,11,55,40,11,14,9,7,15
"gene-LOC110047759|LOC110047759",60,3,42,120,18,26,10,34,45,34,12,26,10,40,22
"gene-LOC110062641|LOC110062641",81,19,38,64,21,28,61,46,184,250,33,35,65,49,87
"gene-LOC110068978|LOC110068978",107,21,26,53,35,34,37,53,86,52,25,25,26,64,49
"gene-LOC110063009|LOC110063009",105,15,42,46,25,32,42,34,125,126,39,29,31,61,43
"gene-LOC110044634|LOC110044634",44,6,38,19,19,19,12,16,42,31,6,16,8,30,22
