Orthogroup	plut2v1.1.proteins	Acerv_assembly_v1.0.protein
OG0000000	plut2.m8.30690.m1	Acerv_evm.model.Segkk142_pilon.1
OG0000000	plut2.m8.5196.m1, plut2.m8.11309.m1, plut2.m8.5204.m1, plut2.m8.19665.m1, plut2.m8.19672.m1, plut2.m8.575.m1, plut2.m8.25994.m1, plut2.m8.26071.m1, plut2.m8.25989.m1, plut2.m8.6170.m1, plut2.m8.17574.m1, plut2.m8.32490.m1, plut2.m8.32488.m1, plut2.m8.9878.m1, plut2.m8.32487.m1, plut2.m8.20471.m1, plut2.m8.20475.m1, plut2.m8.32991.m1, plut2.m8.20740.m1, plut2.m8.22307.m1, plut2.m8.684.m1, plut2.m8.16137.m1, plut2.m8.16134.m1, plut2.m8.22619.m1, plut2.m8.22609.m1, plut2.m8.20079.m1, plut2.m8.13358.m1, plut2.m8.20071.m1, plut2.m8.29652.m1, plut2.m8.13360.m1, plut2.m8.20086.m1, plut2.m8.13362.m1, plut2.m8.20082.m1, plut2.m8.20083.m1, plut2.m8.29651.m1, plut2.m8.20081.m1, plut2.m8.16169.m1, plut2.m8.21538.m1, plut2.m8.21547.m1, plut2.m8.16138.m1, plut2.m8.222.m1	Acerv_evm.model.Segkk3980_pilon.18, Acerv_evm.model.Segkk3980_pilon.22, Acerv_evm.model.Segkk3980_pilon.19, Acerv_evm.model.Segkk2469_pilon.24, Acerv_evm.model.Segkk4100_pilon.2, Acerv_evm.model.Segkk769_pilon.2
OG0000000	plut2.m8.11062.m1, plut2.m8.11064.m1	Acerv_evm.model.Segkk3741_pilon.25
OG0000000	plut2.m8.15540.m1	Acerv_evm.model.Segkk3577_pilon.2
OG0000000	plut2.m8.33194.m1	Acerv_evm.model.Segkk20_pilon.1, Acerv_evm.model.Segkk2381_pilon.3
OG0000000	plut2.m8.25721.m1, plut2.m8.18026.m1, plut2.m8.21095.m1, plut2.m8.31464.m1, plut2.m8.24194.m1, plut2.m8.24193.m1, plut2.m8.26908.m1, plut2.m8.21272.m1, plut2.m8.22761.m1, plut2.m8.9393.m1, plut2.m8.17175.m1, plut2.m8.18059.m1, plut2.m8.11776.m1, plut2.m8.26901.m1, plut2.m8.11771.m1, plut2.m8.22759.m1, plut2.m8.22704.m1, plut2.m8.24387.m1, plut2.m8.17031.m1, plut2.m8.7081.m1, plut2.m8.4493.m1, plut2.m8.24398.m1	Acerv_evm.model.Segkk536_pilon.1, Acerv_evm.model.Segkk3132_pilon.2
OG0000000	plut2.m8.21493.m1, plut2.m8.7402.m1, plut2.m8.27440.m1	Acerv_evm.model.Segkk73_pilon.12, Acerv_evm.model.Segkk1409_pilon.2, Acerv_evm.model.Segkk1728_pilon.51, Acerv_evm.model.Segkk356_pilon.3, Acerv_evm.model.Segkk356_pilon.2, Acerv_evm.model.Segkk1851_pilon.3, Acerv_evm.model.Segkk2238_pilon.1, Acerv_evm.model.Segkk1728_pilon.31, Acerv_evm.model.Segkk644_pilon.5, Acerv_evm.model.Segkk3765_pilon.1, Acerv_evm.model.Segkk1358_pilon.3, Acerv_evm.model.Segkk1035_pilon.13, Acerv_evm.model.Segkk833_pilon.2, Acerv_evm.model.Segkk3366_pilon.1, Acerv_evm.model.Segkk1164_pilon.1, Acerv_evm.model.Segkk1_pilon.1, Acerv_evm.model.Segkk3454_pilon.25, Acerv_evm.model.Segkk2381_pilon.2, Acerv_evm.model.Segkk3675_pilon.10, Acerv_evm.model.Segkk3675_pilon.9, Acerv_evm.model.Segkk3654_pilon.6, Acerv_evm.model.Segkk3096_pilon.7, Acerv_evm.model.Segkk675_pilon.3, Acerv_evm.model.Segkk3996_pilon.1, Acerv_evm.model.Segkk3996_pilon.4, Acerv_evm.model.Segkk1330_pilon.6, Acerv_evm.model.Segkk1330_pilon.4, Acerv_evm.model.Segkk2725_pilon.8, Acerv_evm.model.Segkk3079_pilon.1, Acerv_evm.model.Segkk2987_pilon.7, Acerv_evm.model.Segkk2435_pilon.5, Acerv_evm.model.Segkk3618_pilon.7, Acerv_evm.model.Segkk1240_pilon.4, Acerv_evm.model.Segkk1628_pilon.5, Acerv_evm.model.Segkk1078_pilon.63, Acerv_evm.model.Segkk1664_pilon.1, Acerv_evm.model.Segkk2091_pilon.1, Acerv_evm.model.Segkk2953_pilon.1, Acerv_evm.model.Segkk2276_pilon.1, Acerv_evm.model.Segkk2689_pilon.4, Acerv_evm.model.Segkk1211_pilon.12, Acerv_evm.model.Segkk2589_pilon.3, Acerv_evm.model.Segkk2108_pilon.2, Acerv_evm.model.Segkk2010_pilon.1, Acerv_evm.model.Segkk1314_pilon.1, Acerv_evm.model.Segkk1225_pilon.18, Acerv_evm.model.Segkk3087_pilon.2
OG0000000	plut2.m8.21804.m1	Acerv_evm.model.Segkk1853_pilon.8, Acerv_evm.model.Segkk657_pilon.6, Acerv_evm.model.Segkk657_pilon.3
OG0000000	plut2.m8.12882.m1	Acerv_evm.model.Segkk3096_pilon.6
OG0000001	plut2.m8.17679.m1, plut2.m8.18053.m1, plut2.m8.18054.m1, plut2.m8.18048.m1	Acerv_evm.model.Segkk2109_pilon.37, Acerv_evm.model.Segkk2109_pilon.36
OG0000001	plut2.m8.24910.m1, plut2.m8.24912.m1, plut2.m8.24911.m1, plut2.m8.24913.m1, plut2.m8.24907.m1, plut2.m8.24915.m1, plut2.m8.24914.m1	Acerv_evm.model.Segkk3741_pilon.21
OG0000001	plut2.m8.4397.m1, plut2.m8.4395.m1	Acerv_evm.model.Segkk551_pilon.2, Acerv_evm.model.Segkk551_pilon.1
