"","gene_id","scaffold","gene.start","gene.stop","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","Treatment_Compare"
"1","Mcavernosa00001","Sc0000007",323,85594,85271,"GO:0007154",0.0354246941214408,0.999431344828769,1,11,"cell communication","BP","CvsT3"
"2","Mcavernosa00001","Sc0000007",323,85594,85271,"GO:0016020",0.00520518210326848,0.998785410235034,7,479,"membrane","CC","CvsT3"
"3","Mcavernosa00017","Sc0000007",216365,232612,16247,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
"4","Mcavernosa00017","Sc0000007",216365,232612,16247,"GO:0016020",0.00520518210326848,0.998785410235034,7,479,"membrane","CC",NA
"5","Mcavernosa00017","Sc0000007",216365,232612,16247,"GO:0055114",2.76935455978542e-05,0.999995771612945,10,420,"oxidation-reduction process","BP",NA
"6","Mcavernosa00070","Sc0000007",860737,861663,926,"GO:0003714",0.0257434047668552,0.999725537282452,1,6,"transcription corepressor activity","MF",NA
"7","Mcavernosa00077","Sc0000007",942548,945584,3036,"GO:0055114",2.76935455978542e-05,0.999995771612945,10,420,"oxidation-reduction process","BP",NA
"8","Mcavernosa00101","Sc0000007",1142696,1150751,8055,"GO:0016020",0.00520518210326848,0.998785410235034,7,479,"membrane","CC",NA
"9","Mcavernosa00101","Sc0000007",1142696,1150751,8055,"GO:0007154",0.0354246941214408,0.999431344828769,1,11,"cell communication","BP",NA
"10","Mcavernosa00137","Sc0000008",86056,98324,12268,"GO:0016020",0.00520518210326848,0.998785410235034,7,479,"membrane","CC",NA
"11","Mcavernosa00170","Sc0000008",340188,356981,16793,"GO:0055114",2.76935455978542e-05,0.999995771612945,10,420,"oxidation-reduction process","BP",NA
"12","Mcavernosa00173","Sc0000008",370118,373220,3102,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"13","Mcavernosa00174","Sc0000008",377197,381753,4556,"GO:0046872",0.0276920837698567,0.995864482111343,3,153,"metal ion binding","MF",NA
"14","Mcavernosa00174","Sc0000008",377197,381753,4556,"GO:0055114",2.76935455978542e-05,0.999995771612945,10,420,"oxidation-reduction process","BP",NA
"15","Mcavernosa00274","Sc0000008",1223773,1236784,13011,"GO:0016020",0.00520518210326848,0.998785410235034,7,479,"membrane","CC",NA
"16","Mcavernosa00276","Sc0000008",1253295,1271714,18419,"GO:0016020",0.00520518210326848,0.998785410235034,7,479,"membrane","CC",NA
"17","Mcavernosa00277","Sc0000008",1279334,1290054,10720,"GO:0016020",0.00520518210326848,0.998785410235034,7,479,"membrane","CC",NA
"18","Mcavernosa00278","Sc0000008",1292858,1295135,2277,"GO:0016020",0.00520518210326848,0.998785410235034,7,479,"membrane","CC",NA
"19","Mcavernosa00279","Sc0000008",1296782,1310324,13542,"GO:0016020",0.00520518210326848,0.998785410235034,7,479,"membrane","CC",NA
"20","Mcavernosa00314","Sc0000009",234583,254352,19769,"GO:0016020",0.00520518210326848,0.998785410235034,7,479,"membrane","CC",NA
"21","Mcavernosa00348","Sc0000009",579634,580245,611,"GO:0016020",0.00520518210326848,0.998785410235034,7,479,"membrane","CC",NA
"22","Mcavernosa00358","Sc0000009",661272,662153,881,"GO:0016020",0.00520518210326848,0.998785410235034,7,479,"membrane","CC",NA
"23","Mcavernosa00359","Sc0000009",664675,679313,14638,"GO:0004601",1.61439677351114e-05,0.999999851243674,3,12,"peroxidase activity","MF",NA
"24","Mcavernosa00359","Sc0000009",664675,679313,14638,"GO:0055114",2.76935455978542e-05,0.999995771612945,10,420,"oxidation-reduction process","BP",NA
"25","Mcavernosa00359","Sc0000009",664675,679313,14638,"GO:0020037",0.000103342408030468,0.999992936360293,5,102,"heme binding","MF",NA
