"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X20_T12_Mc_PWC","X21_T33_Mc_EOU","X22_ctl2_Mc_TWF_1","X28_ctl1_Mc_GBM_1","X29_T23_Mc_PND","X33_T43_Mc_RFV","X34_T22_Mc_SVS","X39_T13_Mc_FJE","X42_ctl3_Mc_MGR_1","X46_T41_Mc_QYH_1","X49_T31_Mc_SWQ","X55_T32_Mc_TWP","X56_T42_Mc_JAW","X58_T21_Mc_EAH","X61_T11_Mc_RAP","GO_terms","scaffold","gene.start","gene.stop","length"
"1","Mcavernosa01252",60.0532481930039,-2.07815205376545,0.517408288717683,-4.01646455822313,5.90777438640372e-05,0.0396629316173504,"CvsT1",90,28,23,63,81,21,80,103,32,14,19,20,57,182,46,"NA","Sc0000016",481767,487965,6198
"2","Mcavernosa03628",40.7448605394761,-3.56392720735876,0.791478035178548,-4.50287569452864,6.70400991131742e-06,0.00676931171089288,"CvsT1",34,28,8,24,13,18,15,115,9,29,16,19,17,176,64,"NA","Sc0000028",235320,237770,2450
"3","Mcavernosa05196",189.25501905301,4.6748932031099,1.04712805954953,4.46449043216456,8.02595349138351e-06,0.00676931171089288,"CvsT1",51,13,1525,2738,15,27,68,22,12,33,16,18,47,300,13,"NA","Sc0000118",14687,15784,1097
"4","Mcavernosa07006",41.0754131452848,-2.68085768703077,0.604112383472375,-4.43768040579053,9.09334996496266e-06,0.00682322189135669,"CvsT1",37,40,6,31,25,64,49,33,7,11,31,110,27,57,56,"NA","Sc0000005",533126,534495,1369
"5","Mcavernosa08717",67.921375309079,-1.41125296576557,0.312234498135292,-4.51984958162461,6.18835838815787e-06,0.00676931171089288,"CvsT1",109,63,46,77,54,84,55,65,50,22,64,78,63,109,67,"NA","Sc0000202",404727,413694,8967
"6","Mcavernosa12043",656.156600845764,-1.98069176638644,0.359095715658694,-5.51577665791203,3.47243015546326e-08,6.32775986615563e-05,"CvsT1",1191,530,305,624,513,762,622,804,327,264,432,909,810,845,540,"GO:0005200,GO:0005525,GO:0005874,GO:0007017","xpSc0004678",282546,285089,2543
"7","Mcavernosa13956",41.1807778506932,3.75329406219793,0.842978625751537,4.45241901460048,8.49082685593337e-06,0.00676931171089288,"CvsT1",7,8,135,167,11,21,0,14,363,34,8,20,34,43,5,"NA","xfSc0000006",232398,242925,10527
"8","Mcavernosa18547",136.669690118324,-2.29551409666124,0.422600060806472,-5.43188302500616,5.57624728725876e-08,8.89132629953409e-05,"CvsT1",212,94,49,73,46,186,124,101,44,91,238,183,176,189,125,"NA","Sc0000301",47614,51385,3771
"9","Mcavernosa24709",328.905102243987,-2.1903986648109,0.489426589964622,-4.47543862496158,7.62546022416995e-06,0.00676931171089288,"CvsT1",422,347,137,206,310,521,219,320,124,60,560,390,281,353,368,"GO:0003924,GO:0007186,GO:0019001,GO:0031683","Sc0000050",673517,676231,2714
"10","Mcavernosa26093",62.8032387982434,-2.06582047765502,0.431381370647421,-4.78884953829743,1.67740186661444e-06,0.0023774375789482,"CvsT1",78,53,24,53,65,88,52,81,31,13,63,87,60,82,64,"NA","Sc0000880",1734,5283,3549
