Orthogroup	plut2v1.1.proteins	GCF_002042975.1_ofav_dov_v1_protein
OG0000000	plut2.m8.30690.m1	XP_020624579.1, XP_020624580.1, XP_020624578.1, XP_020615354.1, XP_020615355.1, XP_020615398.1, XP_020603602.1, XP_020603603.1, XP_020603601.1, XP_020603604.1
OG0000000	plut2.m8.9878.m1	XP_020615829.1, XP_020615828.1, XP_020615915.1, XP_020615916.1
OG0000000	plut2.m8.32487.m1	XP_020606616.1
OG0000000	plut2.m8.20471.m1, plut2.m8.20475.m1, plut2.m8.32991.m1, plut2.m8.20740.m1, plut2.m8.22307.m1, plut2.m8.684.m1, plut2.m8.16137.m1, plut2.m8.16134.m1, plut2.m8.22619.m1, plut2.m8.22609.m1, plut2.m8.20079.m1, plut2.m8.13358.m1, plut2.m8.20071.m1, plut2.m8.29652.m1, plut2.m8.13360.m1, plut2.m8.20086.m1, plut2.m8.13362.m1, plut2.m8.20082.m1, plut2.m8.20083.m1, plut2.m8.29651.m1, plut2.m8.20081.m1, plut2.m8.16169.m1, plut2.m8.21538.m1, plut2.m8.21547.m1, plut2.m8.16138.m1	XP_020625829.1
OG0000000	plut2.m8.222.m1	XP_020626018.1, XP_020607438.1, XP_020627257.1, XP_020608996.1, XP_020627209.1, XP_020627208.1, XP_020627641.1, XP_020616426.1, XP_020616417.1, XP_020609490.1, XP_020609489.1, XP_020626044.1, XP_020616812.1, XP_020619302.1, XP_020620311.1, XP_020624832.1
OG0000000	plut2.m8.13359.m1, plut2.m8.20070.m1, plut2.m8.13361.m1	XP_020630836.1, XP_020606577.1, XP_020606576.1, XP_020606575.1, XP_020618385.1, XP_020620197.1, XP_020613158.1, XP_020603686.1, XP_020601451.1, XP_020600397.1, XP_020601587.1
OG0000000	plut2.m8.11062.m1, plut2.m8.11064.m1	XP_020631482.1
OG0000000	plut2.m8.20976.m1	XP_020608925.1
OG0000000	plut2.m8.33377.m1, plut2.m8.17567.m1, plut2.m8.17557.m1, plut2.m8.12647.m1, plut2.m8.28825.m1, plut2.m8.20898.m1, plut2.m8.12889.m1, plut2.m8.33378.m1	XP_020621599.1, XP_020609664.1, XP_020621598.1, XP_020621596.1, XP_020621595.1, XP_020616666.1
OG0000000	plut2.m8.14145.m1, plut2.m8.6765.m1, plut2.m8.20150.m1, plut2.m8.12880.m1, plut2.m8.10658.m1, plut2.m8.31359.m1, plut2.m8.25771.m1, plut2.m8.17061.m1, plut2.m8.6287.m1, plut2.m8.23674.m1, plut2.m8.21484.m1, plut2.m8.17950.m1, plut2.m8.26240.m1, plut2.m8.22485.m1, plut2.m8.3123.m1, plut2.m8.12765.m1, plut2.m8.28898.m1, plut2.m8.15835.m1, plut2.m8.27261.m1, plut2.m8.10005.m1, plut2.m8.23621.m1, plut2.m8.30839.m1, plut2.m8.27260.m1, plut2.m8.30838.m1, plut2.m8.33187.m1	XP_020613813.1, XP_020613812.1, XP_020607833.1, XP_020607832.1, XP_020615139.1, XP_020609422.1, XP_020615321.1, XP_020615322.1
