Orthogroup	Montipora_capitata_HIv2.genes.pep	Mcavernosa.maker.proteins
OG0000000	Montipora_capitata_PredGene_adi2mcaRNA19804_R0.t1	Mcavernosa18524-RA, Mcavernosa18526-RA
OG0000000	Montipora_capitata_PredGene_g25400.t1	Mcavernosa08070-RA
OG0000001	Montipora_capitata_PredGene_g26788.t1	Mcavernosa18934-RA
OG0000002	Montipora_capitata_PredGene_g26980.t1, Montipora_capitata_PredGene_g25651.t1, Montipora_capitata_PredGene_g31315.t1, Montipora_capitata_PredGene_g5811.t1, Montipora_capitata_PredGene_g45627.t1, Montipora_capitata_PredGene_g69522.t1, Montipora_capitata_PredGene_g25670.t1	Mcavernosa07120-RA, Mcavernosa32991-RA, Mcavernosa07118-RA, Mcavernosa07119-RA
OG0000002	Montipora_capitata_PredGene_g43894.t1, Montipora_capitata_PredGene_g34203.t1, Montipora_capitata_PredGene_g40172.t1, Montipora_capitata_PredGene_g45012.t1, Montipora_capitata_PredGene_g3303.t1, Montipora_capitata_PredGene_g35831.t1, Montipora_capitata_PredGene_g40171.t1, Montipora_capitata_PredGene_g34205.t1, Montipora_capitata_PredGene_g18671.t1, Montipora_capitata_PredGene_g17673.t1, Montipora_capitata_PredGene_g19427.t1, Montipora_capitata_PredGene_g43892.t1, Montipora_capitata_PredGene_g1794.t1, Montipora_capitata_PredGene_g34204.t1, Montipora_capitata_PredGene_g18670.t1, Montipora_capitata_PredGene_g28724.t1, Montipora_capitata_PredGene_g43893.t1	Mcavernosa11144-RA
OG0000003	Montipora_capitata_PredGene_g67062.t1, Montipora_capitata_PredGene_g67065.t1, Montipora_capitata_PredGene_adi2mcaRNA30866_R0.t1	Mcavernosa29868-RA
OG0000003	Montipora_capitata_PredGene_g22376.t1	Mcavernosa06378-RA
OG0000003	Montipora_capitata_PredGene_g69314.t1	Mcavernosa30132-RA, Mcavernosa25815-RA, Mcavernosa05195-RA
OG0000004	Montipora_capitata_PredGene_g32129.t1	Mcavernosa24873-RA, Mcavernosa24872-RA
OG0000004	Montipora_capitata_PredGene_g60287.t1	Mcavernosa15460-RA
OG0000005	Montipora_capitata_PredGene_g3493.t1, Montipora_capitata_PredGene_g37726.t1	Mcavernosa34953-RA
OG0000005	Montipora_capitata_PredGene_g56632.t1	Mcavernosa00299-RA
OG0000005	Montipora_capitata_PredGene_g46525.t1, Montipora_capitata_PredGene_g70755.t1	Mcavernosa12738-RA
OG0000005	Montipora_capitata_PredGene_g7633.t1	Mcavernosa30941-RA
OG0000005	Montipora_capitata_PredGene_g51421.t1, Montipora_capitata_PredGene_g27338.t1, Montipora_capitata_PredGene_g25002.t1, Montipora_capitata_PredGene_g63624.t1	Mcavernosa02956-RA
OG0000005	Montipora_capitata_PredGene_g30778.t1	Mcavernosa33296-RA, Mcavernosa16586-RA, Mcavernosa10943-RA, Mcavernosa32366-RA, Mcavernosa15237-RA, Mcavernosa25263-RA
OG0000005	Montipora_capitata_PredGene_g63506.t1, Montipora_capitata_PredGene_g27337.t1, Montipora_capitata_PredGene_g22966.t1, Montipora_capitata_PredGene_g39930.t1, Montipora_capitata_PredGene_g36822.t1, Montipora_capitata_PredGene_g36010.t1, Montipora_capitata_PredGene_g18602.t1, Montipora_capitata_PredGene_g51420.t1, Montipora_capitata_PredGene_g25001.t1	Mcavernosa33013-RA, Mcavernosa30940-RA
OG0000005	Montipora_capitata_PredGene_g47136.t1	Mcavernosa34952-RA
OG0000005	Montipora_capitata_PredGene_g43117.t1	Mcavernosa23981-RA
OG0000005	Montipora_capitata_PredGene_g30954.t1	Mcavernosa17662-RA
OG0000005	Montipora_capitata_PredGene_g37725.t1	Mcavernosa11826-RA, Mcavernosa13332-RA
OG0000005	Montipora_capitata_PredGene_g43116.t1, Montipora_capitata_PredGene_g51909.t1	Mcavernosa19564-RA, Mcavernosa27682-RA, Mcavernosa08389-RA
OG0000005	Montipora_capitata_PredGene_g30953.t1, Montipora_capitata_PredGene_g50027.t1	Mcavernosa09401-RA, Mcavernosa08279-RA
OG0000005	Montipora_capitata_PredGene_g65360.t1	Mcavernosa09383-RA
OG0000005	Montipora_capitata_PredGene_g28595.t1, Montipora_capitata_PredGene_g37144.t1, Montipora_capitata_PredGene_g49524.t1, Montipora_capitata_PredGene_g54955.t1, Montipora_capitata_PredGene_g1150.t1, Montipora_capitata_PredGene_g17497.t1, Montipora_capitata_PredGene_g29053.t1	Mcavernosa29401-RA
OG0000006	Montipora_capitata_PredGene_adi2mcaRNA31145_R0.t1, Montipora_capitata_PredGene_g53388.t1, Montipora_capitata_PredGene_g4437.t1, Montipora_capitata_PredGene_g60114.t1, Montipora_capitata_PredGene_g60131.t1	Mcavernosa06791-RA, Mcavernosa06790-RA
OG0000006	Montipora_capitata_PredGene_g69103.t1	Mcavernosa06384-RA
OG0000007	Montipora_capitata_PredGene_g36035.t1	Mcavernosa20927-RA, Mcavernosa20926-RA, Mcavernosa21729-RA
OG0000008	Montipora_capitata_PredGene_adi2mcaRNA31763_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA26716_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA19301_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA38765_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA38765_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA38774_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA26716_R9.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA35701_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA33078_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA38800_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA38767_R7.t1, Montipora_capitata_PredGene_adi2mcaRNA38800_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA31412_R1.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R3.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA1971_R2.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA22623_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA38767_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA33128_R8.t1, Montipora_capitata_PredGene_adi2mcaRNA10252_R7.t1	Mcavernosa23941-RA
