gene_id,length
Mcavernosa04235-RA,318
Mcavernosa04241-RA,591
Mcavernosa04239-RA,663
Mcavernosa04243-RA,396
Mcavernosa04242-RA,402
Mcavernosa04238-RA,906
Mcavernosa04237-RA,1638
Mcavernosa04236-RA,372
Mcavernosa04245-RA,399
Mcavernosa04249-RA,1615
Mcavernosa04248-RA,639
Mcavernosa04247-RA,1608
Mcavernosa04250-RA,600
Mcavernosa04246-RA,597
Mcavernosa04244-RA,321
Mcavernosa04252-RA,2164
Mcavernosa04256-RA,1122
Mcavernosa04255-RA,1478
Mcavernosa04257-RA,402
Mcavernosa04253-RA,2728
Mcavernosa04264-RA,2865
Mcavernosa04265-RA,2707
Mcavernosa04266-RA,2488
Mcavernosa04263-RA,687
Mcavernosa04258-RA,1488
Mcavernosa04262-RA,240
Mcavernosa04259-RA,678
Mcavernosa04260-RA,3793
Mcavernosa04276-RA,849
Mcavernosa04280-RA,1584
Mcavernosa04278-RA,810
Mcavernosa04270-RA,1152
Mcavernosa04272-RA,4194
Mcavernosa04267-RA,4406
Mcavernosa04281-RA,2916
Mcavernosa04279-RA,1014
Mcavernosa04271-RA,1392
Mcavernosa04282-RA,1132
Mcavernosa04274-RA,1431
Mcavernosa04290-RA,351
Mcavernosa04284-RA,576
Mcavernosa04283-RA,633
Mcavernosa04285-RA,705
Mcavernosa04289-RA,2735
Mcavernosa04288-RA,1117
Mcavernosa04287-RA,1691
Mcavernosa04292-RA,496
Mcavernosa04294-RA,1659
Mcavernosa04302-RA,1939
Mcavernosa04297-RA,1427
Mcavernosa04299-RA,1701
Mcavernosa04298-RA,6001
Mcavernosa04301-RA,270
Mcavernosa04310-RA,3298
Mcavernosa04305-RA,221
Mcavernosa04308-RA,373
Mcavernosa04312-RA,448
Mcavernosa04313-RA,336
Mcavernosa04314-RA,2087
Mcavernosa04315-RA,5014
Mcavernosa04316-RA,2181
Mcavernosa04317-RA,321
Mcavernosa04318-RA,189
Mcavernosa04322-RA,2322
Mcavernosa04323-RA,534
Mcavernosa04325-RA,630
Mcavernosa04324-RA,1452
Mcavernosa04321-RA,264
Mcavernosa04327-RA,2586
Mcavernosa04320-RA,912
Mcavernosa04328-RA,309
Mcavernosa04334-RA,3028
Mcavernosa04331-RA,2668
Mcavernosa04329-RA,377
Mcavernosa04330-RA,315
Mcavernosa04333-RA,415
Mcavernosa04332-RA,936
Mcavernosa04339-RA,3325
Mcavernosa04342-RA,2015
Mcavernosa04337-RA,1185
Mcavernosa04336-RA,539
Mcavernosa04335-RA,474
Mcavernosa04348-RA,5838
Mcavernosa04344-RA,300
Mcavernosa04346-RA,537
Mcavernosa04347-RA,830
Mcavernosa04343-RA,2304
Mcavernosa04354-RA,450
Mcavernosa04358-RA,1499
Mcavernosa04350-RA,837
Mcavernosa04351-RA,3038
Mcavernosa04355-RA,2026
Mcavernosa04357-RA,463
Mcavernosa04353-RA,1239
Mcavernosa04359-RA,1672
Mcavernosa04371-RA,1000
Mcavernosa04369-RA,252
Mcavernosa04365-RA,1926
Mcavernosa04370-RA,240
Mcavernosa04368-RA,711
Mcavernosa04360-RA,969
Mcavernosa04362-RA,957
Mcavernosa04366-RA,1421
Mcavernosa04364-RA,1473
Mcavernosa04367-RA,216
Mcavernosa04375-RA,744
Mcavernosa04376-RA,1125
Mcavernosa04373-RA,777
Mcavernosa04372-RA,1017
Mcavernosa04377-RA,791
Mcavernosa04374-RA,1809
Mcavernosa04385-RA,1877
Mcavernosa04386-RA,243
Mcavernosa04387-RA,1068
Mcavernosa04378-RA,940
Mcavernosa04380-RA,1029
Mcavernosa04384-RA,1868
Mcavernosa04388-RA,654
Mcavernosa04389-RA,318
Mcavernosa04397-RA,2713
Mcavernosa04394-RA,1902
Mcavernosa04398-RA,558
Mcavernosa04392-RA,977
Mcavernosa04395-RA,720
Mcavernosa04402-RA,4270
Mcavernosa04401-RA,1924
Mcavernosa04399-RA,1540
Mcavernosa04400-RA,951
Mcavernosa04408-RA,742
Mcavernosa04404-RA,407
Mcavernosa04409-RA,1796
Mcavernosa04407-RA,389
Mcavernosa04403-RA,1346
Mcavernosa04405-RA,981
Mcavernosa04412-RA,5439
Mcavernosa04418-RA,3171
Mcavernosa04420-RA,591
Mcavernosa04415-RA,2073
Mcavernosa04416-RA,774
Mcavernosa04413-RA,5952
Mcavernosa04417-RA,829
Mcavernosa04410-RA,2309
Mcavernosa04419-RA,300
Mcavernosa04428-RA,608
Mcavernosa04429-RA,2030
Mcavernosa04424-RA,884
Mcavernosa04423-RA,624
Mcavernosa04426-RA,605
Mcavernosa04421-RA,1687
Mcavernosa04425-RA,633
Mcavernosa04427-RA,837
Mcavernosa04431-RA,870
Mcavernosa04430-RA,330
Mcavernosa04436-RA,1329
Mcavernosa04434-RA,978
Mcavernosa04433-RA,747
Mcavernosa04438-RA,381
Mcavernosa04437-RA,1311
