"","gene_id","6_1","7_1","8_1","9_1","21_1","22_1","23_1","25_1","26_1","27_1","29_1","34_1","scaffold","Gene.Predict","id","gene.start","gene.stop","pos1","pos2","pos3","attr"
"1","jamg1.TU.Sc0000020.96",143,62,24,25,146,63,79,70,63,43,74,46,"Sc0000020","JAMG","gene",1451802,1459838,".","+",".","ID=jamg1.TU.Sc0000020.96;Name=JAMG%20prediction%20Sc0000020.96"
"2","jamg1.TU.Sc0000051.45",604,130,81,141,152,157,182,484,422,98,126,71,"Sc0000051","JAMG","gene",507760,508267,".","-",".","ID=jamg1.TU.Sc0000051.45;Name=JAMG%20prediction%20Sc0000051.45"
"3","jamg1.TU.Sc0000055.95",35,8,10,8,116,6,6,24,17,10,73,5,"Sc0000055","JAMG","gene",1158205,1165648,".","-",".","ID=jamg1.TU.Sc0000055.95;Name=JAMG%20prediction%20Sc0000055.95"
"4","jamg1.TU.Sc0000101.46",197,103,31,24,79,157,78,153,89,97,63,36,"Sc0000101","JAMG","gene",630498,641045,".","+",".","ID=jamg1.TU.Sc0000101.46;Name=JAMG%20prediction%20Sc0000101.46"
"5","jamg1.TU.Sc0000117.30",261,115,143,68,275,170,150,274,145,148,209,73,"Sc0000117","JAMG","gene",230650,241404,".","-",".","ID=jamg1.TU.Sc0000117.30;Name=JAMG%20prediction%20Sc0000117.30"
"6","jamg1.TU.Sc0000225.27",1339,519,227,118,635,731,740,697,519,577,431,289,"Sc0000225","JAMG","gene",366834,368395,".","-",".","ID=jamg1.TU.Sc0000225.27;Name=JAMG%20prediction%20Sc0000225.27"
"7","jamg1.TU.Sc0000225.29",812,308,165,86,330,429,506,451,363,344,275,231,"Sc0000225","JAMG","gene",395260,396195,".","-",".","ID=jamg1.TU.Sc0000225.29;Name=JAMG%20prediction%20Sc0000225.29"
"8","jamg1.TU.Sc0000551.3",35,18,20,3,52,20,25,10,8,31,27,13,"Sc0000551","JAMG","gene",12597,14306,".","-",".","ID=jamg1.TU.Sc0000551.3;Name=JAMG%20prediction%20Sc0000551.3"
"9","jamg1.TU.Sc0000556.6",93,7,29,49,37,13,18,154,64,8,27,7,"Sc0000556","JAMG","gene",33196,40234,".","-",".","ID=jamg1.TU.Sc0000556.6;Name=JAMG%20prediction%20Sc0000556.6"
"10","jamg1.TU.Sc0000654.3",17,28,9,4,30,12,17,10,12,8,20,10,"Sc0000654","JAMG","gene",49847,53835,".","-",".","ID=jamg1.TU.Sc0000654.3;Name=JAMG%20prediction%20Sc0000654.3"
"11","jamg1.TU.xfSc0000469.4",23,11,10,11,60,14,13,29,17,8,68,6,"xfSc0000469","JAMG","gene",33190,38274,".","-",".","ID=jamg1.TU.xfSc0000469.4;Name=JAMG%20prediction%20xfSc0000469.4"
"12","jamg1.TU.xfSc0000800.1",29,17,15,8,48,11,13,17,10,10,29,7,"xfSc0000800","JAMG","gene",14,13438,".","+",".","ID=jamg1.TU.xfSc0000800.1;Name=JAMG%20prediction%20xfSc0000800.1"
"13","jamg1.TU.xpSc0007059.15",25,26,14,7,25,13,19,18,13,16,15,11,"xpSc0007059","JAMG","gene",286536,287333,".","+",".","ID=jamg1.TU.xpSc0007059.15;Name=JAMG%20prediction%20xpSc0007059.15"
"14","jamg1.TU.xpSc0007188.2",26,99,37,6,11,21,98,15,10,56,3,36,"xpSc0007188","JAMG","gene",8823,10267,".","-",".","ID=jamg1.TU.xpSc0007188.2;Name=JAMG%20prediction%20xpSc0007188.2"
"15","plut2.m8.10068",167,29,19,32,22,67,56,89,90,43,11,8,"Sc0000119","maker","gene",48984,57803,".","-",".","ID=plut2.m8.10068;Name=plut2.m8.10068"
"16","plut2.m8.1010",56,141,78,4,168,143,138,37,33,183,115,57,"Sc0000006","maker","gene",1922781,1931896,".","+",".","ID=plut2.m8.1010;Name=plut2.m8.1010"
"17","plut2.m8.1011",2102,805,611,214,842,803,1147,986,1057,1069,931,521,"Sc0000006","maker","gene",1940719,1946790,".","+",".","ID=plut2.m8.1011;Name=plut2.m8.1011"
"18","plut2.m8.10362",466,54,44,144,52,18,37,345,185,12,39,16,"Sc0000123","maker","gene",472752,477463,".","+",".","ID=plut2.m8.10362;Name=plut2.m8.10362"
"19","plut2.m8.10411",481,199,369,163,242,390,466,384,281,296,540,355,"Sc0000124","maker","gene",87091,109331,".","+",".","ID=plut2.m8.10411;Name=plut2.m8.10411"
"20","plut2.m8.10671",16,16,13,5,26,21,21,13,8,22,18,9,"Sc0000128","maker","gene",969285,973842,".","-",".","ID=plut2.m8.10671;Name=plut2.m8.10671"
"21","plut2.m8.11052",156,20,76,58,30,9,7,77,161,6,28,42,"Sc0000136","maker","gene",304426,310991,".","-",".","ID=plut2.m8.11052;Name=plut2.m8.11052"
"22","plut2.m8.11192",277,249,105,36,286,193,241,141,152,158,233,111,"Sc0000138","maker","gene",772524,789074,".","-",".","ID=plut2.m8.11192;Name=plut2.m8.11192"
"23","plut2.m8.11877",35,36,11,8,36,16,19,18,19,23,17,7,"Sc0000151","maker","gene",71882,82826,".","+",".","ID=plut2.m8.11877;Name=plut2.m8.11877"
"24","plut2.m8.12089",627,138,106,190,147,68,129,548,276,91,123,57,"Sc0000155","maker","gene",769830,775439,".","+",".","ID=plut2.m8.12089;Name=plut2.m8.12089"
"25","plut2.m8.1212",682,223,85,97,162,170,240,461,413,121,75,53,"Sc0000008","maker","gene",1428186,1439338,".","-",".","ID=plut2.m8.1212;Name=plut2.m8.1212"
"26","plut2.m8.12181",12,16,14,3,19,11,13,10,10,12,15,8,"Sc0000157","maker","gene",263528,265792,".","-",".","ID=plut2.m8.12181;Name=plut2.m8.12181"
"27","plut2.m8.1221",18,43,15,3,32,18,19,10,12,14,25,14,"Sc0000008","maker","gene",1604372,1614914,".","-",".","ID=plut2.m8.1221;Name=plut2.m8.1221"
"28","plut2.m8.12217",293,134,31,43,80,101,85,190,198,110,10,20,"Sc0000158","maker","gene",44623,56127,".","+",".","ID=plut2.m8.12217;Name=plut2.m8.12217"
"29","plut2.m8.12888",25,35,22,6,23,12,23,20,16,18,18,12,"Sc0000170","maker","gene",779881,783635,".","+",".","ID=plut2.m8.12888;Name=plut2.m8.12888"
"30","plut2.m8.13153",794,233,66,46,136,177,374,527,440,214,40,52,"Sc0000175","maker","gene",402711,419221,".","-",".","ID=plut2.m8.13153;Name=plut2.m8.13153"
"31","plut2.m8.13229",166,120,89,62,320,92,90,152,160,81,260,42,"Sc0000177","maker","gene",124453,153834,".","+",".","ID=plut2.m8.13229;Name=plut2.m8.13229"
"32","plut2.m8.14149",184,75,21,17,2779,52,94,33,114,19,2691,30,"Sc0000189","maker","gene",439699,457632,".","+",".","ID=plut2.m8.14149;Name=plut2.m8.14149"
"33","plut2.m8.15173",148,110,61,37,100,46,96,143,77,50,95,60,"Sc0000213","maker","gene",200339,205210,".","-",".","ID=plut2.m8.15173;Name=plut2.m8.15173"
"34","plut2.m8.15873",71,38,20,20,91,58,27,54,36,26,92,18,"Sc0000230","maker","gene",35553,40052,".","-",".","ID=plut2.m8.15873;Name=plut2.m8.15873"
"35","plut2.m8.15977",41,29,15,6,38,18,35,13,22,13,25,14,"Sc0000232","maker","gene",112266,117553,".","+",".","ID=plut2.m8.15977;Name=plut2.m8.15977"
"36","plut2.m8.16218",178,29,14,40,41,30,32,111,101,32,22,10,"Sc0000238","maker","gene",514136,518907,".","-",".","ID=plut2.m8.16218;Name=plut2.m8.16218"
"37","plut2.m8.16250",84,22,34,16,49,30,18,45,46,29,50,20,"Sc0000239","maker","gene",410399,416283,".","+",".","ID=plut2.m8.16250;Name=plut2.m8.16250"
"38","plut2.m8.16389",692,475,190,41,523,492,383,241,306,251,546,238,"Sc0000242","maker","gene",638774,639088,".","-",".","ID=plut2.m8.16389;Name=plut2.m8.16389"
"39","plut2.m8.1654",204,42,12,28,25,29,29,84,79,36,16,11,"Sc0000012","maker","gene",894085,904975,".","-",".","ID=plut2.m8.1654;Name=plut2.m8.1654"
"40","plut2.m8.16587",39,22,26,15,70,21,20,39,40,15,43,13,"Sc0000247","maker","gene",394922,397816,".","-",".","ID=plut2.m8.16587;Name=plut2.m8.16587"
"41","plut2.m8.17513",17,22,11,0,40,11,14,21,6,16,26,13,"Sc0000274","maker","gene",477910,488836,".","+",".","ID=plut2.m8.17513;Name=plut2.m8.17513"
"42","plut2.m8.18280",31,32,25,5,55,26,39,25,13,28,36,17,"Sc0000298","maker","gene",368467,370043,".","-",".","ID=plut2.m8.18280;Name=plut2.m8.18280"
"43","plut2.m8.18281",59,33,26,7,55,27,41,46,35,29,37,17,"Sc0000298","maker","gene",374404,375980,".","-",".","ID=plut2.m8.18281;Name=plut2.m8.18281"
"44","plut2.m8.18568",50,53,49,25,54,22,49,34,25,36,40,23,"Sc0000307","maker","gene",347194,350001,".","+",".","ID=plut2.m8.18568;Name=plut2.m8.18568"
"45","plut2.m8.19607",67,27,23,8,77,36,28,50,30,21,40,11,"Sc0000344","maker","gene",139378,151705,".","+",".","ID=plut2.m8.19607;Name=plut2.m8.19607"
"46","plut2.m8.19775",202,12,20,43,23,34,33,148,117,21,19,12,"Sc0000349","maker","gene",213029,214204,".","+",".","ID=plut2.m8.19775;Name=plut2.m8.19775"
"47","plut2.m8.20146",93,99,66,10,84,132,124,21,57,71,96,73,"Sc0000364","maker","gene",117965,124354,".","+",".","ID=plut2.m8.20146;Name=plut2.m8.20146"
"48","plut2.m8.20414",179,62,13,21,37,50,45,139,127,22,14,13,"Sc0000375","maker","gene",5290,8080,".","+",".","ID=plut2.m8.20414;Name=plut2.m8.20414"
"49","plut2.m8.20419",339,149,117,71,176,134,224,241,203,220,197,116,"Sc0000375","maker","gene",145326,158662,".","+",".","ID=plut2.m8.20419;Name=plut2.m8.20419"
"50","plut2.m8.20774",27,21,15,9,38,23,25,25,13,20,22,11,"Sc0000389","maker","gene",406715,410648,".","-",".","ID=plut2.m8.20774;Name=plut2.m8.20774"
"51","plut2.m8.20873",35,52,23,7,26,20,37,24,28,15,28,21,"Sc0000395","maker","gene",101521,103029,".","+",".","ID=plut2.m8.20873;Name=plut2.m8.20873"
"52","plut2.m8.21171",84,85,204,31,83,196,258,54,37,150,505,229,"Sc0000407","maker","gene",300590,304815,".","-",".","ID=plut2.m8.21171;Name=plut2.m8.21171"
"53","plut2.m8.21315",692,175,141,245,156,96,157,593,386,102,143,75,"Sc0000414","maker","gene",342772,347885,".","+",".","ID=plut2.m8.21315;Name=plut2.m8.21315"
"54","plut2.m8.21416",31,27,19,0,34,18,28,24,13,23,30,17,"Sc0000418","maker","gene",135115,139758,".","-",".","ID=plut2.m8.21416;Name=plut2.m8.21416"
"55","plut2.m8.21463",19,19,9,4,18,22,19,11,14,9,10,8,"Sc0000420","maker","gene",57266,69402,".","-",".","ID=plut2.m8.21463;Name=plut2.m8.21463"
"56","plut2.m8.21554",218,83,61,54,155,66,71,120,123,56,97,40,"Sc0000423","maker","gene",261849,275907,".","-",".","ID=plut2.m8.21554;Name=plut2.m8.21554"
"57","plut2.m8.21690",15,26,16,3,27,35,36,21,27,13,27,11,"Sc0000431","maker","gene",72070,72831,".","+",".","ID=plut2.m8.21690;Name=plut2.m8.21690"
"58","plut2.m8.21703",44,7,22,12,159,15,10,66,22,17,87,9,"Sc0000431","maker","gene",149496,154660,".","+",".","ID=plut2.m8.21703;Name=plut2.m8.21703"
"59","plut2.m8.21745",497,244,66,83,99,316,164,678,566,271,39,47,"Sc0000434","maker","gene",21717,28037,".","-",".","ID=plut2.m8.21745;Name=plut2.m8.21745"
"60","plut2.m8.21905",161,33,14,35,29,42,39,107,87,20,9,10,"Sc0000442","maker","gene",62700,77093,".","-",".","ID=plut2.m8.21905;Name=plut2.m8.21905"
"61","plut2.m8.22162",1978,4308,5062,699,5596,3863,4926,1468,918,5720,4369,2125,"Sc0000455","maker","gene",280377,282647,".","-",".","ID=plut2.m8.22162;Name=plut2.m8.22162"
"62","plut2.m8.22300",42,55,13,0,74,61,40,37,27,34,22,12,"Sc0000462","maker","gene",259134,266815,".","-",".","ID=plut2.m8.22300;Name=plut2.m8.22300"
"63","plut2.m8.22320",195,71,25,25,472,55,67,95,99,36,348,36,"Sc0000463","maker","gene",187679,206893,".","+",".","ID=plut2.m8.22320;Name=plut2.m8.22320"
"64","plut2.m8.22430",55,28,26,21,191,28,22,66,26,22,93,13,"Sc0000469","maker","gene",287050,302815,".","-",".","ID=plut2.m8.22430;Name=plut2.m8.22430"
"65","plut2.m8.22577",33,52,34,11,47,24,39,54,23,28,40,22,"Sc0000478","maker","gene",19106,21642,".","-",".","ID=plut2.m8.22577;Name=plut2.m8.22577"
"66","plut2.m8.22609",814,183,138,296,191,82,168,637,499,120,134,80,"Sc0000480","maker","gene",40412,47814,".","-",".","ID=plut2.m8.22609;Name=plut2.m8.22609"
"67","plut2.m8.22908",578,141,169,196,309,103,126,396,431,77,257,105,"Sc0000495","maker","gene",93589,116971,".","-",".","ID=plut2.m8.22908;Name=plut2.m8.22908"
"68","plut2.m8.23195",57,48,22,15,34,37,28,47,22,37,13,18,"Sc0000512","maker","gene",281143,294057,".","-",".","ID=plut2.m8.23195;Name=plut2.m8.23195"
"69","plut2.m8.23282",122,10,18,93,202,13,17,126,84,11,59,16,"Sc0000518","maker","gene",77167,89032,".","+",".","ID=plut2.m8.23282;Name=plut2.m8.23282"
"70","plut2.m8.23335",390,95,68,113,94,56,79,371,206,59,62,34,"Sc0000521","maker","gene",141257,144121,".","-",".","ID=plut2.m8.23335;Name=plut2.m8.23335"
"71","plut2.m8.23510",365,273,431,110,541,405,479,528,149,433,410,185,"Sc0000532","maker","gene",109605,114623,".","+",".","ID=plut2.m8.23510;Name=plut2.m8.23510"
"72","plut2.m8.24126",125,86,34,20,74,86,83,71,77,39,48,41,"Sc0000574","maker","gene",3310,9799,".","+",".","ID=plut2.m8.24126;Name=plut2.m8.24126"
"73","plut2.m8.24267",62,45,10,5,16,90,51,16,27,14,12,12,"Sc0000583","maker","gene",64786,66464,".","+",".","ID=plut2.m8.24267;Name=plut2.m8.24267"
"74","plut2.m8.24269",182,72,16,10,23,195,105,109,78,38,26,19,"Sc0000583","maker","gene",28069,40739,".","+",".","ID=plut2.m8.24269;Name=plut2.m8.24269"
"75","plut2.m8.24633",210,2250,1107,58,2882,1299,2172,109,166,985,2992,936,"Sc0000612","maker","gene",164927,177636,".","-",".","ID=plut2.m8.24633;Name=plut2.m8.24633"
"76","plut2.m8.2498",16,18,10,5,22,8,14,25,9,12,27,11,"Sc0000020","maker","gene",16369,24406,".","-",".","ID=plut2.m8.2498;Name=plut2.m8.2498"
"77","plut2.m8.24994",26,9,10,3,48,11,17,12,14,10,41,6,"Sc0000649","maker","gene",130164,134753,".","+",".","ID=plut2.m8.24994;Name=plut2.m8.24994"
"78","plut2.m8.25307",490,191,80,95,89,202,127,212,235,188,51,52,"Sc0000686","maker","gene",18769,26573,".","+",".","ID=plut2.m8.25307;Name=plut2.m8.25307"
"79","plut2.m8.25740",85,106,146,35,171,316,113,170,43,157,179,49,"Sc0000755","maker","gene",23829,35235,".","+",".","ID=plut2.m8.25740;Name=plut2.m8.25740"
"80","plut2.m8.25842",116,14,9,19,14,7,16,70,46,9,8,6,"Sc0000774","maker","gene",2965,6922,".","-",".","ID=plut2.m8.25842;Name=plut2.m8.25842"
"81","plut2.m8.25894",118,145,53,28,125,117,113,87,64,60,103,63,"Sc0000784","maker","gene",40559,65413,".","+",".","ID=plut2.m8.25894;Name=plut2.m8.25894"
"82","plut2.m8.25928",429,87,71,159,66,30,70,341,244,43,53,22,"Sc0000793","maker","gene",33848,37921,".","+",".","ID=plut2.m8.25928;Name=plut2.m8.25928"
"83","plut2.m8.26038",48,40,29,18,39,23,34,36,21,27,33,19,"Sc0000821","maker","gene",35673,45253,".","+",".","ID=plut2.m8.26038;Name=plut2.m8.26038"
"84","plut2.m8.26060",13,15,7,0,43,30,17,17,10,24,18,14,"Sc0000827","maker","gene",55965,60810,".","-",".","ID=plut2.m8.26060;Name=plut2.m8.26060"
"85","plut2.m8.26344",71,48,20,10,72,22,39,43,37,22,54,20,"Sc0000943","maker","gene",26363,29840,".","-",".","ID=plut2.m8.26344;Name=plut2.m8.26344"
"86","plut2.m8.26404",41,47,134,22,19,170,226,11,35,106,104,92,"Sc0000990","maker","gene",11406,11797,".","+",".","ID=plut2.m8.26404;Name=plut2.m8.26404"
"87","plut2.m8.26944",324,68,82,70,170,55,64,181,206,43,106,35,"xfSc0000012","maker","gene",181046,197951,".","-",".","ID=plut2.m8.26944;Name=plut2.m8.26944"
"88","plut2.m8.27435",1332,489,148,178,280,592,305,721,744,286,100,122,"xfSc0000020","maker","gene",246806,264434,".","-",".","ID=plut2.m8.27435;Name=plut2.m8.27435"
"89","plut2.m8.27437",46,22,19,15,37,26,27,33,15,15,26,17,"xfSc0000020","maker","gene",301115,307366,".","+",".","ID=plut2.m8.27437;Name=plut2.m8.27437"
"90","plut2.m8.27535",19,22,19,3,27,16,23,9,14,16,23,18,"xfSc0000023","maker","gene",486392,487294,".","-",".","ID=plut2.m8.27535;Name=plut2.m8.27535"
"91","plut2.m8.27604",26,23,9,0,59,30,18,20,19,22,27,7,"xfSc0000027","maker","gene",208046,223244,".","-",".","ID=plut2.m8.27604;Name=plut2.m8.27604"
"92","plut2.m8.28609",272,68,26,55,71,35,54,177,154,49,32,17,"xfSc0000060","maker","gene",245592,255311,".","-",".","ID=plut2.m8.28609;Name=plut2.m8.28609"
"93","plut2.m8.28828",51,40,33,16,44,32,44,44,23,24,33,16,"xfSc0000066","maker","gene",100984,103701,".","+",".","ID=plut2.m8.28828;Name=plut2.m8.28828"
"94","plut2.m8.29528",10,18,27,2,32,9,25,20,7,21,19,8,"xfSc0000106","maker","gene",181155,193591,".","-",".","ID=plut2.m8.29528;Name=plut2.m8.29528"
"95","plut2.m8.29610",99,51,39,20,243,49,67,57,35,60,114,29,"xfSc0000113","maker","gene",183846,193075,".","+",".","ID=plut2.m8.29610;Name=plut2.m8.29610"
"96","plut2.m8.29685",11,12,12,3,11,21,12,9,6,10,11,8,"xfSc0000122","maker","gene",11579,12859,".","-",".","ID=plut2.m8.29685;Name=plut2.m8.29685"
"97","plut2.m8.30338",12,17,8,0,20,14,19,15,7,15,10,8,"xfSc0000187","maker","gene",53032,58910,".","-",".","ID=plut2.m8.30338;Name=plut2.m8.30338"
"98","plut2.m8.30462",30,27,24,0,35,10,17,27,14,14,30,11,"xfSc0000199","maker","gene",6803,26608,".","+",".","ID=plut2.m8.30462;Name=plut2.m8.30462"
"99","plut2.m8.30559",77,63,27,12,47,39,33,46,48,39,29,18,"xfSc0000213","maker","gene",36615,39306,".","-",".","ID=plut2.m8.30559;Name=plut2.m8.30559"
"100","plut2.m8.30812",77,58,21,8,53,83,44,47,56,38,23,17,"xfSc0000257","maker","gene",65901,68987,".","-",".","ID=plut2.m8.30812;Name=plut2.m8.30812"
"101","plut2.m8.30846",15,27,7,0,25,33,23,16,9,15,14,11,"xfSc0000267","maker","gene",53502,77583,".","-",".","ID=plut2.m8.30846;Name=plut2.m8.30846"
"102","plut2.m8.30977",21,23,21,12,52,16,20,22,12,15,36,10,"xfSc0000311","maker","gene",28720,36896,".","+",".","ID=plut2.m8.30977;Name=plut2.m8.30977"
"103","plut2.m8.31278",49,22,20,3,25,19,41,13,21,44,18,21,"xfSc0000411","maker","gene",41740,42808,".","-",".","ID=plut2.m8.31278;Name=plut2.m8.31278"
"104","plut2.m8.31556",16,36,18,0,40,41,29,17,11,15,24,14,"xfSc0000653","maker","gene",14787,24342,".","+",".","ID=plut2.m8.31556;Name=plut2.m8.31556"
"105","plut2.m8.31557",76,36,24,17,48,70,51,30,42,29,39,23,"xfSc0000653","maker","gene",66,4916,".","+",".","ID=plut2.m8.31557;Name=plut2.m8.31557"
"106","plut2.m8.31969",38,76,30,0,106,101,48,34,23,50,35,24,"xfSc0002283","maker","gene",4215,5813,".","+",".","ID=plut2.m8.31969;Name=plut2.m8.31969"
"107","plut2.m8.32388",149,24,8,49,22,22,26,111,98,13,18,10,"xpSc0007062","maker","gene",238069,249872,".","-",".","ID=plut2.m8.32388;Name=plut2.m8.32388"
"108","plut2.m8.32471",18,19,11,0,21,12,20,10,10,16,17,10,"xpSc0007065","maker","gene",343869,349707,".","-",".","ID=plut2.m8.32471;Name=plut2.m8.32471"
