"","gene","GO.ID","term","ontology","over_represented_pvalue","4_2","11_2","39_2","41_2","1_2","28_2","42_2","47_2","2_2","35_2","36_2","38_2"
"1","LOC113664124","GO:0004930,GO:0007186,GO:0016021,GO:0016021","G protein-coupled receptor activity,G protein-coupled receptor signaling pathway,integral component of membrane,integral component of membrane","MF,BP,CC,CC","0,0,1.05240798224272e-41,1.05240798224272e-41",20,5,21,6,27,21,34,15,20,15,16,31
"2","LOC113664139","GO:0006486,GO:0016020","protein glycosylation,membrane","BP,CC","0.00268882271877833,0",9,7,5,6,16,13,231,14,75,13,7,110
"3","LOC113664141","GO:0007154,GO:0016020","cell communication,membrane","BP,CC","1.7784129712511e-06,0",79,116,227,140,233,218,426,342,353,259,335,234
"4","LOC113664150","GO:0007154,GO:0016020","cell communication,membrane","BP,CC","1.7784129712511e-06,0",4,63,130,113,458,226,241,95,152,290,121,16
"5","LOC113664234","GO:0003924,GO:0005525,GO:0005525","GTPase activity,GTP binding,GTP binding","MF,MF,MF","2.89515814022128e-09,3.66775810938267e-12,3.66775810938267e-12",215,208,238,250,73,74,108,56,30,79,75,67
"6","LOC113664260","NA","NA","NA","NA",12947,14246,12175,12881,596,993,1384,1216,445,1358,1637,502
"7","LOC113664289","NA","NA","NA","NA",299,224,256,220,1974,645,3903,2699,2525,3283,1797,1870
"8","LOC113664336","GO:0005452,GO:0006820,GO:0006820,GO:0006820,GO:0008509,GO:0016020,GO:0016021,GO:0016021","inorganic anion exchanger activity,anion transport,anion transport,anion transport,anion transmembrane transporter activity,membrane,integral component of membrane,integral component of membrane","MF,BP,BP,BP,MF,CC,CC,CC","0.0316286020543472,0.0316286020543472,0.0316286020543472,0.0316286020543472,0.0316286020543472,0,1.05240798224272e-41,1.05240798224272e-41",777,744,744,933,218,402,378,282,133,327,167,178
"9","LOC113664340","GO:0003676","nucleic acid binding","MF","0",115,185,128,96,29,26,45,37,17,34,37,32
"10","LOC113664349","GO:0003677,GO:0003677,GO:0003677,GO:0003677,GO:0003677,GO:0003700,GO:0003700,GO:0003700,GO:0003700,GO:0003700,GO:0003700,GO:0003700,GO:0003700,GO:0003700,GO:0003700,GO:0006355,GO:0006355,GO:0006355,GO:0006355,GO:0006355,GO:0006355,GO:0006355,GO:0006355,GO:0006355,GO:0006355","DNA binding,DNA binding,DNA binding,DNA binding,DNA binding,DNA-binding transcription factor activity,DNA-binding transcription factor activity,DNA-binding transcription factor activity,DNA-binding transcription factor activity,DNA-binding transcription factor activity,DNA-binding transcription factor activity,DNA-binding transcription factor activity,DNA-binding transcription factor activity,DNA-binding transcription factor activity,DNA-binding transcription factor activity,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated,regulation of transcription, DNA-templated","MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,MF,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP","1.39255035582582e-07,1.39255035582582e-07,1.39255035582582e-07,1.39255035582582e-07,1.39255035582582e-07,1.50935961164739e-10,1.50935961164739e-10,1.50935961164739e-10,1.50935961164739e-10,1.50935961164739e-10,1.50935961164739e-10,1.50935961164739e-10,1.50935961164739e-10,1.50935961164739e-10,1.50935961164739e-10,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12,3.81978759635764e-12",3039,3345,1143,3258,4475,3044,3054,1247,1623,3378,5427,6069
