"","gene_id","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","X19_T33_Ac_WK","X25_ctl1_Ac_GF_1","X27_ctl2_Ac_YG_1","X31_T22_Ac_UV","X35_T43_Ac_MT","X37_T13_Ac_ML","X38_T23_Ac_IN","X41_ctl3_Ac_RN_1","X47_T31_Ac_JB","X52_T11_Ac_II","X53_T21_Ac_NH","X54_T42_Ac_JQ","X57_T32_Ac_NM","length","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare"
"32","Acerv_evm.model.Segkk1318_pilon.7","GO:0030544",0.00186451154599067,0.999912263942145,3,11,"Hsp70 protein binding","MF",79,143,111,77,158,51,103,110,27,31,59,117,25,1692,75.2971231510255,-0.86097256289238,0.250420446274773,-3.4381080926103,0.000585793810043497,0.0392308284192834,"CvsT2"
"34","Acerv_evm.model.Segkk1411_pilon.4","GO:0046556",0.0214092421271054,1,1,1,"alpha-L-arabinofuranosidase activity","MF",1402,2479,2277,830,1573,1057,833,2257,550,1598,376,1365,617,2148,1185.11289826247,1.04231073404129,0.273681775925443,3.80847694559408,0.000139825379979968,0.0311013549908585,"T1vsT2"
"38","Acerv_evm.model.Segkk1424_pilon.6","GO:0051879",0.0396283256766858,0.996424662695642,2,14,"Hsp90 protein binding","MF",285,626,341,125,245,202,83,387,106,280,49,285,139,855,213.466170369132,1.55061075932362,0.359293924228013,4.31571661740536,1.59085960188511e-05,0.00990928733289509,"T1vsT2"
"43","Acerv_evm.model.Segkk1424_pilon.6","GO:0030169",0.02424851633823,1,1,1,"low-density lipoprotein particle binding","MF",285,626,341,125,245,202,83,387,106,280,49,285,139,855,213.466170369132,1.55061075932362,0.359293924228013,4.31571661740536,1.59085960188511e-05,0.00990928733289509,"T1vsT2"
"44","Acerv_evm.model.Segkk1424_pilon.6","GO:0030544",0.00186451154599067,0.999912263942145,3,11,"Hsp70 protein binding","MF",285,626,341,125,245,202,83,387,106,280,49,285,139,855,213.466170369132,1.55061075932362,0.359293924228013,4.31571661740536,1.59085960188511e-05,0.00990928733289509,"T1vsT2"
"83","Acerv_evm.model.Segkk1851_pilon.3","GO:0003723",0.0264883518621786,0.991358113452853,7,122,"RNA binding","MF",40,29,44,36,53,24,43,18,24,38,25,43,8,2100,33.1644365470079,-1.66367654601781,0.389960677346512,-4.26626745378097,1.98770474996372e-05,0.00326742520807673,"CvsT2"
"85","Acerv_evm.model.Segkk1851_pilon.3","GO:0004532",0.0442743661825154,0.999501121343662,1,2,"exoribonuclease activity","MF",40,29,44,36,53,24,43,18,24,38,25,43,8,2100,33.1644365470079,-1.66367654601781,0.389960677346512,-4.26626745378097,1.98770474996372e-05,0.00326742520807673,"CvsT2"
"182","Acerv_evm.model.Segkk1945_pilon.2","GO:0003690",0.00415861816436389,0.999722425071719,3,15,"double-stranded DNA binding","MF",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.49558738735355,0.600891203235296,-4.15314348740155,3.27938961656946e-05,0.00470295028445673,"CvsT2"
"183","Acerv_evm.model.Segkk1945_pilon.2","GO:0003690",0.00415861816436389,0.999722425071719,3,15,"double-stranded DNA binding","MF",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.97198302222227,0.59091760902446,-5.02943722920812,4.91921505897359e-07,0.00021178392070562,"CvsT3"
"184","Acerv_evm.model.Segkk1945_pilon.2","GO:0003690",0.00415861816436389,0.999722425071719,3,15,"double-stranded DNA binding","MF",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.95364415423031,0.645065097699942,-4.57883113620917,4.67581480375564e-06,0.00169096166563019,"CvsT1"
"185","Acerv_evm.model.Segkk1945_pilon.2","GO:0001784",0.0113616432706379,0.999540856540644,2,7,"phosphotyrosine residue binding","MF",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.49558738735355,0.600891203235296,-4.15314348740155,3.27938961656946e-05,0.00470295028445673,"CvsT2"
"186","Acerv_evm.model.Segkk1945_pilon.2","GO:0001784",0.0113616432706379,0.999540856540644,2,7,"phosphotyrosine residue binding","MF",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.97198302222227,0.59091760902446,-5.02943722920812,4.91921505897359e-07,0.00021178392070562,"CvsT3"
"187","Acerv_evm.model.Segkk1945_pilon.2","GO:0001784",0.0113616432706379,0.999540856540644,2,7,"phosphotyrosine residue binding","MF",34,8,12,16,18,17,18,0,12,19,7,24,12,1350,16.8033194983796,-2.95364415423031,0.645065097699942,-4.57883113620917,4.67581480375564e-06,0.00169096166563019,"CvsT1"
"306","Acerv_evm.model.Segkk2008_pilon.3","GO:0003968",0.0423481939837696,0.999544041190534,1,2,"RNA-directed 5'-3' RNA polymerase activity","MF",502,719,589,374,656,342,344,434,202,315,286,594,164,2037,397.078494758759,-0.708447660771751,0.183709969758459,-3.85633758311111,0.000115098510653138,0.0123744881924496,"CvsT2"
"308","Acerv_evm.model.Segkk2116_pilon.21","GO:0050694",0.0454503371966976,0.999473946436188,1,2,"galactose 3-O-sulfotransferase activity","MF",461,1010,702,213,372,323,250,978,280,348,132,473,202,924,381.150039064491,0.730761808023572,0.203867502124055,3.58449385218296,0.000337732519331341,0.0270215903298642,"CvsT2"
"310","Acerv_evm.model.Segkk2116_pilon.21","GO:0001733",0.0454503371966976,0.999473946436188,1,2,"galactosylceramide sulfotransferase activity","MF",461,1010,702,213,372,323,250,978,280,348,132,473,202,924,381.150039064491,0.730761808023572,0.203867502124055,3.58449385218296,0.000337732519331341,0.0270215903298642,"CvsT2"
"318","Acerv_evm.model.Segkk2119_pilon.10","GO:0005543",0.0011470856433709,0.999912367606281,4,21,"phospholipid binding","MF",68,156,149,29,54,22,34,159,38,35,13,49,25,414,50.5261656932498,1.17024544520593,0.282248922594587,4.14614672200832,3.38117208815051e-05,0.00470295028445673,"CvsT2"
"319","Acerv_evm.model.Segkk2119_pilon.10","GO:0005543",0.0011470856433709,0.999912367606281,4,21,"phospholipid binding","MF",68,156,149,29,54,22,34,159,38,35,13,49,25,414,50.5261656932498,1.02651594087155,0.288714559422089,3.55546995248973,0.000377304065767473,0.0477262336426998,"CvsT4"
"324","Acerv_evm.model.Segkk2119_pilon.10","GO:0062063",0.0304589252215585,1,1,1,"BBSome binding","MF",68,156,149,29,54,22,34,159,38,35,13,49,25,414,50.5261656932498,1.17024544520593,0.282248922594587,4.14614672200832,3.38117208815051e-05,0.00470295028445673,"CvsT2"
"325","Acerv_evm.model.Segkk2119_pilon.10","GO:0062063",0.0304589252215585,1,1,1,"BBSome binding","MF",68,156,149,29,54,22,34,159,38,35,13,49,25,414,50.5261656932498,1.02651594087155,0.288714559422089,3.55546995248973,0.000377304065767473,0.0477262336426998,"CvsT4"
"335","Acerv_evm.model.Segkk223_pilon.4","GO:0016247",0.0213645393341835,1,1,1,"channel regulator activity","MF",84,22,77,76,119,54,105,38,68,86,45,100,33,2742,74.9843103016989,-1.81313043950222,0.47322555877957,-3.83142965519067,0.000127400801489256,0.0199912588510795,"CvsT4"
"336","Acerv_evm.model.Segkk223_pilon.4","GO:0016247",0.0213645393341835,1,1,1,"channel regulator activity","MF",84,22,77,76,119,54,105,38,68,86,45,100,33,2742,74.9843103016989,-2.14302879285286,0.429306296130823,-4.99184105187178,5.98064642174945e-07,0.000200263052959396,"CvsT2"
"337","Acerv_evm.model.Segkk223_pilon.4","GO:0016247",0.0213645393341835,1,1,1,"channel regulator activity","MF",84,22,77,76,119,54,105,38,68,86,45,100,33,2742,74.9843103016989,-2.10691848578796,0.478739459573537,-4.40097101597769,1.07767520767506e-05,0.00324775385086339,"CvsT1"
"338","Acerv_evm.model.Segkk223_pilon.4","GO:0016247",0.0213645393341835,1,1,1,"channel regulator activity","MF",84,22,77,76,119,54,105,38,68,86,45,100,33,2742,74.9843103016989,-1.90711784806022,0.432548481707457,-4.40902679979826,1.03836176524026e-05,0.00312927623984574,"CvsT3"
