"","prot","scaffold","Gene.Predict","id.x","gene.start","gene.stop","pos1.x","pos2.x","pos3.x","attr.x","Predict","id.y","start","stop","pos1.y","pos2.y","pos3.y","attr.y"
"1","Acerv_evm.model.Segkk105_pilon.25","Segkk105_pilon","EVM","CDS",245796,246055,".","+","2","ID=cds.Acerv_evm.model.Segkk105_pilon.25;Parent=Acerv_evm.model.Segkk105_pilon.25;transcript_id=cds.Acerv_evm.model.Segkk105_pilon.25","Pfam","protein_match",58,127,"1.7E-30","+",".","date=26-09-2020;Target=Acerv_evm.model.Segkk105_pilon.25 58 127;Ontology_term=GO:0016301,GO:0016772;ID=match$104089_58_127;signature_desc=ATP:guanido phosphotransferase, N-terminal domain;Name=PF02807;status=T;Dbxref=InterPro:IPR022413,Reactome:R-HSA-71288"
"2","Acerv_evm.model.Segkk105_pilon.25","Segkk105_pilon","EVM","exon",242580,243412,".","+",".","ID=Acerv_evm.model.Segkk105_pilon.25.exon3;Parent=Acerv_evm.model.Segkk105_pilon.25;transcript_id=Acerv_evm.model.Segkk105_pilon.25.exon3","Pfam","protein_match",952,1165,"5.7E-80","+",".","date=26-09-2020;Target=Acerv_evm.model.Segkk105_pilon.25 952 1165;Ontology_term=GO:0016301,GO:0016772;ID=match$104097_952_1165;signature_desc=ATP:guanido phosphotransferase, C-terminal catalytic domain;Name=PF00217;status=T;Dbxref=InterPro:IPR022414,Reactome:R-HSA-71288"
"3","Acerv_evm.model.Segkk105_pilon.25","Segkk105_pilon","EVM","stop_codon",248063,248065,".","+",".","ID=Acerv_evm.model.Segkk105_pilon.25:stop;Parent=Acerv_evm.model.Segkk105_pilon.25;transcript_id=Acerv_evm.model.Segkk105_pilon.25:stop","Pfam","protein_match",447,517,"1.2E-31","+",".","date=26-09-2020;Target=Acerv_evm.model.Segkk105_pilon.25 447 517;Ontology_term=GO:0016301,GO:0016772;ID=match$104089_447_517;signature_desc=ATP:guanido phosphotransferase, N-terminal domain;Name=PF02807;status=T;Dbxref=InterPro:IPR022413,Reactome:R-HSA-71288"
"4","Acerv_evm.model.Segkk105_pilon.25","Segkk105_pilon","EVM","exon",242580,243412,".","+",".","ID=Acerv_evm.model.Segkk105_pilon.25.exon3;Parent=Acerv_evm.model.Segkk105_pilon.25;transcript_id=Acerv_evm.model.Segkk105_pilon.25.exon3","Pfam","protein_match",186,398,"5.4E-79","+",".","date=26-09-2020;Target=Acerv_evm.model.Segkk105_pilon.25 186 398;Ontology_term=GO:0016301,GO:0016772;ID=match$104097_186_398;signature_desc=ATP:guanido phosphotransferase, C-terminal catalytic domain;Name=PF00217;status=T;Dbxref=InterPro:IPR022414,Reactome:R-HSA-71288"
"5","Acerv_evm.model.Segkk105_pilon.25","Segkk105_pilon","EVM","CDS",245796,246055,".","+","2","ID=cds.Acerv_evm.model.Segkk105_pilon.25;Parent=Acerv_evm.model.Segkk105_pilon.25;transcript_id=cds.Acerv_evm.model.Segkk105_pilon.25","Pfam","protein_match",576,788,"2.0E-78","+",".","date=26-09-2020;Target=Acerv_evm.model.Segkk105_pilon.25 576 788;Ontology_term=GO:0016301,GO:0016772;ID=match$104097_576_788;signature_desc=ATP:guanido phosphotransferase, C-terminal catalytic domain;Name=PF00217;status=T;Dbxref=InterPro:IPR022414,Reactome:R-HSA-71288"
"6","Acerv_evm.model.Segkk105_pilon.25","Segkk105_pilon","EVM","CDS",247160,248065,".","+","0","ID=cds.Acerv_evm.model.Segkk105_pilon.25;Parent=Acerv_evm.model.Segkk105_pilon.25;transcript_id=cds.Acerv_evm.model.Segkk105_pilon.25","Pfam","protein_match",58,127,"1.7E-30","+",".","date=26-09-2020;Target=Acerv_evm.model.Segkk105_pilon.25 58 127;Ontology_term=GO:0016301,GO:0016772;ID=match$104089_58_127;signature_desc=ATP:guanido phosphotransferase, N-terminal domain;Name=PF02807;status=T;Dbxref=InterPro:IPR022413,Reactome:R-HSA-71288"
"7","Acerv_evm.model.Segkk105_pilon.25","Segkk105_pilon","EVM","exon",242184,242280,".","+",".","ID=Acerv_evm.model.Segkk105_pilon.25.exon2;Parent=Acerv_evm.model.Segkk105_pilon.25;transcript_id=Acerv_evm.model.Segkk105_pilon.25.exon2","Pfam","protein_match",447,517,"1.2E-31","+",".","date=26-09-2020;Target=Acerv_evm.model.Segkk105_pilon.25 447 517;Ontology_term=GO:0016301,GO:0016772;ID=match$104089_447_517;signature_desc=ATP:guanido phosphotransferase, N-terminal domain;Name=PF02807;status=T;Dbxref=InterPro:IPR022413,Reactome:R-HSA-71288"
"8","Acerv_evm.model.Segkk105_pilon.25","Segkk105_pilon","EVM","exon",242580,243412,".","+",".","ID=Acerv_evm.model.Segkk105_pilon.25.exon3;Parent=Acerv_evm.model.Segkk105_pilon.25;transcript_id=Acerv_evm.model.Segkk105_pilon.25.exon3","Pfam","protein_match",447,517,"1.2E-31","+",".","date=26-09-2020;Target=Acerv_evm.model.Segkk105_pilon.25 447 517;Ontology_term=GO:0016301,GO:0016772;ID=match$104089_447_517;signature_desc=ATP:guanido phosphotransferase, N-terminal domain;Name=PF02807;status=T;Dbxref=InterPro:IPR022413,Reactome:R-HSA-71288"
"9","Acerv_evm.model.Segkk105_pilon.25","Segkk105_pilon","EVM","exon",242184,242280,".","+",".","ID=Acerv_evm.model.Segkk105_pilon.25.exon2;Parent=Acerv_evm.model.Segkk105_pilon.25;transcript_id=Acerv_evm.model.Segkk105_pilon.25.exon2","Pfam","protein_match",952,1165,"5.7E-80","+",".","date=26-09-2020;Target=Acerv_evm.model.Segkk105_pilon.25 952 1165;Ontology_term=GO:0016301,GO:0016772;ID=match$104097_952_1165;signature_desc=ATP:guanido phosphotransferase, C-terminal catalytic domain;Name=PF00217;status=T;Dbxref=InterPro:IPR022414,Reactome:R-HSA-71288"
"10","Acerv_evm.model.Segkk105_pilon.25","Segkk105_pilon","EVM","stop_codon",248063,248065,".","+",".","ID=Acerv_evm.model.Segkk105_pilon.25:stop;Parent=Acerv_evm.model.Segkk105_pilon.25;transcript_id=Acerv_evm.model.Segkk105_pilon.25:stop","Pfam","protein_match",952,1165,"5.7E-80","+",".","date=26-09-2020;Target=Acerv_evm.model.Segkk105_pilon.25 952 1165;Ontology_term=GO:0016301,GO:0016772;ID=match$104097_952_1165;signature_desc=ATP:guanido phosphotransferase, C-terminal catalytic domain;Name=PF00217;status=T;Dbxref=InterPro:IPR022414,Reactome:R-HSA-71288"
