"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X6_1","X7_1","X8_1","X9_1","X21_1","X22_1","X23_1","X25_1","X26_1","X27_1","X29_1","X34_1","scaffold","gene.start","gene.stop","length","GO_terms"
"1","jamg1.TU.Sc0000020.96",65.8209919369338,-1.20422363324697,0.295885148621325,-4.06990225382396,4.7032866683698e-05,0.00977138882087813,"CvsMid",143,62,24,25,146,63,79,70,63,43,74,46,NA,NA,NA,NA,"NA"
"2","jamg1.TU.Sc0000051.45",175.267023324086,0.635514209339861,0.172971922993675,3.67408882517366,0.000238699690501282,0.0359570661230608,"CvsMid",604,130,81,141,152,157,182,484,422,98,126,71,NA,NA,NA,NA,"NA"
"3","jamg1.TU.Sc0000055.95",24.6234791683458,-2.29750495807373,0.564529990498902,-4.06976599426245,4.70603822157489e-05,0.00977138882087813,"CvsMid",35,8,10,8,116,6,6,24,17,10,73,5,NA,NA,NA,NA,"NA"
"4","jamg1.TU.Sc0000117.30",163.952961798919,-1.14676345791526,0.229758104561435,-4.99117739547956,6.00123490444789e-07,0.000271202865608358,"CvsMid",261,115,143,68,275,170,150,274,145,148,209,73,"Sc0000117",230650,241404,10754,"GO:0005515"
"5","jamg1.TU.Sc0000551.3",22.9399405852044,-2.35662191386313,0.415569531575865,-5.67082457880555,1.42111853924769e-08,1.03978506454956e-05,"CvsMid",35,18,20,3,52,20,25,10,8,31,27,13,NA,NA,NA,NA,"NA"
"6","jamg1.TU.Sc0000654.3",15.1932364773465,-1.93122068853382,0.422249693061214,-4.57364616308638,4.793090332433e-06,0.00154445289881203,"CvsMid",17,28,9,4,30,12,17,10,12,8,20,10,NA,NA,NA,NA,"NA"
"7","jamg1.TU.xfSc0000469.4",22.026364532316,-1.86347439708043,0.505635644530774,-3.68540947861719,0.000228335229160867,0.034736344515413,"CvsMid",23,11,10,11,60,14,13,29,17,8,68,6,"xfSc0000469",33190,38274,5084,"GO:0005515"
"8","jamg1.TU.xfSc0000800.1",17.4847418477261,-1.82191247465994,0.381195160214464,-4.77947430821241,1.75754128314918e-06,0.000741426299824509,"CvsMid",29,17,15,8,48,11,13,17,10,10,29,7,"xfSc0000800",14,13438,13424,"GO:0004672,GO:0006468,GO:0004672,GO:0005524,GO:0006468"
"10","jamg1.TU.xpSc0007059.15",17.1765211720029,-1.33855034408421,0.356634830143026,-3.75327991252956,0.00017453577473975,0.0285291721157049,"CvsMid",25,26,14,7,25,13,19,18,13,16,15,11,NA,NA,NA,NA,"NA"
"11","plut2.m8.10068",42.0269436322234,1.31131103817281,0.336036583761874,3.90228654122387,9.52882595943559e-05,0.0179836164282864,"CvsMid",167,29,19,32,22,67,56,89,90,43,11,8,"Sc0000119",48984,57803,8819,"GO:0016021,GO:0004930,GO:0007186,GO:0016021"
"13","plut2.m8.1010",109.108047870933,-3.02615896609457,0.26786822316532,-11.2971928149421,1.35479726646201e-29,6.93881999972958e-26,"CvsMid",56,141,78,4,168,143,138,37,33,183,115,57,NA,NA,NA,NA,"NA"
"14","plut2.m8.10362",81.1376965326609,1.67335752960394,0.350345216861908,4.77631047625664,1.78540664454974e-06,0.000741426299824509,"CvsMid",466,54,44,144,52,18,37,345,185,12,39,16,"Sc0000123",472752,477463,4711,"GO:0005515"
"15","plut2.m8.10411",380.699216079369,-1.59918592823888,0.355522870766415,-4.49812391757372,6.85557371939991e-06,0.00214722639956481,"CvsMid",481,199,369,163,242,390,466,384,281,296,540,355,"Sc0000124",87091,109331,22240,"GO:0035556,GO:0007165"
"17","plut2.m8.10671",16.8661945677621,-1.92342696574697,0.382122228302922,-5.03353854678719,4.81507940235439e-07,0.000224193015203561,"CvsMid",16,16,13,5,26,21,21,13,8,22,18,9,"Sc0000128",969285,973842,4557,"GO:0005515"
"18","plut2.m8.11192",183.571028386905,-1.62796269030831,0.209047294955311,-7.78753291524928,6.83302434153467e-15,1.49984884296686e-11,"CvsMid",277,249,105,36,286,193,241,141,152,158,233,111,"Sc0000138",772524,789074,16550,"GO:0005164,GO:0006955,GO:0016020,GO:0005515"
