"","gene_id","GO.ID"
"1","Mcavernosa00001","GO:0007154"
"2","Mcavernosa00001","GO:0016020"
"3","Mcavernosa00011","GO:0016409"
"4","Mcavernosa00014","GO:0005634"
"5","Mcavernosa00017","GO:0005515"
"7","Mcavernosa00017","GO:0005509"
"8","Mcavernosa00017","GO:0004096"
"9","Mcavernosa00017","GO:0016020"
"12","Mcavernosa00017","GO:0055114"
"13","Mcavernosa00017","GO:0020037"
"14","Mcavernosa00023","GO:0004672"
"15","Mcavernosa00023","GO:0005524"
"16","Mcavernosa00023","GO:0006468"
"26","Mcavernosa00034","GO:0003676"
"27","Mcavernosa00037","GO:0005524"
"28","Mcavernosa00037","GO:0005525"
"29","Mcavernosa00037","GO:0004672"
"31","Mcavernosa00037","GO:0004713"
"33","Mcavernosa00037","GO:0006468"
"37","Mcavernosa00037","GO:0003924"
"41","Mcavernosa00038","GO:0005524"
"42","Mcavernosa00038","GO:0005525"
"43","Mcavernosa00038","GO:0003924"
"44","Mcavernosa00038","GO:0004713"
"46","Mcavernosa00038","GO:0006468"
"51","Mcavernosa00038","GO:0004672"
"55","Mcavernosa00043","GO:0005515"
"60","Mcavernosa00044","GO:0005643"
"61","Mcavernosa00044","GO:0016973"
"62","Mcavernosa00045","GO:0008237"
"63","Mcavernosa00045","GO:0004222"
"64","Mcavernosa00045","GO:0006508"
"65","Mcavernosa00053","GO:0016787"
"66","Mcavernosa00054","GO:0016787"
"68","Mcavernosa00054","GO:0008239"
"70","Mcavernosa00055","GO:0016787"
"71","Mcavernosa00055","GO:0008239"
"74","Mcavernosa00056","GO:0008239"
"75","Mcavernosa00056","GO:0016787"
"78","Mcavernosa00057","GO:0016021"
"79","Mcavernosa00059","GO:0016021"
"80","Mcavernosa00067","GO:0003824"
"81","Mcavernosa00067","GO:0009058"
"82","Mcavernosa00067","GO:0030170"
"83","Mcavernosa00069","GO:0009058"
"84","Mcavernosa00069","GO:0003824"
"85","Mcavernosa00069","GO:0030170"
"86","Mcavernosa00070","GO:0003714"
"87","Mcavernosa00072","GO:0008270"
"89","Mcavernosa00077","GO:0051287"
"91","Mcavernosa00077","GO:0055114"
"92","Mcavernosa00077","GO:0016616"
"94","Mcavernosa00078","GO:0008138"
"95","Mcavernosa00078","GO:0016311"
"97","Mcavernosa00078","GO:0006470"
"98","Mcavernosa00078","GO:0016791"
"100","Mcavernosa00079","GO:0005515"
"105","Mcavernosa00081","GO:0008168"
"106","Mcavernosa00083","GO:0022857"
"107","Mcavernosa00083","GO:0055085"
"109","Mcavernosa00089","GO:0055085"
"110","Mcavernosa00089","GO:0022857"
"112","Mcavernosa00090","GO:0003824"
"114","Mcavernosa00090","GO:0008484"
"115","Mcavernosa00091","GO:0005509"
"119","Mcavernosa00092","GO:0005509"
"123","Mcavernosa00098","GO:0003723"
"124","Mcavernosa00099","GO:0007030"
"125","Mcavernosa00101","GO:0016021"
"126","Mcavernosa00101","GO:0005432"
"127","Mcavernosa00101","GO:0055085"
"129","Mcavernosa00101","GO:0007154"
"131","Mcavernosa00101","GO:0016020"
"134","Mcavernosa00101","GO:0006816"
"137","Mcavernosa00102","GO:0005515"
"138","Mcavernosa00102","GO:0006886"
"141","Mcavernosa00107","GO:0006164"
"142","Mcavernosa00107","GO:0004019"
"143","Mcavernosa00107","GO:0005525"
"153","Mcavernosa00111","GO:0006355"
"154","Mcavernosa00111","GO:0043565"
"161","Mcavernosa00111","GO:0005515"
"166","Mcavernosa00120","GO:0003677"
"171","Mcavernosa00121","GO:0003676"
"175","Mcavernosa00134","GO:0004514"
"176","Mcavernosa00134","GO:0009435"
"177","Mcavernosa00134","GO:0016763"
"184","Mcavernosa00134","GO:0003824"
"186","Mcavernosa00136","GO:0005854"
"187","Mcavernosa00137","GO:0016020"
"188","Mcavernosa00137","GO:0055085"
"189","Mcavernosa00137","GO:0006811"
"191","Mcavernosa00137","GO:0022857"
"192","Mcavernosa00140","GO:0004672"
"193","Mcavernosa00140","GO:0005524"
"196","Mcavernosa00140","GO:0006468"
"198","Mcavernosa00144","GO:0004672"
"199","Mcavernosa00144","GO:0004713"
"201","Mcavernosa00144","GO:0005524"
"202","Mcavernosa00144","GO:0006468"
"205","Mcavernosa00144","GO:0005515"
"209","Mcavernosa00156","GO:0005515"
"214","Mcavernosa00157","GO:0005525"
"217","Mcavernosa00160","GO:0016533"
"218","Mcavernosa00160","GO:0061575"
"219","Mcavernosa00161","GO:0016459"
"221","Mcavernosa00161","GO:0003774"
"227","Mcavernosa00161","GO:0005524"
"231","Mcavernosa00163","GO:0005515"
"233","Mcavernosa00164","GO:0005515"
"234","Mcavernosa00170","GO:0017150"
"235","Mcavernosa00170","GO:0008033"
"236","Mcavernosa00170","GO:0003824"
"238","Mcavernosa00170","GO:0055114"
"240","Mcavernosa00170","GO:0050660"
"243","Mcavernosa00173","GO:0046872"
"245","Mcavernosa00174","GO:0017150"
"246","Mcavernosa00174","GO:0046872"
"247","Mcavernosa00174","GO:0050660"
"248","Mcavernosa00174","GO:0003824"
"249","Mcavernosa00174","GO:0055114"
"251","Mcavernosa00174","GO:0008033"
"252","Mcavernosa00175","GO:0006468"
"254","Mcavernosa00175","GO:0004672"
"259","Mcavernosa00175","GO:0005524"
"263","Mcavernosa00184","GO:0005515"
"268","Mcavernosa00187","GO:0005515"
"269","Mcavernosa00187","GO:0008270"
"274","Mcavernosa00199","GO:0003676"
"276","Mcavernosa00199","GO:0008270"
"278","Mcavernosa00200","GO:0005515"
"282","Mcavernosa00212","GO:0005515"
"284","Mcavernosa00215","GO:0005515"
"286","Mcavernosa00227","GO:0030246"
"288","Mcavernosa00240","GO:0005524"
"289","Mcavernosa00240","GO:0003676"
"290","Mcavernosa00240","GO:0004386"
"292","Mcavernosa00245","GO:0007155"
"293","Mcavernosa00245","GO:0008305"
"294","Mcavernosa00250","GO:0005515"
"299","Mcavernosa00259","GO:0005509"
"300","Mcavernosa00261","GO:0035556"
"301","Mcavernosa00264","GO:0035556"
"302","Mcavernosa00270","GO:0051751"
"303","Mcavernosa00270","GO:0006506"
"304","Mcavernosa00270","GO:0016021"
"305","Mcavernosa00270","GO:0004376"
"306","Mcavernosa00274","GO:0022857"
"307","Mcavernosa00274","GO:0016020"
"308","Mcavernosa00274","GO:0055085"
"309","Mcavernosa00276","GO:0055085"
"310","Mcavernosa00276","GO:0022857"
"311","Mcavernosa00276","GO:0016020"
"312","Mcavernosa00277","GO:0016020"
"313","Mcavernosa00277","GO:0055085"
"314","Mcavernosa00277","GO:0022857"
"315","Mcavernosa00278","GO:0055085"
"316","Mcavernosa00278","GO:0022857"
"317","Mcavernosa00278","GO:0016020"
"318","Mcavernosa00279","GO:0016192"
