"","gene_id","GO.ID"
"1","Acerv_evm.TU.Segkk0_pilon.12","GO:0004672"
"2","Acerv_evm.TU.Segkk0_pilon.12","GO:0006468"
"7","Acerv_evm.TU.Segkk0_pilon.12","GO:0005524"
"10","Acerv_evm.TU.Segkk100_pilon.1","GO:0004672"
"11","Acerv_evm.TU.Segkk100_pilon.1","GO:0006468"
"14","Acerv_evm.TU.Segkk100_pilon.1","GO:0005524"
"18","Acerv_evm.TU.Segkk100_pilon.1","GO:0004713"
"20","Acerv_evm.TU.Segkk1001_pilon.1","GO:0005515"
"21","Acerv_evm.TU.Segkk1001_pilon.1","GO:0007165"
"26","Acerv_evm.TU.Segkk1001_pilon.2","GO:0003676"
"27","Acerv_evm.TU.Segkk1001_pilon.2","GO:0015074"
"29","Acerv_evm.TU.Segkk1003_pilon.25","GO:0046872"
"30","Acerv_evm.TU.Segkk1003_pilon.25","GO:0004462"
"33","Acerv_evm.TU.Segkk1003_pilon.30","GO:0006508"
"35","Acerv_evm.TU.Segkk1003_pilon.30","GO:0004252"
"49","Acerv_evm.TU.Segkk1003_pilon.33","GO:0006511"
"50","Acerv_evm.TU.Segkk1003_pilon.33","GO:0051603"
"51","Acerv_evm.TU.Segkk1003_pilon.33","GO:0019773"
"54","Acerv_evm.TU.Segkk1003_pilon.33","GO:0005839"
"58","Acerv_evm.TU.Segkk1005_pilon.2","GO:0007186"
"59","Acerv_evm.TU.Segkk1005_pilon.2","GO:0016021"
"60","Acerv_evm.TU.Segkk1005_pilon.2","GO:0004930"
"72","Acerv_evm.TU.Segkk1006_pilon.1","GO:0008168"
"74","Acerv_evm.TU.Segkk1008_pilon.4","GO:0005515"
"106","Acerv_evm.TU.Segkk101_pilon.1","GO:0005515"
"111","Acerv_evm.TU.Segkk1010_pilon.11","GO:0005509"
"113","Acerv_evm.TU.Segkk1010_pilon.11","GO:0016020"
"114","Acerv_evm.TU.Segkk1010_pilon.11","GO:0005044"
"116","Acerv_evm.TU.Segkk1010_pilon.5","GO:0016021"
"117","Acerv_evm.TU.Segkk1010_pilon.5","GO:0004930"
"119","Acerv_evm.TU.Segkk1010_pilon.5","GO:0007186"
"159","Acerv_evm.TU.Segkk1011_pilon.1","GO:0005515"
"163","Acerv_evm.TU.Segkk1011_pilon.13","GO:0005515"
"176","Acerv_evm.TU.Segkk1011_pilon.14","GO:0016021"
"177","Acerv_evm.TU.Segkk1011_pilon.15","GO:0051015"
"191","Acerv_evm.TU.Segkk1011_pilon.19","GO:0005267"
"193","Acerv_evm.TU.Segkk1011_pilon.24","GO:0005515"
"194","Acerv_evm.TU.Segkk1011_pilon.26","GO:0046983"
"200","Acerv_evm.TU.Segkk1011_pilon.3","GO:0003677"
"201","Acerv_evm.TU.Segkk1011_pilon.3","GO:0006355"
"203","Acerv_evm.TU.Segkk1011_pilon.3","GO:0000981"
"206","Acerv_evm.TU.Segkk1011_pilon.32","GO:0016021"
"208","Acerv_evm.TU.Segkk1011_pilon.32","GO:0004930"
"211","Acerv_evm.TU.Segkk1011_pilon.32","GO:0007186"
"223","Acerv_evm.TU.Segkk1011_pilon.36","GO:0004672"
"224","Acerv_evm.TU.Segkk1011_pilon.36","GO:0006468"
"234","Acerv_evm.TU.Segkk1011_pilon.36","GO:0004713"
"237","Acerv_evm.TU.Segkk1011_pilon.36","GO:0005524"
"240","Acerv_evm.TU.Segkk1011_pilon.4","GO:0003677"
"242","Acerv_evm.TU.Segkk1011_pilon.4","GO:0006355"
"243","Acerv_evm.TU.Segkk1011_pilon.4","GO:0000981"
"246","Acerv_evm.TU.Segkk1011_pilon.5","GO:0006355"
"247","Acerv_evm.TU.Segkk1011_pilon.5","GO:0003677"
"251","Acerv_evm.TU.Segkk1011_pilon.5","GO:0000981"
"252","Acerv_evm.TU.Segkk1011_pilon.54","GO:0035091"
"256","Acerv_evm.TU.Segkk1011_pilon.54","GO:0000350"
"258","Acerv_evm.TU.Segkk1011_pilon.8","GO:0003677"
"260","Acerv_evm.TU.Segkk1013_pilon.1","GO:0006468"
"263","Acerv_evm.TU.Segkk1013_pilon.1","GO:0004713"
"265","Acerv_evm.TU.Segkk1013_pilon.1","GO:0004672"
"269","Acerv_evm.TU.Segkk1013_pilon.1","GO:0005524"
"287","Acerv_evm.TU.Segkk1016_pilon.10","GO:0005515"
"300","Acerv_evm.TU.Segkk1017_pilon.3","GO:0003676"
"301","Acerv_evm.TU.Segkk1017_pilon.3","GO:0008270"
"306","Acerv_evm.TU.Segkk1024_pilon.10","GO:0005525"
"307","Acerv_evm.TU.Segkk1024_pilon.10","GO:0003924"
"308","Acerv_evm.TU.Segkk1024_pilon.11","GO:0005515"
"309","Acerv_evm.TU.Segkk1024_pilon.11","GO:0004672"
"311","Acerv_evm.TU.Segkk1024_pilon.11","GO:0005524"
"314","Acerv_evm.TU.Segkk1024_pilon.11","GO:0006468"
"319","Acerv_evm.TU.Segkk1024_pilon.6","GO:0046983"
"323","Acerv_evm.TU.Segkk1025_pilon.1","GO:0004252"
"324","Acerv_evm.TU.Segkk1025_pilon.1","GO:0006508"
"327","Acerv_evm.TU.Segkk1026_pilon.3","GO:0005515"
"334","Acerv_evm.TU.Segkk1028_pilon.10","GO:0005515"
"340","Acerv_evm.TU.Segkk1029_pilon.2","GO:0008241"
"341","Acerv_evm.TU.Segkk1029_pilon.2","GO:0008237"
"342","Acerv_evm.TU.Segkk1029_pilon.2","GO:0016020"
"346","Acerv_evm.TU.Segkk1029_pilon.2","GO:0006508"
"372","Acerv_evm.TU.Segkk1029_pilon.8","GO:0016021"
"373","Acerv_evm.TU.Segkk1029_pilon.8","GO:0015299"
"374","Acerv_evm.TU.Segkk1029_pilon.8","GO:0055085"
"375","Acerv_evm.TU.Segkk1029_pilon.8","GO:0006812"
"376","Acerv_evm.TU.Segkk103_pilon.1","GO:0004315"
"377","Acerv_evm.TU.Segkk103_pilon.1","GO:0006633"
"378","Acerv_evm.TU.Segkk103_pilon.1","GO:0016746"
"379","Acerv_evm.TU.Segkk103_pilon.1","GO:0016788"
"381","Acerv_evm.TU.Segkk103_pilon.1","GO:0009058"
"382","Acerv_evm.TU.Segkk103_pilon.1","GO:0016740"
"383","Acerv_evm.TU.Segkk1031_pilon.11","GO:0006468"
"385","Acerv_evm.TU.Segkk1031_pilon.11","GO:0004672"
"391","Acerv_evm.TU.Segkk1031_pilon.11","GO:0005524"
"399","Acerv_evm.TU.Segkk1031_pilon.11","GO:0004713"
"402","Acerv_evm.TU.Segkk1031_pilon.2","GO:0008080"
"404","Acerv_evm.TU.Segkk1031_pilon.6","GO:0005515"
"410","Acerv_evm.TU.Segkk1031_pilon.7","GO:0003676"
"411","Acerv_evm.TU.Segkk1031_pilon.7","GO:0004386"
"412","Acerv_evm.TU.Segkk1031_pilon.7","GO:0005524"
"413","Acerv_evm.TU.Segkk1031_pilon.9","GO:0005515"
"424","Acerv_evm.TU.Segkk1031_pilon.9","GO:0007165"
"425","Acerv_evm.TU.Segkk1035_pilon.1","GO:0005515"
"429","Acerv_evm.TU.Segkk1035_pilon.13","GO:0005515"
"443","Acerv_evm.TU.Segkk1036_pilon.1","GO:0016020"
"444","Acerv_evm.TU.Segkk1036_pilon.1","GO:0006486"
"445","Acerv_evm.TU.Segkk1038_pilon.1","GO:0008242"
"446","Acerv_evm.TU.Segkk1038_pilon.2","GO:0016787"
"447","Acerv_evm.TU.Segkk1038_pilon.2","GO:0008242"
"448","Acerv_evm.TU.Segkk1039_pilon.4","GO:0005515"
"449","Acerv_evm.TU.Segkk1039_pilon.4","GO:0007165"
"454","Acerv_evm.TU.Segkk1040_pilon.12","GO:0008641"
"456","Acerv_evm.TU.Segkk1040_pilon.12","GO:0045116"
"457","Acerv_evm.TU.Segkk1040_pilon.14","GO:0005506"
"458","Acerv_evm.TU.Segkk1040_pilon.14","GO:0006629"
"459","Acerv_evm.TU.Segkk1040_pilon.14","GO:0008610"
"460","Acerv_evm.TU.Segkk1040_pilon.14","GO:0020037"
"461","Acerv_evm.TU.Segkk1040_pilon.14","GO:0080132"
"462","Acerv_evm.TU.Segkk1040_pilon.14","GO:0016021"
"463","Acerv_evm.TU.Segkk1040_pilon.14","GO:0055114"
"464","Acerv_evm.TU.Segkk1040_pilon.14","GO:0016491"
"465","Acerv_evm.TU.Segkk1040_pilon.17","GO:0008168"
"466","Acerv_evm.TU.Segkk1040_pilon.17","GO:0035246"
"467","Acerv_evm.TU.Segkk1040_pilon.17","GO:0016274"
"468","Acerv_evm.TU.Segkk1040_pilon.17","GO:0018216"
"469","Acerv_evm.TU.Segkk1040_pilon.17","GO:0006479"
"470","Acerv_evm.TU.Segkk1040_pilon.2","GO:0005789"
"471","Acerv_evm.TU.Segkk1040_pilon.2","GO:0019915"
"472","Acerv_evm.TU.Segkk1040_pilon.28","GO:0055114"
"480","Acerv_evm.TU.Segkk1040_pilon.32","GO:0006511"
"481","Acerv_evm.TU.Segkk1040_pilon.32","GO:0016579"
"482","Acerv_evm.TU.Segkk1040_pilon.32","GO:0004843"
"484","Acerv_evm.TU.Segkk1040_pilon.33","GO:0016887"
"485","Acerv_evm.TU.Segkk1040_pilon.33","GO:0006508"
"486","Acerv_evm.TU.Segkk1040_pilon.33","GO:0004176"
"487","Acerv_evm.TU.Segkk1040_pilon.33","GO:0005524"
"492","Acerv_evm.TU.Segkk1040_pilon.33","GO:0004222"
"495","Acerv_evm.TU.Segkk1040_pilon.33","GO:0016020"
"503","Acerv_evm.TU.Segkk1040_pilon.33","GO:0008270"
"505","Acerv_evm.TU.Segkk1040_pilon.33","GO:0016021"
"511","Acerv_evm.TU.Segkk1040_pilon.34","GO:0005515"
"513","Acerv_evm.TU.Segkk1040_pilon.9","GO:0004856"
"514","Acerv_evm.TU.Segkk1040_pilon.9","GO:0016773"
"516","Acerv_evm.TU.Segkk1040_pilon.9","GO:0005975"
"522","Acerv_evm.TU.Segkk1040_pilon.9","GO:0042732"
"523","Acerv_evm.TU.Segkk1044_pilon.12","GO:0005515"
"528","Acerv_evm.TU.Segkk1044_pilon.7","GO:0005515"
"529","Acerv_evm.TU.Segkk1045_pilon.2","GO:0008138"
"530","Acerv_evm.TU.Segkk1045_pilon.2","GO:0006470"
"531","Acerv_evm.TU.Segkk1045_pilon.2","GO:0016311"
"532","Acerv_evm.TU.Segkk1045_pilon.2","GO:0016791"
"533","Acerv_evm.TU.Segkk1045_pilon.2","GO:0017017"
"545","Acerv_evm.TU.Segkk1045_pilon.2","GO:0004725"
"547","Acerv_evm.TU.Segkk1046_pilon.1","GO:0004672"
"548","Acerv_evm.TU.Segkk1046_pilon.1","GO:0005524"
"549","Acerv_evm.TU.Segkk1046_pilon.1","GO:0006468"
"550","Acerv_evm.TU.Segkk1046_pilon.17","GO:0005515"
"551","Acerv_evm.TU.Segkk1046_pilon.17","GO:0055114"
"552","Acerv_evm.TU.Segkk1046_pilon.17","GO:0016491"
"553","Acerv_evm.TU.Segkk1046_pilon.19","GO:0016788"
"554","Acerv_evm.TU.Segkk1046_pilon.19","GO:0003676"
"555","Acerv_evm.TU.Segkk1046_pilon.19","GO:0006281"
"556","Acerv_evm.TU.Segkk1046_pilon.19","GO:0003677"
"559","Acerv_evm.TU.Segkk1046_pilon.19","GO:0016020"
"560","Acerv_evm.TU.Segkk1046_pilon.19","GO:0006486"
"561","Acerv_evm.TU.Segkk1046_pilon.19","GO:0004518"
"563","Acerv_evm.TU.Segkk1047_pilon.10","GO:0003779"
"564","Acerv_evm.TU.Segkk1047_pilon.3","GO:0005525"
"565","Acerv_evm.TU.Segkk1047_pilon.3","GO:0003924"
"567","Acerv_evm.TU.Segkk1047_pilon.4","GO:0005856"
"568","Acerv_evm.TU.Segkk1047_pilon.6","GO:0005925"
"569","Acerv_evm.TU.Segkk1047_pilon.6","GO:0006468"
"571","Acerv_evm.TU.Segkk1047_pilon.6","GO:0007172"
"572","Acerv_evm.TU.Segkk1047_pilon.6","GO:0004672"
"574","Acerv_evm.TU.Segkk1047_pilon.6","GO:0005524"
"584","Acerv_evm.TU.Segkk1047_pilon.6","GO:0004713"
