Orthogroup	Acerv_assembly_v1.0.protein	GCF_002042975.1_ofav_dov_v1_protein	Mcavernosa.maker.proteins	Pocillopora_acuta_HIv1.genes.pep	plut2v1.1.proteins
OG0019434	Acerv_evm.model.Segkk0_pilon.18				
OG0019435	Acerv_evm.model.Segkk0_pilon.1				
OG0019436	Acerv_evm.model.Segkk0_pilon.2				
OG0019437	Acerv_evm.model.Segkk0_pilon.5				
OG0019438	Acerv_evm.model.Segkk0_pilon.6				
OG0019439	Acerv_evm.model.Segkk0_pilon.7				
OG0019440	Acerv_evm.model.Segkk0_pilon.20				
OG0019441	Acerv_evm.model.Segkk2_pilon.2				
OG0019442	Acerv_evm.model.Segkk2_pilon.1				
OG0019443	Acerv_evm.model.Segkk4_pilon.6				
OG0019444	Acerv_evm.model.Segkk4_pilon.4				
OG0019445	Acerv_evm.model.Segkk4_pilon.7				
OG0019446	Acerv_evm.model.Segkk4_pilon.8				
OG0019447	Acerv_evm.model.Segkk4_pilon.9				
OG0019448	Acerv_evm.model.Segkk6_pilon.2				
OG0019449	Acerv_evm.model.Segkk6_pilon.3				
OG0019450	Acerv_evm.model.Segkk6_pilon.4				
OG0019451	Acerv_evm.model.Segkk6_pilon.5				
OG0019452	Acerv_evm.model.Segkk7_pilon.1				
OG0019453	Acerv_evm.model.Segkk9_pilon.1				
OG0019454	Acerv_evm.model.Segkk13_pilon.1				
OG0019455	Acerv_evm.model.Segkk14_pilon.2				
OG0019456	Acerv_evm.model.Segkk15_pilon.1				
OG0019457	Acerv_evm.model.Segkk16_pilon.10				
OG0019458	Acerv_evm.model.Segkk17_pilon.9				
OG0019459	Acerv_evm.model.Segkk17_pilon.21				
OG0019460	Acerv_evm.model.Segkk17_pilon.11				
OG0019461	Acerv_evm.model.Segkk17_pilon.18				
OG0019462	Acerv_evm.model.Segkk18_pilon.18				
OG0019463	Acerv_evm.model.Segkk18_pilon.16				
OG0019464	Acerv_evm.model.Segkk18_pilon.17				
OG0019465	Acerv_evm.model.Segkk18_pilon.14				
OG0019466	Acerv_evm.model.Segkk18_pilon.15				
OG0019467	Acerv_evm.model.Segkk18_pilon.11				
OG0019468	Acerv_evm.model.Segkk19_pilon.5				
