gene_id,length
Acerv_evm.model.Segkk0_pilon.12,2916
Acerv_evm.model.Segkk0_pilon.13,2244
Acerv_evm.model.Segkk0_pilon.10,1668
Acerv_evm.model.Segkk0_pilon.11,1779
Acerv_evm.model.Segkk0_pilon.16,2544
Acerv_evm.model.Segkk0_pilon.17,1932
Acerv_evm.model.Segkk0_pilon.14,600
Acerv_evm.model.Segkk0_pilon.15,852
Acerv_evm.model.Segkk0_pilon.18,468
Acerv_evm.model.Segkk0_pilon.19,825
Acerv_evm.model.Segkk0_pilon.8,732
Acerv_evm.model.Segkk0_pilon.9,1236
Acerv_evm.model.Segkk0_pilon.1,2118
Acerv_evm.model.Segkk0_pilon.2,930
Acerv_evm.model.Segkk0_pilon.3,558
Acerv_evm.model.Segkk0_pilon.4,480
Acerv_evm.model.Segkk0_pilon.5,789
Acerv_evm.model.Segkk0_pilon.6,369
Acerv_evm.model.Segkk0_pilon.7,1170
Acerv_evm.model.Segkk0_pilon.23,1533
Acerv_evm.model.Segkk0_pilon.22,3568
Acerv_evm.model.Segkk0_pilon.21,4074
Acerv_evm.model.Segkk0_pilon.20,1014
Acerv_evm.model.Segkk0_pilon.25,2040
Acerv_evm.model.Segkk0_pilon.24,402
Acerv_evm.model.Segkk1_pilon.1,2187
Acerv_evm.model.Segkk1_pilon.2,695
Acerv_evm.model.Segkk2_pilon.4,1101
Acerv_evm.model.Segkk2_pilon.5,1198
Acerv_evm.model.Segkk2_pilon.2,1089
Acerv_evm.model.Segkk2_pilon.3,23628
Acerv_evm.model.Segkk2_pilon.1,171
Acerv_evm.model.Segkk3_pilon.1,1839
Acerv_evm.model.Segkk4_pilon.6,459
Acerv_evm.model.Segkk4_pilon.10,381
Acerv_evm.model.Segkk4_pilon.4,327
Acerv_evm.model.Segkk4_pilon.5,1458
Acerv_evm.model.Segkk4_pilon.7,492
Acerv_evm.model.Segkk4_pilon.1,486
Acerv_evm.model.Segkk4_pilon.2,495
Acerv_evm.model.Segkk4_pilon.3,597
Acerv_evm.model.Segkk4_pilon.8,687
Acerv_evm.model.Segkk4_pilon.9,375
Acerv_evm.model.Segkk5_pilon.1,696
Acerv_evm.model.Segkk6_pilon.2,705
Acerv_evm.model.Segkk6_pilon.3,339
Acerv_evm.model.Segkk6_pilon.1,2244
Acerv_evm.model.Segkk6_pilon.4,420
Acerv_evm.model.Segkk6_pilon.5,549
Acerv_evm.model.Segkk7_pilon.1,220
Acerv_evm.model.Segkk9_pilon.1,585
Acerv_evm.model.Segkk11_pilon.1,399
Acerv_evm.model.Segkk11_pilon.2,657
Acerv_evm.model.Segkk12_pilon.2,399
Acerv_evm.model.Segkk12_pilon.1,660
Acerv_evm.model.Segkk13_pilon.1,196
Acerv_evm.model.Segkk14_pilon.1,1240
Acerv_evm.model.Segkk14_pilon.2,446
Acerv_evm.model.Segkk15_pilon.1,600
Acerv_evm.model.Segkk15_pilon.2,396
Acerv_evm.model.Segkk16_pilon.6,1971
Acerv_evm.model.Segkk16_pilon.7,1419
Acerv_evm.model.Segkk16_pilon.4,1023
Acerv_evm.model.Segkk16_pilon.5,483
Acerv_evm.model.Segkk16_pilon.2,1302
Acerv_evm.model.Segkk16_pilon.3,1143
Acerv_evm.model.Segkk16_pilon.1,2397
Acerv_evm.model.Segkk16_pilon.8,579
Acerv_evm.model.Segkk16_pilon.9,492
Acerv_evm.model.Segkk16_pilon.13,1383
Acerv_evm.model.Segkk16_pilon.21,2715
Acerv_evm.model.Segkk16_pilon.20,2937
Acerv_evm.model.Segkk16_pilon.23,3468
Acerv_evm.model.Segkk16_pilon.22,543
Acerv_evm.model.Segkk16_pilon.24,8931
Acerv_evm.model.Segkk16_pilon.14,249
Acerv_evm.model.Segkk16_pilon.15,8199
Acerv_evm.model.Segkk16_pilon.16,1473
Acerv_evm.model.Segkk16_pilon.17,651
Acerv_evm.model.Segkk16_pilon.10,1314
Acerv_evm.model.Segkk16_pilon.11,1557
Acerv_evm.model.Segkk16_pilon.12,1473
Acerv_evm.model.Segkk16_pilon.18,1161
Acerv_evm.model.Segkk16_pilon.19,1527
Acerv_evm.model.Segkk17_pilon.7,915
Acerv_evm.model.Segkk17_pilon.6,1161
Acerv_evm.model.Segkk17_pilon.5,384
Acerv_evm.model.Segkk17_pilon.4,2136
Acerv_evm.model.Segkk17_pilon.3,696
Acerv_evm.model.Segkk17_pilon.2,699
Acerv_evm.model.Segkk17_pilon.1,495
Acerv_evm.model.Segkk17_pilon.9,837
Acerv_evm.model.Segkk17_pilon.8,915
Acerv_evm.model.Segkk17_pilon.28,3870
Acerv_evm.model.Segkk17_pilon.29,510
Acerv_evm.model.Segkk17_pilon.26,1248
Acerv_evm.model.Segkk17_pilon.27,1062
Acerv_evm.model.Segkk17_pilon.24,510
Acerv_evm.model.Segkk17_pilon.25,4500
Acerv_evm.model.Segkk17_pilon.22,1617
Acerv_evm.model.Segkk17_pilon.23,1137
Acerv_evm.model.Segkk17_pilon.20,1392
Acerv_evm.model.Segkk17_pilon.21,942
Acerv_evm.model.Segkk17_pilon.17,1170
Acerv_evm.model.Segkk17_pilon.16,2100
Acerv_evm.model.Segkk17_pilon.15,2175
Acerv_evm.model.Segkk17_pilon.14,3156
Acerv_evm.model.Segkk17_pilon.13,1992
Acerv_evm.model.Segkk17_pilon.12,1611
Acerv_evm.model.Segkk17_pilon.11,396
Acerv_evm.model.Segkk17_pilon.10,696
Acerv_evm.model.Segkk17_pilon.19,618
Acerv_evm.model.Segkk17_pilon.18,3288
Acerv_evm.model.Segkk17_pilon.31,1377
Acerv_evm.model.Segkk17_pilon.30,1386
Acerv_evm.model.Segkk17_pilon.32,453
Acerv_evm.model.Segkk18_pilon.18,441
Acerv_evm.model.Segkk18_pilon.19,1110
Acerv_evm.model.Segkk18_pilon.16,696
Acerv_evm.model.Segkk18_pilon.17,861
Acerv_evm.model.Segkk18_pilon.14,816
Acerv_evm.model.Segkk18_pilon.15,837
Acerv_evm.model.Segkk18_pilon.12,504
Acerv_evm.model.Segkk18_pilon.13,819
Acerv_evm.model.Segkk18_pilon.10,690
Acerv_evm.model.Segkk18_pilon.11,426
Acerv_evm.model.Segkk18_pilon.21,1245
Acerv_evm.model.Segkk18_pilon.20,1218
Acerv_evm.model.Segkk18_pilon.4,2508
Acerv_evm.model.Segkk18_pilon.5,3411
Acerv_evm.model.Segkk18_pilon.6,1497
Acerv_evm.model.Segkk18_pilon.7,414
Acerv_evm.model.Segkk18_pilon.1,957
Acerv_evm.model.Segkk18_pilon.2,3987
Acerv_evm.model.Segkk18_pilon.3,894
Acerv_evm.model.Segkk18_pilon.8,1101
Acerv_evm.model.Segkk18_pilon.9,3726
Acerv_evm.model.Segkk19_pilon.11,693
Acerv_evm.model.Segkk19_pilon.10,1803
Acerv_evm.model.Segkk19_pilon.13,2487
Acerv_evm.model.Segkk19_pilon.12,5715
Acerv_evm.model.Segkk19_pilon.15,1629
Acerv_evm.model.Segkk19_pilon.14,792
Acerv_evm.model.Segkk19_pilon.17,3075
Acerv_evm.model.Segkk19_pilon.16,1794
Acerv_evm.model.Segkk19_pilon.19,690
Acerv_evm.model.Segkk19_pilon.18,588
Acerv_evm.model.Segkk19_pilon.5,1491
Acerv_evm.model.Segkk19_pilon.4,705
Acerv_evm.model.Segkk19_pilon.7,1584
Acerv_evm.model.Segkk19_pilon.6,1806
Acerv_evm.model.Segkk19_pilon.1,834
Acerv_evm.model.Segkk19_pilon.3,312
Acerv_evm.model.Segkk19_pilon.2,330
Acerv_evm.model.Segkk19_pilon.9,288
Acerv_evm.model.Segkk19_pilon.8,339
Acerv_evm.model.Segkk19_pilon.24,1203
Acerv_evm.model.Segkk19_pilon.25,867
Acerv_evm.model.Segkk19_pilon.26,1236
Acerv_evm.model.Segkk19_pilon.27,1074
Acerv_evm.model.Segkk19_pilon.20,624
Acerv_evm.model.Segkk19_pilon.21,930
Acerv_evm.model.Segkk19_pilon.22,624
Acerv_evm.model.Segkk19_pilon.23,360
Acerv_evm.model.Segkk19_pilon.28,413
Acerv_evm.model.Segkk20_pilon.5,1062
Acerv_evm.model.Segkk20_pilon.4,1095
Acerv_evm.model.Segkk20_pilon.7,705
Acerv_evm.model.Segkk20_pilon.6,345
Acerv_evm.model.Segkk20_pilon.1,2294
Acerv_evm.model.Segkk20_pilon.3,474
Acerv_evm.model.Segkk20_pilon.2,291
Acerv_evm.model.Segkk20_pilon.9,1326
Acerv_evm.model.Segkk20_pilon.8,1563
Acerv_evm.model.Segkk20_pilon.16,1650
Acerv_evm.model.Segkk20_pilon.11,561
Acerv_evm.model.Segkk20_pilon.10,696
Acerv_evm.model.Segkk20_pilon.13,1584
Acerv_evm.model.Segkk20_pilon.12,393
Acerv_evm.model.Segkk20_pilon.15,1590
Acerv_evm.model.Segkk20_pilon.14,585
Acerv_evm.model.Segkk20_pilon.17,273
Acerv_evm.model.Segkk20_pilon.19,663
Acerv_evm.model.Segkk20_pilon.18,873
Acerv_evm.model.Segkk20_pilon.42,447
Acerv_evm.model.Segkk20_pilon.43,447
Acerv_evm.model.Segkk20_pilon.40,1359
Acerv_evm.model.Segkk20_pilon.41,408
Acerv_evm.model.Segkk20_pilon.46,492
Acerv_evm.model.Segkk20_pilon.47,2904
Acerv_evm.model.Segkk20_pilon.44,3072
Acerv_evm.model.Segkk20_pilon.45,315
Acerv_evm.model.Segkk20_pilon.24,1191
Acerv_evm.model.Segkk20_pilon.25,756
Acerv_evm.model.Segkk20_pilon.26,879
Acerv_evm.model.Segkk20_pilon.27,627
Acerv_evm.model.Segkk20_pilon.20,1422
Acerv_evm.model.Segkk20_pilon.21,339
Acerv_evm.model.Segkk20_pilon.22,1050
Acerv_evm.model.Segkk20_pilon.23,2133
Acerv_evm.model.Segkk20_pilon.28,684
Acerv_evm.model.Segkk20_pilon.29,1203
Acerv_evm.model.Segkk20_pilon.37,606
Acerv_evm.model.Segkk20_pilon.36,597
Acerv_evm.model.Segkk20_pilon.35,327
Acerv_evm.model.Segkk20_pilon.34,1371
Acerv_evm.model.Segkk20_pilon.33,459
Acerv_evm.model.Segkk20_pilon.32,492
