"","gene_id","scaffold","start","stop","length","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Treatment_Compare","X19_T33_Ac_WK","X24_T12_Ac_FM","X25_ctl1_Ac_GF_1","X27_ctl2_Ac_YG_1","X31_T22_Ac_UV","X35_T43_Ac_MT","X37_T13_Ac_ML","X38_T23_Ac_IN","X41_ctl3_Ac_RN_1","X45_T41_Ac_SC_1","X47_T31_Ac_JB","X52_T11_Ac_II","X53_T21_Ac_NH","X54_T42_Ac_JQ","X57_T32_Ac_NM"
"154","Acerv_evm.TU.Segkk105_pilon.25","Segkk105_pilon",241442,248065,6623,"GO:0016772",0.0331410200415659,0.999545382009697,1,6,"transferase activity, transferring phosphorus-containing groups","MF",190.481390677045,-2.382695893302,0.582612669073448,-4.08967401462673,4.31979879131452e-05,0.0194779727500372,"CvsT1",93,63,216,206,93,128,110,122,242,303,124,160,68,183,64
"3104","Acerv_evm.TU.Segkk2424_pilon.11","Segkk2424_pilon",78955,99471,20516,"GO:0004190",0.0440402201275736,0.999140584145252,1,9,"aspartic-type endopeptidase activity","MF",80.4777488430549,-3.51581297257355,0.862923457057865,-4.07430455600396,4.61520528028966e-05,0.0199089171495293,"CvsT2",134,0,38,19,85,125,123,233,26,28,77,49,52,227,71
"3105","Acerv_evm.TU.Segkk2424_pilon.11","Segkk2424_pilon",78955,99471,20516,"GO:0016831",0.0161613014178177,0.999903320395139,1,4,"carboxy-lyase activity","MF",80.4777488430549,-3.51581297257355,0.862923457057865,-4.07430455600396,4.61520528028966e-05,0.0199089171495293,"CvsT2",134,0,38,19,85,125,123,233,26,28,77,49,52,227,71
"3106","Acerv_evm.TU.Segkk2424_pilon.11","Segkk2424_pilon",78955,99471,20516,"GO:0019752",0.0218229087096494,0.999811577613103,1,5,"carboxylic acid metabolic process","BP",80.4777488430549,-3.51581297257355,0.862923457057865,-4.07430455600396,4.61520528028966e-05,0.0199089171495293,"CvsT2",134,0,38,19,85,125,123,233,26,28,77,49,52,227,71
"3755","Acerv_evm.TU.Segkk2725_pilon.8","Segkk2725_pilon",84647,87955,3308,"GO:0005515",0.0490605024374169,0.976874098313795,13,1490,"protein binding","MF",25.8204694761723,-2.12866011887141,0.557279489574673,-3.81973526514685,0.000133594982376307,0.0374413072090844,"CvsT2",37,1,14,35,26,52,23,42,11,19,26,37,28,62,9
"4567","Acerv_evm.TU.Segkk3087_pilon.2","Segkk3087_pilon",17242,21852,4610,"GO:0005515",0.0490605024374169,0.976874098313795,13,1490,"protein binding","MF",25.7360835517873,-2.99751841903235,0.639480375702347,-4.68742831355872,2.76659562153326e-06,0.00249491593149869,"CvsT1",50,0,10,15,33,65,39,38,6,15,31,27,24,62,12
"4915","Acerv_evm.TU.Segkk3209_pilon.7","Segkk3209_pilon",43307,44251,944,"GO:0005515",0.0490605024374169,0.976874098313795,13,1490,"protein binding","MF",27.1787100506276,-1.71052148383476,0.446669629604203,-3.82950030730869,0.000128403722869666,0.0373530571883434,"CvsT2",58,2,21,34,32,45,28,31,19,26,29,13,26,53,17
"4917","Acerv_evm.TU.Segkk3209_pilon.9","Segkk3209_pilon",56757,58100,1343,"GO:0005515",0.0490605024374169,0.976874098313795,13,1490,"protein binding","MF",34.4360920903167,-4.42298929678203,1.11376126029286,-3.97121847784418,7.15059649573257e-05,0.0293109450902347,"CvsT1",8,21,14,22,9,14,9,7,8,13,3,6,7,9,3
"5379","Acerv_evm.TU.Segkk3395_pilon.4","Segkk3395_pilon",17152,24515,7363,"GO:0005515",0.0490605024374169,0.976874098313795,13,1490,"protein binding","MF",73.72818654295,-1.81262674167476,0.407362000809908,-4.44967065674003,8.60020692102322e-06,0.00596589738567596,"CvsT1",74,4,63,50,79,161,76,112,91,156,73,99,43,163,29
"5399","Acerv_evm.TU.Segkk3405_pilon.7","Segkk3405_pilon",65812,68219,2407,"GO:0005515",0.0490605024374169,0.976874098313795,13,1490,"protein binding","MF",62.1972734777367,-2.09630624704962,0.534875461386389,-3.91924176445864,8.88279777298288e-05,0.0348282914420694,"CvsT1",112,0,40,42,81,158,65,91,56,57,62,103,35,128,39
"5989","Acerv_evm.TU.Segkk3668_pilon.23","Segkk3668_pilon",289479,294014,4535,"GO:0005515",0.0490605024374169,0.976874098313795,13,1490,"protein binding","MF",63.5366798142387,-2.19907900316557,0.544741073738216,-4.03692526446495,5.41563115049613e-05,0.0232562674834162,"CvsT1",96,14,45,101,42,110,59,36,42,45,25,68,41,76,33
