Orthogroup	Pocillopora_acuta_HIv1.genes.pep	Montipora_capitata_HIv2.genes.pep
OG0000000	Pocillopora_acuta_HIv1_PredGene_g22080.t1	Montipora_capitata_PredGene_adi2mcaRNA19804_R0.t1
OG0000000	Pocillopora_acuta_HIv1_PredGene_g14419.t1	Montipora_capitata_PredGene_g25400.t1
OG0000001	Pocillopora_acuta_HIv1_PredGene_g2482.t1, Pocillopora_acuta_HIv1_PredGene_g17499.t1, Pocillopora_acuta_HIv1_PredGene_g3394.t1, Pocillopora_acuta_HIv1_PredGene_g17494.t1, Pocillopora_acuta_HIv1_PredGene_g4190.t1, Pocillopora_acuta_HIv1_PredGene_g4189.t1	Montipora_capitata_PredGene_g36877.t1, Montipora_capitata_PredGene_g7315.t1
OG0000001	Pocillopora_acuta_HIv1_PredGene_g3395.t1	Montipora_capitata_PredGene_g26788.t1
OG0000001	Pocillopora_acuta_HIv1_PredGene_g30111.t1	Montipora_capitata_PredGene_g3481.t1, Montipora_capitata_PredGene_g10350.t1, Montipora_capitata_PredGene_g12254.t1
OG0000001	Pocillopora_acuta_HIv1_PredGene_g3358.t1	Montipora_capitata_PredGene_adi2mcaRNA12219_R1.t1
OG0000002	Pocillopora_acuta_HIv1_PredGene_g2102.t1, Pocillopora_acuta_HIv1_PredGene_g26225.t1, Pocillopora_acuta_HIv1_PredGene_g21251.t1	Montipora_capitata_PredGene_g31314.t1, Montipora_capitata_PredGene_g59910.t1
OG0000002	Pocillopora_acuta_HIv1_PredGene_g26226.t1	Montipora_capitata_PredGene_g25649.t1, Montipora_capitata_PredGene_g46267.t1, Montipora_capitata_PredGene_g25671.t1, Montipora_capitata_PredGene_g25650.t1, Montipora_capitata_PredGene_g5812.t1, Montipora_capitata_PredGene_g56302.t1, Montipora_capitata_PredGene_g19121.t1, Montipora_capitata_PredGene_g29062.t1, Montipora_capitata_PredGene_g6600.t1, Montipora_capitata_PredGene_g59750.t1, Montipora_capitata_PredGene_g16734.t1, Montipora_capitata_PredGene_g19923.t1, Montipora_capitata_PredGene_g57336.t1, Montipora_capitata_PredGene_g51342.t1, Montipora_capitata_PredGene_g48368.t1, Montipora_capitata_PredGene_g24743.t1
OG0000002	Pocillopora_acuta_HIv1_PredGene_g2094.t1	Montipora_capitata_PredGene_g30500.t1
OG0000002	Pocillopora_acuta_HIv1_PredGene_g10836.t1, Pocillopora_acuta_HIv1_PredGene_g16645.t1	Montipora_capitata_PredGene_adi2mcaRNA28013_R0.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R4.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R6.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R3.t1, Montipora_capitata_PredGene_g57055.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R5.t1, Montipora_capitata_PredGene_adi2mcaRNA28013_R1.t1, Montipora_capitata_PredGene_g42176.t1
OG0000002	Pocillopora_acuta_HIv1_PredGene_g24757.t1	Montipora_capitata_PredGene_g71569.t1, Montipora_capitata_PredGene_g14313.t1
OG0000002	Pocillopora_acuta_HIv1_PredGene_g11217.t1, Pocillopora_acuta_HIv1_PredGene_g11216.t1	Montipora_capitata_PredGene_g69754.t1
OG0000003	Pocillopora_acuta_HIv1_PredGene_g14581.t1, Pocillopora_acuta_HIv1_PredGene_g21306.t1, Pocillopora_acuta_HIv1_PredGene_g14581.t2, Pocillopora_acuta_HIv1_PredGene_g21306.t3, Pocillopora_acuta_HIv1_PredGene_g21306.t2, Pocillopora_acuta_HIv1_PredGene_g14581.t3	Montipora_capitata_PredGene_g67062.t1, Montipora_capitata_PredGene_g67065.t1, Montipora_capitata_PredGene_adi2mcaRNA30866_R0.t1
OG0000003	Pocillopora_acuta_HIv1_PredGene_g5973.t1	Montipora_capitata_PredGene_g12131.t1, Montipora_capitata_PredGene_g17116.t1, Montipora_capitata_PredGene_g69305.t1, Montipora_capitata_PredGene_g14380.t1, Montipora_capitata_PredGene_g69315.t1
OG0000003	Pocillopora_acuta_HIv1_PredGene_g21290.t1, Pocillopora_acuta_HIv1_PredGene_g21288.t1, Pocillopora_acuta_HIv1_PredGene_g21302.t1	Montipora_capitata_PredGene_adi2mcaRNA22967_R0.t1, Montipora_capitata_PredGene_g63681.t1, Montipora_capitata_PredGene_adi2mcaRNA5337_R3.t1
OG0000003	Pocillopora_acuta_HIv1_PredGene_g12361.t1	Montipora_capitata_PredGene_g22376.t1
OG0000003	Pocillopora_acuta_HIv1_PredGene_g21239.t1	Montipora_capitata_PredGene_adi2mcaRNA33323_R3.t1
OG0000003	Pocillopora_acuta_HIv1_PredGene_g21230.t1, Pocillopora_acuta_HIv1_PredGene_g21914.t1, Pocillopora_acuta_HIv1_PredGene_g32428.t1, Pocillopora_acuta_HIv1_PredGene_g27970.t1, Pocillopora_acuta_HIv1_PredGene_g27965.t2, Pocillopora_acuta_HIv1_PredGene_g21246.t1	Montipora_capitata_PredGene_adi2mcaRNA20009_R7.t1
OG0000004	Pocillopora_acuta_HIv1_PredGene_g21434.t1, Pocillopora_acuta_HIv1_PredGene_g21445.t1, Pocillopora_acuta_HIv1_PredGene_g21437.t1	Montipora_capitata_PredGene_g4533.t1
OG0000004	Pocillopora_acuta_HIv1_PredGene_g3261.t1	Montipora_capitata_PredGene_g4536.t1
OG0000004	Pocillopora_acuta_HIv1_PredGene_3330_t, Pocillopora_acuta_HIv1_PredGene_g9153.t1	Montipora_capitata_PredGene_g50762.t1
OG0000005	Pocillopora_acuta_HIv1_PredGene_g20967.t1, Pocillopora_acuta_HIv1_PredGene_g32004.t1, Pocillopora_acuta_HIv1_PredGene_g20954.t1, Pocillopora_acuta_HIv1_PredGene_g24631.t1, Pocillopora_acuta_HIv1_PredGene_g14370.t1, Pocillopora_acuta_HIv1_PredGene_g9735.t1, Pocillopora_acuta_HIv1_PredGene_g29877.t1, Pocillopora_acuta_HIv1_PredGene_g23877.t1, Pocillopora_acuta_HIv1_PredGene_g28476.t1, Pocillopora_acuta_HIv1_PredGene_g29498.t1, Pocillopora_acuta_HIv1_PredGene_g8354.t1, Pocillopora_acuta_HIv1_PredGene_g18501.t1, Pocillopora_acuta_HIv1_PredGene_g5642.t1, Pocillopora_acuta_HIv1_PredGene_g29499.t1, Pocillopora_acuta_HIv1_PredGene_g30288.t1, Pocillopora_acuta_HIv1_PredGene_g18395.t1, Pocillopora_acuta_HIv1_PredGene_g15535.t1, Pocillopora_acuta_HIv1_PredGene_g16023.t1, Pocillopora_acuta_HIv1_PredGene_g21558.t1, Pocillopora_acuta_HIv1_PredGene_g15668.t1, Pocillopora_acuta_HIv1_PredGene_g16776.t1, Pocillopora_acuta_HIv1_PredGene_g19349.t1, Pocillopora_acuta_HIv1_PredGene_g9445.t1, Pocillopora_acuta_HIv1_PredGene_g22221.t1, Pocillopora_acuta_HIv1_PredGene_g14163.t1, Pocillopora_acuta_HIv1_PredGene_g32134.t1, Pocillopora_acuta_HIv1_PredGene_g32127.t1, Pocillopora_acuta_HIv1_PredGene_g2007.t1	Montipora_capitata_PredGene_g56632.t1
OG0000005	Pocillopora_acuta_HIv1_PredGene_g2399.t1	Montipora_capitata_PredGene_g7633.t1
OG0000006	Pocillopora_acuta_HIv1_PredGene_g12233.t1	Montipora_capitata_PredGene_adi2mcaRNA31145_R0.t1, Montipora_capitata_PredGene_g53388.t1, Montipora_capitata_PredGene_g4437.t1, Montipora_capitata_PredGene_g60114.t1, Montipora_capitata_PredGene_g60131.t1
OG0000006	Pocillopora_acuta_HIv1_PredGene_g12236.t1	Montipora_capitata_PredGene_g69103.t1
OG0000006	Pocillopora_acuta_HIv1_PredGene_g32359.t1, Pocillopora_acuta_HIv1_PredGene_g17515.t1, Pocillopora_acuta_HIv1_PredGene_g32356.t1, Pocillopora_acuta_HIv1_PredGene_g17513.t1, Pocillopora_acuta_HIv1_PredGene_g32357.t1, Pocillopora_acuta_HIv1_PredGene_g17512.t1, Pocillopora_acuta_HIv1_PredGene_g17514.t1, Pocillopora_acuta_HIv1_PredGene_g32355.t1, Pocillopora_acuta_HIv1_PredGene_g32348.t1	Montipora_capitata_PredGene_adi2mcaRNA6339_R1.t1, Montipora_capitata_PredGene_g50184.t1, Montipora_capitata_PredGene_adi2mcaRNA6338_R2.t1
OG0000006	Pocillopora_acuta_HIv1_PredGene_g6986.t1	Montipora_capitata_PredGene_g34559.t1
