"","GO.IDs","gene_id","term","ontology","over_represented_pvalue","log2FoldChange","padj","Treatment_Compare","Species","Site","GO.Term","GO.Slim.Term","Cat"
"501","GO:0000502","Mcavernosa30571","proteasome complex","CC",0.030201637,3.975067304,1.61e-07,"CvsT3","M.cavernosa","Florida","proteasome complex","other cellular component","C"
"502","GO:0000502","Mcavernosa30571","proteasome complex","CC",0.030201637,3.02436151,0.000328235,"CvsT4","M.cavernosa","Florida","proteasome complex","other cellular component","C"
"503","GO:0000502","Mcavernosa30571","proteasome complex","CC",0.030201637,4.512290209,2.02e-09,"CvsT1","M.cavernosa","Florida","proteasome complex","other cellular component","C"
"504","GO:0000502","Mcavernosa30571","proteasome complex","CC",0.030201637,3.292573354,3.45e-05,"CvsT2","M.cavernosa","Florida","proteasome complex","other cellular component","C"
"629","GO:0000786","Mcavernosa29012","nucleosome","CC",0.042634936,-1.170659109,0.019439523,"CvsT3","M.cavernosa","Florida","nucleosome","other cellular component","C"
"1048","GO:0001772","Mcavernosa02339","immunological synapse","CC",0.03500846,1.071517133,0.018244336,"CvsT2","M.cavernosa","Florida","immunological synapse","plasma membrane","C"
"1049","GO:0001772","Mcavernosa02339","immunological synapse","CC",0.03500846,1.071517133,0.018244336,"CvsT2","M.cavernosa","Florida","immunological synapse","other membranes","C"
"1233","GO:0001931","Mcavernosa25973","uropod","CC",0.017055801,-2.719399108,0.000239703,"CvsT2","M.cavernosa","Florida","uropod","other cellular component","C"
"1234","GO:0001931","Mcavernosa25973","uropod","CC",0.017055801,2.726494755,0.002353914,"T2vsT3","M.cavernosa","Florida","uropod","other cellular component","C"
"3958","GO:0005769","Mcavernosa25973","early endosome","CC",0.014625799,-2.719399108,0.000239703,"CvsT2","M.cavernosa","Florida","early endosome","other cytoplasmic organelle","C"
"3959","GO:0005769","Mcavernosa25973","early endosome","CC",0.014625799,2.726494755,0.002353914,"T2vsT3","M.cavernosa","Florida","early endosome","other cytoplasmic organelle","C"
"3960","GO:0005769","Mcavernosa24806","early endosome","CC",0.014625799,-0.991656755,0.041178809,"CvsT2","M.cavernosa","Florida","early endosome","other cytoplasmic organelle","C"
"3961","GO:0005769","Mcavernosa02339","early endosome","CC",0.014625799,1.071517133,0.018244336,"CvsT2","M.cavernosa","Florida","early endosome","other cytoplasmic organelle","C"
"4095","GO:0005912","Mcavernosa25973","adherens junction","CC",0.010302974,2.726494755,0.002353914,"T2vsT3","M.cavernosa","Florida","adherens junction","other membranes","C"
"4096","GO:0005912","Mcavernosa25973","adherens junction","CC",0.010302974,2.726494755,0.002353914,"T2vsT3","M.cavernosa","Florida","adherens junction","plasma membrane","C"
"4097","GO:0005912","Mcavernosa25973","adherens junction","CC",0.010302974,-2.719399108,0.000239703,"CvsT2","M.cavernosa","Florida","adherens junction","other membranes","C"
"4098","GO:0005912","Mcavernosa25973","adherens junction","CC",0.010302974,-2.719399108,0.000239703,"CvsT2","M.cavernosa","Florida","adherens junction","plasma membrane","C"
"4099","GO:0005912","Mcavernosa21617","adherens junction","CC",0.010302974,1.018044844,0.0402567,"CvsT2","M.cavernosa","Florida","adherens junction","other membranes","C"
"4100","GO:0005912","Mcavernosa21617","adherens junction","CC",0.010302974,1.018044844,0.0402567,"CvsT2","M.cavernosa","Florida","adherens junction","plasma membrane","C"
"6955","GO:0009277","Mcavernosa15302","fungal-type cell wall","CC",0.009197955,-5.344808043,0.01764079,"CvsT3","M.cavernosa","Florida","fungal-type cell wall","other cellular component","C"
"7114","GO:0009505","Mcavernosa01252","plant-type cell wall","CC",0.014385395,-2.691997683,0.000245061,"CvsT2","M.cavernosa","Florida","plant-type cell wall","other cellular component","C"
"7115","GO:0009505","Mcavernosa01252","plant-type cell wall","CC",0.014385395,-2.078152054,0.039662932,"CvsT1","M.cavernosa","Florida","plant-type cell wall","other cellular component","C"
"7499","GO:0009897","Mcavernosa25973","external side of plasma membrane","CC",0.029453952,-2.719399108,0.000239703,"CvsT2","M.cavernosa","Florida","external side of plasma membrane","other membranes","C"
"7500","GO:0009897","Mcavernosa25973","external side of plasma membrane","CC",0.029453952,-2.719399108,0.000239703,"CvsT2","M.cavernosa","Florida","external side of plasma membrane","plasma membrane","C"
